layers_0,length_0,layers_1,length_1,layers_2,length_2,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,application,filename,num_packet,mac_src_custom,mac_dst_custom,layers_3,length_3,layers_4,length_4,payload_layers,header_length,payload_length,flow_id_mac,flow_id_ip,flow_id
IPv6,69,UDP,29,CoAP,21.0,1655374267.4312253,69,,,50:02:91:AE:42:45,50:02:91:13:70:30,0.0,57727.0,5683.0,COAP,COAP.pcapng,0,50:02:91:AE:42:45,50:02:91:13:70:30,None,0.0,,,3.0,48.0,21.0,18.0,18.0,47833.0
IPv6,121,UDP,81,CoAP,73.0,1655374267.4312696,121,,,50:02:91:13:70:30,50:02:91:AE:42:45,0.0,5683.0,57727.0,COAP,COAP.pcapng,1,50:02:91:13:70:30,50:02:91:AE:42:45,Raw,64.0,,,,,,18.0,18.0,47833.0
IPv6,71,UDP,31,CoAP,23.0,1655374267.4313242,71,,,50:02:91:AE:42:45,50:02:91:13:70:30,0.0,57727.0,5683.0,COAP,COAP.pcapng,2,50:02:91:AE:42:45,50:02:91:13:70:30,None,0.0,,,3.0,48.0,23.0,18.0,18.0,47833.0
IPv6,121,UDP,81,CoAP,73.0,1655374267.431343,121,,,50:02:91:13:70:30,50:02:91:AE:42:45,0.0,5683.0,57727.0,COAP,COAP.pcapng,3,50:02:91:13:70:30,50:02:91:AE:42:45,Raw,64.0,,,,,,18.0,18.0,47833.0
IPv6,71,UDP,31,CoAP,23.0,1655374267.431378,71,,,50:02:91:AE:42:45,50:02:91:13:70:30,0.0,57727.0,5683.0,COAP,COAP.pcapng,4,50:02:91:AE:42:45,50:02:91:13:70:30,None,0.0,,,3.0,48.0,23.0,18.0,18.0,47833.0
IPv6,121,UDP,81,CoAP,73.0,1655374267.431393,121,,,50:02:91:13:70:30,50:02:91:AE:42:45,0.0,5683.0,57727.0,COAP,COAP.pcapng,5,50:02:91:13:70:30,50:02:91:AE:42:45,Raw,64.0,,,,,,18.0,18.0,47833.0
IPv6,71,UDP,31,CoAP,23.0,1655374267.4314268,71,,,50:02:91:AE:42:45,50:02:91:13:70:30,0.0,57727.0,5683.0,COAP,COAP.pcapng,6,50:02:91:AE:42:45,50:02:91:13:70:30,None,0.0,,,3.0,48.0,23.0,18.0,18.0,47833.0
IPv6,121,UDP,81,CoAP,73.0,1655374267.4314375,121,,,50:02:91:13:70:30,50:02:91:AE:42:45,0.0,5683.0,57727.0,COAP,COAP.pcapng,7,50:02:91:13:70:30,50:02:91:AE:42:45,Raw,64.0,,,,,,18.0,18.0,47833.0
IPv6,71,UDP,31,CoAP,23.0,1655374267.4314716,71,,,50:02:91:AE:42:45,50:02:91:13:70:30,0.0,57727.0,5683.0,COAP,COAP.pcapng,8,50:02:91:AE:42:45,50:02:91:13:70:30,None,0.0,,,3.0,48.0,23.0,18.0,18.0,47833.0
IPv6,121,UDP,81,CoAP,73.0,1655374267.431482,121,,,50:02:91:13:70:30,50:02:91:AE:42:45,0.0,5683.0,57727.0,COAP,COAP.pcapng,9,50:02:91:13:70:30,50:02:91:AE:42:45,Raw,64.0,,,,,,18.0,18.0,47833.0
