layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_4,length_4,application,payload_layers,header_length,payload_length,flow_id,flow_id_ip,flow_id_mac
IP,66,UDP,46.0,DNS,38.0,None,0.0,920293239.6251552,66,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,45,None,0,DNS,3.0,28.0,38.0,1276.0,35.0,4.0
IP,131,UDP,111.0,DNS,103.0,None,0.0,920293239.628786,131,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,46,None,0,DNS,3.0,28.0,103.0,1276.0,35.0,4.0
IP,63,UDP,43.0,DNS,35.0,None,0.0,920293240.6826812,63,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,59,None,0,DNS,3.0,28.0,35.0,1276.0,35.0,4.0
IP,119,UDP,99.0,DNS,91.0,None,0.0,920293240.6837052,119,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,60,None,0,DNS,3.0,28.0,91.0,1276.0,35.0,4.0
IP,73,UDP,53.0,DNS,45.0,None,0.0,920293240.874243,73,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,64,None,0,DNS,3.0,28.0,45.0,1276.0,35.0,4.0
IP,162,UDP,142.0,DNS,134.0,None,0.0,920293240.875567,162,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,65,None,0,DNS,3.0,28.0,134.0,1276.0,35.0,4.0
IP,65,UDP,45.0,DNS,37.0,None,0.0,920293240.877054,65,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,66,None,0,DNS,3.0,28.0,37.0,1276.0,35.0,4.0
IP,130,UDP,110.0,DNS,102.0,None,0.0,920293240.8780768,130,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,67,None,0,DNS,3.0,28.0,102.0,1276.0,35.0,4.0
IP,61,UDP,41.0,DNS,33.0,None,0.0,920293241.248295,61,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,90,None,0,DNS,3.0,28.0,33.0,1276.0,35.0,4.0
IP,115,UDP,95.0,DNS,87.0,None,0.0,920293241.249168,115,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,91,None,0,DNS,3.0,28.0,87.0,1276.0,35.0,4.0
IP,60,UDP,40.0,DNS,32.0,None,0.0,920293241.3377948,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,95,None,0,DNS,3.0,28.0,32.0,1276.0,35.0,4.0
IP,130,UDP,110.0,DNS,102.0,None,0.0,920293241.339223,130,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,96,None,0,DNS,3.0,28.0,102.0,1276.0,35.0,4.0
IP,63,UDP,43.0,DNS,35.0,None,0.0,920293242.850006,63,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,121,None,0,DNS,3.0,28.0,35.0,1276.0,35.0,4.0
IP,128,UDP,108.0,DNS,100.0,None,0.0,920293242.851073,128,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,122,None,0,DNS,3.0,28.0,100.0,1276.0,35.0,4.0
IP,72,UDP,52.0,DNS,44.0,None,0.0,920293242.886452,72,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,126,None,0,DNS,3.0,28.0,44.0,1276.0,35.0,4.0
IP,143,UDP,123.0,DNS,115.0,None,0.0,920293242.888024,143,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,127,None,0,DNS,3.0,28.0,115.0,1276.0,35.0,4.0
IP,66,UDP,46.0,DNS,38.0,None,0.0,920293242.979288,66,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,139,None,0,DNS,3.0,28.0,38.0,1276.0,35.0,4.0
IP,110,UDP,90.0,DNS,82.0,None,0.0,920293242.980388,110,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,140,None,0,DNS,3.0,28.0,82.0,1276.0,35.0,4.0
IP,73,UDP,53.0,DNS,45.0,None,0.0,920293242.9844213,73,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,141,None,0,DNS,3.0,28.0,45.0,1276.0,35.0,4.0
IP,117,UDP,97.0,DNS,89.0,None,0.0,920293242.984863,117,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,142,None,0,DNS,3.0,28.0,89.0,1276.0,35.0,4.0
IP,71,UDP,51.0,DNS,43.0,None,0.0,920293246.1732053,71,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,179,None,0,DNS,3.0,28.0,43.0,1276.0,35.0,4.0
IP,135,UDP,115.0,DNS,107.0,None,0.0,920293246.1741152,135,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,180,None,0,DNS,3.0,28.0,107.0,1276.0,35.0,4.0
IP,61,UDP,41.0,DNS,33.0,None,0.0,920293246.176111,61,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,181,None,0,DNS,3.0,28.0,33.0,1276.0,35.0,4.0
IP,117,UDP,97.0,DNS,89.0,None,0.0,920293246.176582,117,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,182,None,0,DNS,3.0,28.0,89.0,1276.0,35.0,4.0
IP,65,UDP,45.0,DNS,37.0,None,0.0,920293246.481802,65,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,302,None,0,DNS,3.0,28.0,37.0,1276.0,35.0,4.0
IP,130,UDP,110.0,DNS,102.0,None,0.0,920293246.482772,130,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,303,None,0,DNS,3.0,28.0,102.0,1276.0,35.0,4.0
IP,70,UDP,50.0,DNS,42.0,None,0.0,920293247.0186392,70,00:c0:4f:a3:58:23,00:60:97:de:54:36,192.168.1.10,192.168.1.20,0.0,53.0,53.0,week1_monday.tcpdump,311,None,0,DNS,3.0,28.0,42.0,3532.0,58.0,5.0
IP,136,UDP,116.0,DNS,108.0,None,0.0,920293247.022468,136,00:60:97:de:54:36,00:c0:4f:a3:58:23,192.168.1.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,312,None,0,DNS,3.0,28.0,108.0,3532.0,58.0,5.0
IP,63,UDP,43.0,DNS,35.0,None,0.0,920293247.607458,63,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,321,None,0,DNS,3.0,28.0,35.0,1276.0,35.0,4.0
IP,160,UDP,140.0,DNS,132.0,None,0.0,920293247.6092,160,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,322,None,0,DNS,3.0,28.0,132.0,1276.0,35.0,4.0
IP,59,UDP,39.0,DNS,31.0,None,0.0,920293248.094513,59,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,135.8.60.182,0.0,53.0,53.0,week1_monday.tcpdump,337,None,0,DNS,3.0,28.0,31.0,4.0,3.0,4.0
IP,132,UDP,112.0,DNS,104.0,None,0.0,920293248.095532,132,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,338,None,0,DNS,3.0,28.0,104.0,1276.0,35.0,4.0
IP,65,UDP,45.0,DNS,37.0,None,0.0,920293248.21561,65,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,453,None,0,DNS,3.0,28.0,37.0,1276.0,35.0,4.0
IP,130,UDP,110.0,DNS,102.0,None,0.0,920293248.23369,130,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,454,None,0,DNS,3.0,28.0,102.0,1276.0,35.0,4.0
IP,63,UDP,43.0,DNS,35.0,None,0.0,920293249.313112,63,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,579,None,0,DNS,3.0,28.0,35.0,1276.0,35.0,4.0
IP,128,UDP,108.0,DNS,100.0,None,0.0,920293249.3141632,128,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,580,None,0,DNS,3.0,28.0,100.0,1276.0,35.0,4.0
IP,63,UDP,43.0,DNS,35.0,None,0.0,920293250.279892,63,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,586,None,0,DNS,3.0,28.0,35.0,1276.0,35.0,4.0
IP,128,UDP,108.0,DNS,100.0,None,0.0,920293250.280862,128,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,587,None,0,DNS,3.0,28.0,100.0,1276.0,35.0,4.0
IP,64,UDP,44.0,DNS,36.0,None,0.0,920293251.503794,64,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,0.0,53.0,53.0,week1_monday.tcpdump,792,None,0,DNS,3.0,28.0,36.0,1276.0,35.0,4.0
IP,129,UDP,109.0,DNS,101.0,None,0.0,920293251.504851,129,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,0.0,53.0,53.0,week1_monday.tcpdump,793,None,0,DNS,3.0,28.0,101.0,1276.0,35.0,4.0
