layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_4,length_4,application,payload_layers,header_length,payload_length,flow_id,flow_id_ip,flow_id_mac
IP,46,TCP,26.0,Padding,2.0,None,0.0,920294090.2271788,46,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.116.201,209.67.29.11,2.0,1773.0,80.0,week1_monday.tcpdump,5773,None,0,HTTP,3.0,44.0,2.0,67845.0,3464.0,2.0
IP,46,TCP,26.0,Padding,2.0,None,0.0,920294090.2318028,46,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,18.0,80.0,1773.0,week1_monday.tcpdump,5774,None,0,HTTP,3.0,44.0,2.0,67845.0,3464.0,2.0
IP,46,TCP,26.0,Padding,6.0,None,0.0,920294090.232491,46,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.116.201,209.67.29.11,16.0,1773.0,80.0,week1_monday.tcpdump,5775,None,0,HTTP,3.0,40.0,6.0,67845.0,3464.0,2.0
IP,186,TCP,166.0,HTTP,146.0,HTTPRequest,146.0,920294090.233087,186,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.116.201,209.67.29.11,24.0,1773.0,80.0,week1_monday.tcpdump,5776,None,0,HTTP,4.0,40.0,146.0,67845.0,3464.0,2.0
IP,46,TCP,26.0,Padding,6.0,None,0.0,920294090.254592,46,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5777,None,0,HTTP,3.0,40.0,6.0,67845.0,3464.0,2.0
IP,1500,TCP,1480.0,HTTP,1460.0,HTTPResponse,1460.0,920294090.29498,1500,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5778,None,0,HTTP,4.0,40.0,1460.0,67845.0,3464.0,2.0
IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.296202,1500,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5779,None,0,HTTP,4.0,40.0,1460.0,67845.0,3464.0,2.0
IP,46,TCP,26.0,Padding,6.0,None,0.0,920294090.2982028,46,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.116.201,209.67.29.11,16.0,1773.0,80.0,week1_monday.tcpdump,5780,None,0,HTTP,3.0,40.0,6.0,67845.0,3464.0,2.0
IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.303073,1500,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5781,None,0,HTTP,4.0,40.0,1460.0,67845.0,3464.0,2.0
IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.3043,1500,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5782,None,0,HTTP,4.0,40.0,1460.0,67845.0,3464.0,2.0
