layers_0,length_0,layers_1,length_1,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,application,filename,num_packet,mac_src_custom,mac_dst_custom,layers_2,length_2,layers_3,length_3,layers_4,length_4,payload_layers,header_length,payload_length,flow_id_mac,flow_id_ip,flow_id
IP,60,TCP,40.0,1581674962.951038,60,00:50:00:00:0c:00,50:00:00:01:00:03,10.0.0.5,192.168.1.7,2.0,56572.0,1883.0,MQTT,MQTT_IEEE.pcap,0,50:02:91:EA:4E:80,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,40.0,27.0,27.0,149550.0
IP,60,TCP,40.0,1581674962.951481,60,50:00:00:01:00:03,00:50:00:00:0c:00,192.168.1.7,10.0.0.5,18.0,1883.0,56572.0,MQTT,MQTT_IEEE.pcap,1,50:02:91:22:1A:8C,50:02:91:EA:4E:80,None,0.0,None,0.0,None,0,2.0,20.0,40.0,27.0,27.0,149550.0
IP,52,TCP,32.0,1581674962.9517062,52,00:50:00:00:0c:00,50:00:00:01:00:03,10.0.0.5,192.168.1.7,16.0,56572.0,1883.0,MQTT,MQTT_IEEE.pcap,2,50:02:91:EA:4E:80,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,27.0,27.0,149550.0
IP,101,TCP,81.0,1581674962.951787,101,00:50:00:00:0c:00,50:00:00:01:00:03,10.0.0.5,192.168.1.7,24.0,56572.0,1883.0,MQTT,MQTT_IEEE.pcap,3,50:02:91:EA:4E:80,50:02:91:22:1A:8C,MQTT,49.0,MQTTConnect,47.0,None,0,4.0,54.0,47.0,27.0,27.0,149550.0
IP,52,TCP,32.0,1581674962.951913,52,50:00:00:01:00:03,00:50:00:00:0c:00,192.168.1.7,10.0.0.5,16.0,1883.0,56572.0,MQTT,MQTT_IEEE.pcap,4,50:02:91:22:1A:8C,50:02:91:EA:4E:80,None,0.0,None,0.0,None,0,2.0,20.0,32.0,27.0,27.0,149550.0
IP,56,TCP,36.0,1581674962.951933,56,50:00:00:01:00:03,00:50:00:00:0c:00,192.168.1.7,10.0.0.5,24.0,1883.0,56572.0,MQTT,MQTT_IEEE.pcap,5,50:02:91:22:1A:8C,50:02:91:EA:4E:80,MQTT,4.0,MQTTConnack,2.0,None,0,4.0,54.0,2.0,27.0,27.0,149550.0
IP,52,TCP,32.0,1581674962.952089,52,00:50:00:00:0c:00,50:00:00:01:00:03,10.0.0.5,192.168.1.7,16.0,56572.0,1883.0,MQTT,MQTT_IEEE.pcap,6,50:02:91:EA:4E:80,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,27.0,27.0,149550.0
IP,73,TCP,53.0,1581674962.952159,73,00:50:00:00:0c:00,50:00:00:01:00:03,10.0.0.5,192.168.1.7,24.0,56572.0,1883.0,MQTT,MQTT_IEEE.pcap,7,50:02:91:EA:4E:80,50:02:91:22:1A:8C,MQTT,21.0,MQTTPublish,19.0,None,0,4.0,54.0,19.0,27.0,27.0,149550.0
IP,54,TCP,34.0,1581674962.952194,54,00:50:00:00:0c:00,50:00:00:01:00:03,10.0.0.5,192.168.1.7,25.0,56572.0,1883.0,MQTT,MQTT_IEEE.pcap,8,50:02:91:EA:4E:80,50:02:91:22:1A:8C,MQTT,2.0,None,0.0,None,0,3.0,52.0,2.0,27.0,27.0,149550.0
IP,52,TCP,32.0,1581674962.952291,52,50:00:00:01:00:03,00:50:00:00:0c:00,192.168.1.7,10.0.0.5,16.0,1883.0,56572.0,MQTT,MQTT_IEEE.pcap,9,50:02:91:22:1A:8C,50:02:91:EA:4E:80,None,0.0,None,0.0,None,0,2.0,20.0,32.0,27.0,27.0,149550.0
