layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_4,length_4,application,payload_layers,header_length,payload_length,flow_id,flow_id_ip,flow_id_mac
IP,46,TCP,26.0,Padding,2.0,None,0.0,920293240.703176,46,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,2.0,1024.0,25.0,week1_monday.tcpdump,61,None,0,SMTP,3.0,44.0,2.0,8636.0,234.0,1.0
IP,46,TCP,26.0,Padding,2.0,None,0.0,920293240.703496,46,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,18.0,25.0,1024.0,week1_monday.tcpdump,62,None,0,SMTP,3.0,44.0,2.0,8636.0,234.0,1.0
IP,46,TCP,26.0,Padding,6.0,None,0.0,920293240.706315,46,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,16.0,1024.0,25.0,week1_monday.tcpdump,63,None,0,SMTP,3.0,40.0,6.0,8636.0,234.0,1.0
IP,124,TCP,104.0,SMTPResponse,84.0,None,0.0,920293240.954857,124,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,68,None,0,SMTP,3.0,40.0,84.0,8636.0,234.0,1.0
IP,46,TCP,26.0,Padding,6.0,None,0.0,920293240.968468,46,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,16.0,1024.0,25.0,week1_monday.tcpdump,69,None,0,SMTP,3.0,40.0,6.0,8636.0,234.0,1.0
IP,66,TCP,46.0,SMTPRequest,26.0,None,0.0,920293240.9911788,66,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,70,None,0,SMTP,3.0,40.0,26.0,8636.0,234.0,1.0
IP,66,TCP,46.0,SMTPResponse,26.0,None,0.0,920293240.9914428,66,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,71,None,0,SMTP,3.0,40.0,26.0,8636.0,234.0,1.0
IP,66,TCP,46.0,SMTPRequest,26.0,None,0.0,920293240.992448,66,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,72,None,0,SMTP,3.0,40.0,26.0,8636.0,234.0,1.0
IP,88,TCP,68.0,SMTPResponse,48.0,None,0.0,920293240.99269,88,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,73,None,0,SMTP,3.0,40.0,48.0,8636.0,234.0,1.0
IP,81,TCP,61.0,SMTPRequest,41.0,None,0.0,920293240.9935528,81,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,74,None,0,SMTP,3.0,40.0,41.0,8636.0,234.0,1.0
