layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_4,length_4,application,payload_layers,header_length,payload_length,flow_id,flow_id_ip,flow_id_mac
IP,132,UDP,112.0,SNMP,104.0,None,0.0,920295299.004174,132,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,0.0,32770.0,161.0,week1_monday.tcpdump,18515,None,0,SNMP,3.0,28.0,104.0,8.0,3.0,1.0
IP,150,UDP,130.0,SNMP,122.0,None,0.0,920295299.036796,150,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,0.0,161.0,32770.0,week1_monday.tcpdump,18516,None,0,SNMP,3.0,28.0,122.0,8.0,3.0,1.0
IP,132,UDP,112.0,SNMP,104.0,None,0.0,920295299.271692,132,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,0.0,32770.0,161.0,week1_monday.tcpdump,18517,None,0,SNMP,3.0,28.0,104.0,8.0,3.0,1.0
IP,150,UDP,130.0,SNMP,122.0,None,0.0,920295299.30429,150,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,0.0,161.0,32770.0,week1_monday.tcpdump,18518,None,0,SNMP,3.0,28.0,122.0,8.0,3.0,1.0
IP,132,UDP,112.0,SNMP,104.0,None,0.0,920295301.266722,132,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,0.0,32770.0,161.0,week1_monday.tcpdump,18521,None,0,SNMP,3.0,28.0,104.0,8.0,3.0,1.0
IP,150,UDP,130.0,SNMP,122.0,None,0.0,920295301.299304,150,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,0.0,161.0,32770.0,week1_monday.tcpdump,18522,None,0,SNMP,3.0,28.0,122.0,8.0,3.0,1.0
IP,132,UDP,112.0,SNMP,104.0,None,0.0,920295303.261858,132,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,0.0,32770.0,161.0,week1_monday.tcpdump,18525,None,0,SNMP,3.0,28.0,104.0,8.0,3.0,1.0
IP,150,UDP,130.0,SNMP,122.0,None,0.0,920295303.294492,150,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,0.0,161.0,32770.0,week1_monday.tcpdump,18526,None,0,SNMP,3.0,28.0,122.0,8.0,3.0,1.0
IP,132,UDP,112.0,SNMP,104.0,None,0.0,920295305.273925,132,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,0.0,32770.0,161.0,week1_monday.tcpdump,18528,None,0,SNMP,3.0,28.0,104.0,8.0,3.0,1.0
IP,150,UDP,130.0,SNMP,122.0,None,0.0,920295305.306487,150,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,0.0,161.0,32770.0,week1_monday.tcpdump,18529,None,0,SNMP,3.0,28.0,122.0,8.0,3.0,1.0
IP,132,UDP,112.0,SNMP,104.0,None,0.0,920295307.270584,132,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,0.0,32770.0,161.0,week1_monday.tcpdump,18824,None,0,SNMP,3.0,28.0,104.0,8.0,3.0,1.0
IP,150,UDP,130.0,SNMP,122.0,None,0.0,920295307.303084,150,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,0.0,161.0,32770.0,week1_monday.tcpdump,18825,None,0,SNMP,3.0,28.0,122.0,8.0,3.0,1.0
IP,132,UDP,112.0,SNMP,104.0,None,0.0,920295309.263919,132,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,0.0,32770.0,161.0,week1_monday.tcpdump,18959,None,0,SNMP,3.0,28.0,104.0,8.0,3.0,1.0
IP,150,UDP,130.0,SNMP,122.0,None,0.0,920295309.296424,150,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,0.0,161.0,32770.0,week1_monday.tcpdump,18960,None,0,SNMP,3.0,28.0,122.0,8.0,3.0,1.0
IP,132,UDP,112.0,SNMP,104.0,None,0.0,920295311.270691,132,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,0.0,32770.0,161.0,week1_monday.tcpdump,18964,None,0,SNMP,3.0,28.0,104.0,8.0,3.0,1.0
IP,150,UDP,130.0,SNMP,122.0,None,0.0,920295311.3031448,150,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,0.0,161.0,32770.0,week1_monday.tcpdump,18965,None,0,SNMP,3.0,28.0,122.0,8.0,3.0,1.0
