layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_4,length_4,application,payload_layers,header_length,payload_length,flow_id,flow_id_ip,flow_id_mac
IP,46,TCP,26.0,Padding,2.0,None,0.0,920298195.047394,46,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,2.0,6236.0,22.0,week1_monday.tcpdump,80594,None,0,SSH,3.0,44.0,2.0,31.0,20.0,1.0
IP,46,TCP,26.0,Padding,2.0,None,0.0,920298195.050125,46,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,18.0,22.0,6236.0,week1_monday.tcpdump,80595,None,0,SSH,3.0,44.0,2.0,31.0,20.0,1.0
IP,46,TCP,26.0,Padding,6.0,None,0.0,920298195.0503392,46,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,16.0,6236.0,22.0,week1_monday.tcpdump,80596,None,0,SSH,3.0,40.0,6.0,31.0,20.0,1.0
IP,55,TCP,35.0,SSH,15.0,None,0.0,920298195.101757,55,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,24.0,22.0,6236.0,week1_monday.tcpdump,80599,None,0,SSH,3.0,40.0,15.0,31.0,20.0,1.0
IP,55,TCP,35.0,SSH,15.0,None,0.0,920298195.102172,55,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,24.0,6236.0,22.0,week1_monday.tcpdump,80600,None,0,SSH,3.0,40.0,15.0,31.0,20.0,1.0
IP,316,TCP,296.0,SSH,276.0,None,0.0,920298195.105128,316,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,24.0,22.0,6236.0,week1_monday.tcpdump,80601,None,0,SSH,3.0,40.0,276.0,31.0,20.0,1.0
IP,46,TCP,26.0,Padding,6.0,None,0.0,920298195.1202848,46,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,16.0,6236.0,22.0,week1_monday.tcpdump,80602,None,0,SSH,3.0,40.0,6.0,31.0,20.0,1.0
IP,196,TCP,176.0,SSH,156.0,None,0.0,920298195.271284,196,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,24.0,6236.0,22.0,week1_monday.tcpdump,80608,None,0,SSH,3.0,40.0,156.0,31.0,20.0,1.0
IP,46,TCP,26.0,Padding,6.0,None,0.0,920298195.321564,46,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,16.0,22.0,6236.0,week1_monday.tcpdump,80610,None,0,SSH,3.0,40.0,6.0,31.0,20.0,1.0
IP,52,TCP,32.0,SSH,12.0,None,0.0,920298195.908137,52,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,24.0,22.0,6236.0,week1_monday.tcpdump,80614,None,0,SSH,3.0,40.0,12.0,31.0,20.0,1.0
IP,68,TCP,48.0,SSH,28.0,None,0.0,920298195.9083948,68,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,24.0,6236.0,22.0,week1_monday.tcpdump,80615,None,0,SSH,3.0,40.0,28.0,31.0,20.0,1.0
IP,52,TCP,32.0,SSH,12.0,None,0.0,920298195.922008,52,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,24.0,22.0,6236.0,week1_monday.tcpdump,80616,None,0,SSH,3.0,40.0,12.0,31.0,20.0,1.0
IP,46,TCP,26.0,Padding,6.0,None,0.0,920298195.940281,46,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,16.0,6236.0,22.0,week1_monday.tcpdump,80617,None,0,SSH,3.0,40.0,6.0,31.0,20.0,1.0
IP,68,TCP,48.0,SSH,28.0,None,0.0,920298196.2411288,68,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,24.0,6236.0,22.0,week1_monday.tcpdump,80621,None,0,SSH,3.0,40.0,28.0,31.0,20.0,1.0
IP,52,TCP,32.0,SSH,12.0,None,0.0,920298196.249704,52,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,24.0,22.0,6236.0,week1_monday.tcpdump,80622,None,0,SSH,3.0,40.0,12.0,31.0,20.0,1.0
IP,188,TCP,168.0,SSH,148.0,None,0.0,920298196.254674,188,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,24.0,6236.0,22.0,week1_monday.tcpdump,80623,None,0,SSH,3.0,40.0,148.0,31.0,20.0,1.0
IP,52,TCP,32.0,SSH,12.0,None,0.0,920298196.272677,52,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,24.0,22.0,6236.0,week1_monday.tcpdump,80624,None,0,SSH,3.0,40.0,12.0,31.0,20.0,1.0
IP,52,TCP,32.0,SSH,12.0,None,0.0,920298196.272912,52,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,24.0,6236.0,22.0,week1_monday.tcpdump,80625,None,0,SSH,3.0,40.0,12.0,31.0,20.0,1.0
IP,46,TCP,26.0,Padding,6.0,None,0.0,920298196.323296,46,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,16.0,22.0,6236.0,week1_monday.tcpdump,80626,None,0,SSH,3.0,40.0,6.0,31.0,20.0,1.0
IP,1244,TCP,1224.0,SSH,1204.0,None,0.0,920298196.355812,1244,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,24.0,22.0,6236.0,week1_monday.tcpdump,80630,None,0,SSH,3.0,40.0,1204.0,31.0,20.0,1.0
IP,46,TCP,26.0,Padding,6.0,None,0.0,920298196.37028,46,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,16.0,6236.0,22.0,week1_monday.tcpdump,80631,None,0,SSH,3.0,40.0,6.0,31.0,20.0,1.0
IP,1236,TCP,1216.0,SSH,1196.0,None,0.0,920298196.415659,1236,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,24.0,22.0,6236.0,week1_monday.tcpdump,80632,None,0,SSH,3.0,40.0,1196.0,31.0,20.0,1.0
IP,46,TCP,26.0,Padding,6.0,None,0.0,920298196.430276,46,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,16.0,6236.0,22.0,week1_monday.tcpdump,80633,None,0,SSH,3.0,40.0,6.0,31.0,20.0,1.0
IP,68,TCP,48.0,SSH,28.0,None,0.0,920298196.481891,68,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,24.0,22.0,6236.0,week1_monday.tcpdump,80634,None,0,SSH,3.0,40.0,28.0,31.0,20.0,1.0
IP,46,TCP,26.0,Padding,6.0,None,0.0,920298196.5002768,46,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,16.0,6236.0,22.0,week1_monday.tcpdump,80635,None,0,SSH,3.0,40.0,6.0,31.0,20.0,1.0
