layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,layers_4,length_4,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_5,length_5,application
Ether,80,IP,66,UDP,46.0,DNS,38.0,,,920293239.6251552,80,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,45,,,DNS
Ether,145,IP,131,UDP,111.0,DNS,103.0,,,920293239.628786,145,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,46,,,DNS
Ether,77,IP,63,UDP,43.0,DNS,35.0,,,920293240.6826812,77,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,59,,,DNS
Ether,133,IP,119,UDP,99.0,DNS,91.0,,,920293240.6837052,133,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,60,,,DNS
Ether,87,IP,73,UDP,53.0,DNS,45.0,,,920293240.874243,87,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,64,,,DNS
Ether,176,IP,162,UDP,142.0,DNS,134.0,,,920293240.875567,176,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,65,,,DNS
Ether,79,IP,65,UDP,45.0,DNS,37.0,,,920293240.877054,79,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,66,,,DNS
Ether,144,IP,130,UDP,110.0,DNS,102.0,,,920293240.8780768,144,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,67,,,DNS
Ether,75,IP,61,UDP,41.0,DNS,33.0,,,920293241.248295,75,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,90,,,DNS
Ether,129,IP,115,UDP,95.0,DNS,87.0,,,920293241.249168,129,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,91,,,DNS
Ether,74,IP,60,UDP,40.0,DNS,32.0,,,920293241.3377948,74,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,95,,,DNS
Ether,144,IP,130,UDP,110.0,DNS,102.0,,,920293241.339223,144,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,96,,,DNS
Ether,77,IP,63,UDP,43.0,DNS,35.0,,,920293242.850006,77,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,121,,,DNS
Ether,142,IP,128,UDP,108.0,DNS,100.0,,,920293242.851073,142,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,122,,,DNS
Ether,86,IP,72,UDP,52.0,DNS,44.0,,,920293242.886452,86,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,126,,,DNS
Ether,157,IP,143,UDP,123.0,DNS,115.0,,,920293242.888024,157,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,127,,,DNS
Ether,80,IP,66,UDP,46.0,DNS,38.0,,,920293242.979288,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,139,,,DNS
