layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,layers_4,length_4,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_5,length_5,application
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920294090.2271788,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.116.201,209.67.29.11,2.0,1773.0,80.0,week1_monday.tcpdump,5773,,,HTTP
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920294090.2318028,60,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,18.0,80.0,1773.0,week1_monday.tcpdump,5774,,,HTTP
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920294090.232491,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.116.201,209.67.29.11,16.0,1773.0,80.0,week1_monday.tcpdump,5775,,,HTTP
Ether,200,IP,186,TCP,166.0,HTTP,146.0,HTTPRequest,146.0,920294090.233087,200,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.116.201,209.67.29.11,24.0,1773.0,80.0,week1_monday.tcpdump,5776,,,HTTP
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920294090.254592,60,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5777,,,HTTP
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,HTTPResponse,1460.0,920294090.29498,1514,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5778,Raw,1170.0,HTTP
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.296202,1514,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5779,,,HTTP
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920294090.2982028,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.116.201,209.67.29.11,16.0,1773.0,80.0,week1_monday.tcpdump,5780,,,HTTP
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.303073,1514,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5781,,,HTTP
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.3043,1514,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5782,,,HTTP
