time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport,size_array,fopts_size
2020-05-01T00:00:05.120306Z,2600236f,QG8jACaAuzkFWvGynNCHRoFx4BLF,0000024b0b031c97,1,867100000,7.0,125.0,4/5,-99,8.0,-1,10,14779,5.0,21,0.0
2020-05-01T00:00:06.068913Z,2000000d,QA0AACCAqZoKtEPG3dQZNep4sv0FaRc6XSQ=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-102,-5.5,-1,10,39593,10.0,26,0.0
2020-05-01T00:00:07.916706Z,270002c5,QMUCACeA6TYPelOLFaxQItL06p0u,0000024b0b031c97,1,867300000,8.0,125.0,4/5,-105,-0.2,-1,10,14057,15.0,21,0.0
2020-05-01T00:00:08.978138Z,2700025a,QFoCACeA4TYP9gB6ns5/D+dgSffV,0000024b0b031c97,1,867700000,8.0,125.0,4/5,-108,-9.0,-1,10,14049,15.0,21,0.0
2020-05-01T00:00:13.353072Z,26012682,QIImASYAIdQBrHxruFnX6iYp+g==,0000024b0b031c97,1,867700000,7.0,125.0,4/5,-79,10.8,-1,10,54305,1.0,19,0.0
2020-05-01T00:00:15.941902Z,27007dc7,gMd9ACcAAgACCHA2PrjAzNSBhVUE,0000024b0b031c97,1,867900000,8.0,125.0,4/5,-112,-7.0,-1,100,2,2.0,21,0.0
2020-05-01T00:00:15.978398Z,0152e706,QAbnUgGAAiMFrnjJKtjA9T91MgNM5ucExMVrlsrGSqTjPHQ=,0000024b0b031c97,1,867500000,9.0,125.0,4/5,-97,-7.0,-1,10,8962,5.0,35,0.0
2020-05-01T00:00:18.173245Z,26012dc5,QMUtASYABx4BynMokLsYXgSdNdV6TYgUbvBKluFOkVbCqVDAxW+Dk1PU2HtV7S3i5vdcOGeJmWCHGFIlve4=,0000024b0b031c97,1,867700000,12.0,125.0,4/5,-108,-12.0,-1,10,7687,1.0,62,0.0
2020-05-01T00:00:20.910924Z,26012803,QAMoASaAED59cAHrP4gk8uN776Iz,0000024b0b031c97,1,867700000,12.0,125.0,4/5,-106,-12.8,-1,10,15888,125.0,21,0.0
2020-05-01T00:00:22.708997Z,26012786,QIYnASaAwwAFEqBICG1xNW+9CLRvW5b2HERHUF8=,0000024b0b031c97,1,868100000,12.0,125.0,4/5,-104,-2.0,-1,10,195,5.0,29,0.0
2020-05-01T00:00:28.125947Z,2700829c,gJyCACeAGwEoH1iqLC5KWdeYxg1nhu7sXLtEpK4aY4+dwUgYKjFwFg==,0000024b0b031c97,1,867300000,8.0,125.0,4/5,-109,-7.5,-1,100,283,40.0,40,0.0
2020-05-01T00:00:29.838585Z,270002a1,QKECACcAx1oFeZvuwM7agSN+B24e7m8B/B+selub4Q==,0000024b0b031c97,1,867900000,8.0,125.0,4/5,-101,-2.0,-1,10,23239,5.0,31,0.0
2020-05-01T00:00:34.339200Z,20000034,QDQAACCAb5wKrmug/9GXKFO047sx0fSTj6Y=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-103,-2.8,-1,10,40047,10.0,26,0.0
