layers_0,length_0,layers_1,length_1,layers_2,length_2,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,application,filename,num_packet,mac_src_custom,mac_dst_custom,layers_3,length_3,layers_4,length_4,layers_5,length_5
Ether,74,IP,60,TCP,40.0,1581674962.951038,74,00:50:00:00:0c:00,50:00:00:01:00:03,10.0.0.5,192.168.1.7,2.0,56572.0,1883.0,MQTT,MQTT_IEEE.pcap,0,50:02:91:EA:4E:80,50:02:91:22:1A:8C,,,,,,
Ether,74,IP,60,TCP,40.0,1581674962.951481,74,50:00:00:01:00:03,00:50:00:00:0c:00,192.168.1.7,10.0.0.5,18.0,1883.0,56572.0,MQTT,MQTT_IEEE.pcap,1,50:02:91:22:1A:8C,50:02:91:EA:4E:80,,,,,,
Ether,66,IP,52,TCP,32.0,1581674962.9517062,66,00:50:00:00:0c:00,50:00:00:01:00:03,10.0.0.5,192.168.1.7,16.0,56572.0,1883.0,MQTT,MQTT_IEEE.pcap,2,50:02:91:EA:4E:80,50:02:91:22:1A:8C,,,,,,
Ether,115,IP,101,TCP,81.0,1581674962.951787,115,00:50:00:00:0c:00,50:00:00:01:00:03,10.0.0.5,192.168.1.7,24.0,56572.0,1883.0,MQTT,MQTT_IEEE.pcap,3,50:02:91:EA:4E:80,50:02:91:22:1A:8C,MQTT,49.0,MQTTConnect,47.0,,
Ether,66,IP,52,TCP,32.0,1581674962.951913,66,50:00:00:01:00:03,00:50:00:00:0c:00,192.168.1.7,10.0.0.5,16.0,1883.0,56572.0,MQTT,MQTT_IEEE.pcap,4,50:02:91:22:1A:8C,50:02:91:EA:4E:80,,,,,,
Ether,70,IP,56,TCP,36.0,1581674962.951933,70,50:00:00:01:00:03,00:50:00:00:0c:00,192.168.1.7,10.0.0.5,24.0,1883.0,56572.0,MQTT,MQTT_IEEE.pcap,5,50:02:91:22:1A:8C,50:02:91:EA:4E:80,MQTT,4.0,MQTTConnack,2.0,,
Ether,66,IP,52,TCP,32.0,1581674962.952089,66,00:50:00:00:0c:00,50:00:00:01:00:03,10.0.0.5,192.168.1.7,16.0,56572.0,1883.0,MQTT,MQTT_IEEE.pcap,6,50:02:91:EA:4E:80,50:02:91:22:1A:8C,,,,,,
Ether,87,IP,73,TCP,53.0,1581674962.952159,87,00:50:00:00:0c:00,50:00:00:01:00:03,10.0.0.5,192.168.1.7,24.0,56572.0,1883.0,MQTT,MQTT_IEEE.pcap,7,50:02:91:EA:4E:80,50:02:91:22:1A:8C,MQTT,21.0,MQTTPublish,19.0,,
Ether,68,IP,54,TCP,34.0,1581674962.952194,68,00:50:00:00:0c:00,50:00:00:01:00:03,10.0.0.5,192.168.1.7,25.0,56572.0,1883.0,MQTT,MQTT_IEEE.pcap,8,50:02:91:EA:4E:80,50:02:91:22:1A:8C,MQTT,2.0,,,,
Ether,66,IP,52,TCP,32.0,1581674962.952291,66,50:00:00:01:00:03,00:50:00:00:0c:00,192.168.1.7,10.0.0.5,16.0,1883.0,56572.0,MQTT,MQTT_IEEE.pcap,9,50:02:91:22:1A:8C,50:02:91:EA:4E:80,,,,,,
Ether,66,IP,52,TCP,32.0,1581674962.9522948,66,50:00:00:01:00:03,00:50:00:00:0c:00,192.168.1.7,10.0.0.5,17.0,1883.0,56572.0,MQTT,MQTT_IEEE.pcap,10,50:02:91:22:1A:8C,50:02:91:EA:4E:80,,,,,,
Ether,66,IP,52,TCP,32.0,1581674962.952459,66,00:50:00:00:0c:00,50:00:00:01:00:03,10.0.0.5,192.168.1.7,16.0,56572.0,1883.0,MQTT,MQTT_IEEE.pcap,11,50:02:91:EA:4E:80,50:02:91:22:1A:8C,,,,,,
Ether,74,IP,60,TCP,40.0,1581674963.135728,74,00:50:00:00:15:00,50:00:00:01:00:03,10.0.0.11,192.168.1.7,2.0,51906.0,1883.0,MQTT,MQTT_IEEE.pcap,13,50:02:91:55:8E:56,50:02:91:22:1A:8C,,,,,,
Ether,74,IP,60,TCP,40.0,1581674963.136032,74,50:00:00:01:00:03,00:50:00:00:15:00,192.168.1.7,10.0.0.11,18.0,1883.0,51906.0,MQTT,MQTT_IEEE.pcap,14,50:02:91:22:1A:8C,50:02:91:55:8E:56,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.136283,66,00:50:00:00:15:00,50:00:00:01:00:03,10.0.0.11,192.168.1.7,16.0,51906.0,1883.0,MQTT,MQTT_IEEE.pcap,15,50:02:91:55:8E:56,50:02:91:22:1A:8C,,,,,,
Ether,115,IP,101,TCP,81.0,1581674963.136347,115,00:50:00:00:15:00,50:00:00:01:00:03,10.0.0.11,192.168.1.7,24.0,51906.0,1883.0,MQTT,MQTT_IEEE.pcap,16,50:02:91:55:8E:56,50:02:91:22:1A:8C,MQTT,49.0,MQTTConnect,47.0,,
Ether,74,IP,60,TCP,40.0,1581674963.136465,74,00:50:00:00:17:00,50:00:00:01:00:03,10.0.0.14,192.168.1.7,2.0,54202.0,1883.0,MQTT,MQTT_IEEE.pcap,17,50:02:91:1E:08:55,50:02:91:22:1A:8C,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.136516,66,50:00:00:01:00:03,00:50:00:00:15:00,192.168.1.7,10.0.0.11,16.0,1883.0,51906.0,MQTT,MQTT_IEEE.pcap,18,50:02:91:22:1A:8C,50:02:91:55:8E:56,,,,,,
Ether,70,IP,56,TCP,36.0,1581674963.1365368,70,50:00:00:01:00:03,00:50:00:00:15:00,192.168.1.7,10.0.0.11,24.0,1883.0,51906.0,MQTT,MQTT_IEEE.pcap,19,50:02:91:22:1A:8C,50:02:91:55:8E:56,MQTT,4.0,MQTTConnack,2.0,,
Ether,74,IP,60,TCP,40.0,1581674963.136599,74,50:00:00:01:00:03,00:50:00:00:17:00,192.168.1.7,10.0.0.14,18.0,1883.0,54202.0,MQTT,MQTT_IEEE.pcap,20,50:02:91:22:1A:8C,50:02:91:1E:08:55,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.136792,66,00:50:00:00:15:00,50:00:00:01:00:03,10.0.0.11,192.168.1.7,16.0,51906.0,1883.0,MQTT,MQTT_IEEE.pcap,22,50:02:91:55:8E:56,50:02:91:22:1A:8C,,,,,,
