layers_0,length_0,layers_1,length_1,layers_2,length_2,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,application,filename,num_packet,mac_src_custom,mac_dst_custom,layers_3,length_3,layers_4,length_4
CookedLinux,76,IP,60,TCP,40,1591954801.290201,76,,,192.168.0.151,10.16.100.73,2,39937,1883,MQTT,MQTT_Kaggle.pcap,0,50:02:91:48:23:4A,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.290213,76,,,10.16.100.73,192.168.0.151,18,1883,39937,MQTT,MQTT_Kaggle.pcap,1,50:02:91:3D:4C:97,50:02:91:48:23:4A,,,,
CookedLinux,68,IP,52,TCP,32,1591954801.2902231,68,,,192.168.0.151,10.16.100.73,16,39937,1883,MQTT,MQTT_Kaggle.pcap,2,50:02:91:48:23:4A,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.298875,76,,,192.168.0.150,10.16.100.73,2,38969,1883,MQTT,MQTT_Kaggle.pcap,3,50:02:91:1A:7D:68,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.2988858,76,,,10.16.100.73,192.168.0.150,18,1883,38969,MQTT,MQTT_Kaggle.pcap,4,50:02:91:3D:4C:97,50:02:91:1A:7D:68,,,,
CookedLinux,68,IP,52,TCP,32,1591954801.298897,68,,,192.168.0.150,10.16.100.73,16,38969,1883,MQTT,MQTT_Kaggle.pcap,5,50:02:91:1A:7D:68,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.306981,76,,,192.168.0.152,10.16.100.73,2,38451,1883,MQTT,MQTT_Kaggle.pcap,6,50:02:91:0D:AA:71,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.306992,76,,,10.16.100.73,192.168.0.152,18,1883,38451,MQTT,MQTT_Kaggle.pcap,7,50:02:91:3D:4C:97,50:02:91:0D:AA:71,,,,
CookedLinux,68,IP,52,TCP,32,1591954801.3070009,68,,,192.168.0.152,10.16.100.73,16,38451,1883,MQTT,MQTT_Kaggle.pcap,8,50:02:91:0D:AA:71,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.315308,76,,,192.168.0.154,10.16.100.73,2,45845,1883,MQTT,MQTT_Kaggle.pcap,9,50:02:91:1B:E0:40,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.3153212,76,,,10.16.100.73,192.168.0.154,18,1883,45845,MQTT,MQTT_Kaggle.pcap,10,50:02:91:3D:4C:97,50:02:91:1B:E0:40,,,,
CookedLinux,68,IP,52,TCP,32,1591954801.315332,68,,,192.168.0.154,10.16.100.73,16,45845,1883,MQTT,MQTT_Kaggle.pcap,11,50:02:91:1B:E0:40,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.32378,76,,,192.168.0.180,10.16.100.73,2,33123,1883,MQTT,MQTT_Kaggle.pcap,12,50:02:91:38:9C:2D,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.323792,76,,,10.16.100.73,192.168.0.180,18,1883,33123,MQTT,MQTT_Kaggle.pcap,13,50:02:91:3D:4C:97,50:02:91:38:9C:2D,,,,
CookedLinux,68,IP,52,TCP,32,1591954801.323802,68,,,192.168.0.180,10.16.100.73,16,33123,1883,MQTT,MQTT_Kaggle.pcap,14,50:02:91:38:9C:2D,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.331704,76,,,192.168.0.173,10.16.100.73,2,46155,1883,MQTT,MQTT_Kaggle.pcap,15,50:02:91:0E:83:D7,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.3317132,76,,,10.16.100.73,192.168.0.173,18,1883,46155,MQTT,MQTT_Kaggle.pcap,16,50:02:91:3D:4C:97,50:02:91:0E:83:D7,,,,
CookedLinux,68,IP,52,TCP,32,1591954801.331722,68,,,192.168.0.173,10.16.100.73,16,46155,1883,MQTT,MQTT_Kaggle.pcap,17,50:02:91:0E:83:D7,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.339552,76,,,192.168.0.176,10.16.100.73,2,43061,1883,MQTT,MQTT_Kaggle.pcap,18,50:02:91:AC:C2:6A,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.339562,76,,,10.16.100.73,192.168.0.176,18,1883,43061,MQTT,MQTT_Kaggle.pcap,19,50:02:91:3D:4C:97,50:02:91:AC:C2:6A,,,,
CookedLinux,68,IP,52,TCP,32,1591954801.339572,68,,,192.168.0.176,10.16.100.73,16,43061,1883,MQTT,MQTT_Kaggle.pcap,20,50:02:91:AC:C2:6A,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.34832,76,,,192.168.0.178,10.16.100.73,2,44655,1883,MQTT,MQTT_Kaggle.pcap,21,50:02:91:CE:A6:4A,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.348332,76,,,10.16.100.73,192.168.0.178,18,1883,44655,MQTT,MQTT_Kaggle.pcap,22,50:02:91:3D:4C:97,50:02:91:CE:A6:4A,,,,
CookedLinux,68,IP,52,TCP,32,1591954801.348343,68,,,192.168.0.178,10.16.100.73,16,44655,1883,MQTT,MQTT_Kaggle.pcap,23,50:02:91:CE:A6:4A,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.35643,76,,,192.168.0.155,10.16.100.73,2,39481,1883,MQTT,MQTT_Kaggle.pcap,24,50:02:91:C2:B4:8D,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.356442,76,,,10.16.100.73,192.168.0.155,18,1883,39481,MQTT,MQTT_Kaggle.pcap,25,50:02:91:3D:4C:97,50:02:91:C2:B4:8D,,,,
