layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,layers_4,length_4,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_5,length_5,application
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920293240.703176,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,2.0,1024.0,25.0,week1_monday.tcpdump,61,,,SMTP
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920293240.703496,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,18.0,25.0,1024.0,week1_monday.tcpdump,62,,,SMTP
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293240.706315,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,16.0,1024.0,25.0,week1_monday.tcpdump,63,,,SMTP
Ether,138,IP,124,TCP,104.0,SMTPResponse,84.0,,,920293240.954857,138,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,68,,,SMTP
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293240.968468,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,16.0,1024.0,25.0,week1_monday.tcpdump,69,,,SMTP
Ether,80,IP,66,TCP,46.0,SMTPRequest,26.0,,,920293240.9911788,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,70,,,SMTP
Ether,80,IP,66,TCP,46.0,SMTPResponse,26.0,,,920293240.9914428,80,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,71,,,SMTP
Ether,80,IP,66,TCP,46.0,SMTPRequest,26.0,,,920293240.992448,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,72,,,SMTP
Ether,102,IP,88,TCP,68.0,SMTPResponse,48.0,,,920293240.99269,102,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,73,,,SMTP
Ether,95,IP,81,TCP,61.0,SMTPRequest,41.0,,,920293240.9935528,95,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,74,,,SMTP
Ether,102,IP,88,TCP,68.0,SMTPResponse,48.0,,,920293240.9938,102,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,75,,,SMTP
Ether,89,IP,75,TCP,55.0,SMTPRequest,35.0,,,920293240.9946972,89,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,76,,,SMTP
Ether,88,IP,74,TCP,54.0,SMTPResponse,34.0,,,920293240.99493,88,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,77,,,SMTP
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,,,920293240.9957348,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,78,,,SMTP
Ether,104,IP,90,TCP,70.0,SMTPResponse,50.0,,,920293240.9968492,104,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,79,,,SMTP
Ether,1078,IP,1064,TCP,1044.0,SMTPRequest,1024.0,,,920293240.999288,1078,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,80,,,SMTP
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293241.015828,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,16.0,25.0,1024.0,week1_monday.tcpdump,81,,,SMTP
Ether,349,IP,335,TCP,315.0,SMTPRequest,295.0,,,920293241.016952,349,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,82,,,SMTP
Ether,73,IP,59,TCP,39.0,SMTPResponse,19.0,,,920293241.018508,73,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,83,,,SMTP
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,,,920293241.019264,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,84,,,SMTP
Ether,78,IP,64,TCP,44.0,SMTPResponse,24.0,,,920293241.019482,78,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,85,,,SMTP
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293241.020056,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,17.0,25.0,1024.0,week1_monday.tcpdump,86,,,SMTP
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293241.0207132,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,16.0,1024.0,25.0,week1_monday.tcpdump,87,,,SMTP
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293241.026281,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,17.0,1024.0,25.0,week1_monday.tcpdump,88,,,SMTP
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293241.026503,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,16.0,25.0,1024.0,week1_monday.tcpdump,89,,,SMTP
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920293241.254533,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,2.0,1026.0,25.0,week1_monday.tcpdump,92,,,SMTP
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920293241.254833,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,18.0,25.0,1026.0,week1_monday.tcpdump,93,,,SMTP
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293241.255604,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,16.0,1026.0,25.0,week1_monday.tcpdump,94,,,SMTP
Ether,136,IP,122,TCP,102.0,SMTPResponse,82.0,,,920293242.043267,136,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,24.0,25.0,1026.0,week1_monday.tcpdump,97,,,SMTP
Ether,80,IP,66,TCP,46.0,SMTPRequest,26.0,,,920293242.04566,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,98,,,SMTP
Ether,80,IP,66,TCP,46.0,SMTPResponse,26.0,,,920293242.046031,80,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,24.0,25.0,1026.0,week1_monday.tcpdump,99,,,SMTP
Ether,80,IP,66,TCP,46.0,SMTPRequest,26.0,,,920293242.046864,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,100,,,SMTP
Ether,102,IP,88,TCP,68.0,SMTPResponse,48.0,,,920293242.047108,102,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,24.0,25.0,1026.0,week1_monday.tcpdump,101,,,SMTP
Ether,95,IP,81,TCP,61.0,SMTPRequest,41.0,,,920293242.047941,95,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,102,,,SMTP
Ether,102,IP,88,TCP,68.0,SMTPResponse,48.0,,,920293242.048192,102,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,24.0,25.0,1026.0,week1_monday.tcpdump,103,,,SMTP
Ether,90,IP,76,TCP,56.0,SMTPRequest,36.0,,,920293242.0490848,90,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,104,,,SMTP
Ether,89,IP,75,TCP,55.0,SMTPResponse,35.0,,,920293242.0493188,89,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,24.0,25.0,1026.0,week1_monday.tcpdump,105,,,SMTP
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,,,920293242.050107,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,106,,,SMTP
Ether,104,IP,90,TCP,70.0,SMTPResponse,50.0,,,920293242.0511768,104,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,24.0,25.0,1026.0,week1_monday.tcpdump,107,,,SMTP
Ether,1078,IP,1064,TCP,1044.0,SMTPRequest,1024.0,,,920293242.05364,1078,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,108,,,SMTP
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293242.0658368,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,16.0,25.0,1026.0,week1_monday.tcpdump,109,,,SMTP
Ether,349,IP,335,TCP,315.0,SMTPRequest,295.0,,,920293242.066927,349,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,110,,,SMTP
Ether,73,IP,59,TCP,39.0,SMTPResponse,19.0,,,920293242.070051,73,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,24.0,25.0,1026.0,week1_monday.tcpdump,111,,,SMTP
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,,,920293242.0707812,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,112,,,SMTP
