layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,layers_4,length_4,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_5,length_5,application
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920295299.004174,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,,32770.0,161.0,week1_monday.tcpdump,18515,,,SNMP
Ether,164,IP,150,UDP,130.0,SNMP,122.0,,,920295299.036796,164,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,,161.0,32770.0,week1_monday.tcpdump,18516,,,SNMP
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920295299.271692,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,,32770.0,161.0,week1_monday.tcpdump,18517,,,SNMP
Ether,164,IP,150,UDP,130.0,SNMP,122.0,,,920295299.30429,164,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,,161.0,32770.0,week1_monday.tcpdump,18518,,,SNMP
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920295301.266722,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,,32770.0,161.0,week1_monday.tcpdump,18521,,,SNMP
Ether,164,IP,150,UDP,130.0,SNMP,122.0,,,920295301.299304,164,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,,161.0,32770.0,week1_monday.tcpdump,18522,,,SNMP
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920295303.261858,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,,32770.0,161.0,week1_monday.tcpdump,18525,,,SNMP
Ether,164,IP,150,UDP,130.0,SNMP,122.0,,,920295303.294492,164,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,,161.0,32770.0,week1_monday.tcpdump,18526,,,SNMP
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920295305.273925,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,,32770.0,161.0,week1_monday.tcpdump,18528,,,SNMP
Ether,164,IP,150,UDP,130.0,SNMP,122.0,,,920295305.306487,164,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,,161.0,32770.0,week1_monday.tcpdump,18529,,,SNMP
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920295307.270584,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,,32770.0,161.0,week1_monday.tcpdump,18824,,,SNMP
Ether,164,IP,150,UDP,130.0,SNMP,122.0,,,920295307.303084,164,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,,161.0,32770.0,week1_monday.tcpdump,18825,,,SNMP
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920295309.263919,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,,32770.0,161.0,week1_monday.tcpdump,18959,,,SNMP
Ether,164,IP,150,UDP,130.0,SNMP,122.0,,,920295309.296424,164,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,,161.0,32770.0,week1_monday.tcpdump,18960,,,SNMP
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920295311.270691,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,,32770.0,161.0,week1_monday.tcpdump,18964,,,SNMP
Ether,164,IP,150,UDP,130.0,SNMP,122.0,,,920295311.3031448,164,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,,161.0,32770.0,week1_monday.tcpdump,18965,,,SNMP
Ether,147,IP,133,UDP,113.0,SNMP,105.0,,,920295313.266783,147,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.0.1,,32770.0,161.0,week1_monday.tcpdump,18967,,,SNMP
Ether,165,IP,151,UDP,131.0,SNMP,123.0,,,920295313.299222,165,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.0.1,192.168.1.30,,161.0,32770.0,week1_monday.tcpdump,18968,,,SNMP
