layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,layers_4,length_4,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_5,length_5,application
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920298195.047394,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,2.0,6236.0,22.0,week1_monday.tcpdump,80594,,,SSH
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920298195.050125,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,18.0,22.0,6236.0,week1_monday.tcpdump,80595,,,SSH
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920298195.0503392,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,16.0,6236.0,22.0,week1_monday.tcpdump,80596,,,SSH
Ether,69,IP,55,TCP,35.0,SSH,15.0,,,920298195.101757,69,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,24.0,22.0,6236.0,week1_monday.tcpdump,80599,,,SSH
Ether,69,IP,55,TCP,35.0,SSH,15.0,,,920298195.102172,69,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,24.0,6236.0,22.0,week1_monday.tcpdump,80600,,,SSH
Ether,330,IP,316,TCP,296.0,SSH,276.0,,,920298195.105128,330,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,24.0,22.0,6236.0,week1_monday.tcpdump,80601,,,SSH
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920298195.1202848,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,16.0,6236.0,22.0,week1_monday.tcpdump,80602,,,SSH
Ether,210,IP,196,TCP,176.0,SSH,156.0,,,920298195.271284,210,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.112.50,24.0,6236.0,22.0,week1_monday.tcpdump,80608,,,SSH
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920298195.321564,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,16.0,22.0,6236.0,week1_monday.tcpdump,80610,,,SSH
Ether,66,IP,52,TCP,32.0,SSH,12.0,,,920298195.908137,66,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.50,195.73.151.50,24.0,22.0,6236.0,week1_monday.tcpdump,80614,,,SSH
