size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
444,568,2,32,55,65,75,75,78,78,86,94,108,129,141,143,143,145,155,158,162,177,200,212,231,248,261,286,307,323,335,352,365,380,406,419,436,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33313
439,568,6,32,55,65,75,75,78,78,86,94,108,129,141,143,143,145,155,158,162,177,200,212,231,249,260,285,304,320,333,351,364,378,403,416,430,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33317
628,800,21,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,115,139,152,169,183,208,224,246,269,288,311,330,340,361,384,402,416,441,452,457,471,476,494,511,529,541,570,590,601,609,620,33332
353,512,0,38,52,65,72,72,75,75,87,92,109,133,141,141,143,144,154,158,166,177,200,214,226,243,256,272,287,290,305,318,337,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33339
384,528,6,38,56,70,77,77,78,78,90,94,114,134,144,145,145,147,157,162,170,177,200,216,233,254,268,290,303,310,321,334,353,369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33345
722,800,17,11,18,31,39,39,40,40,51,57,65,72,78,78,84,85,95,99,119,139,147,168,182,200,218,245,267,287,313,327,349,367,386,412,426,451,470,489,513,526,551,569,585,612,628,649,670,689,712,33356
392,528,18,38,56,70,77,77,78,78,90,94,114,134,144,145,145,147,157,162,170,177,200,216,233,250,265,291,306,315,325,338,357,375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33357
383,528,20,38,56,70,77,77,78,78,90,94,114,134,144,145,145,147,157,162,170,177,200,216,233,247,260,283,297,305,315,328,347,364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33359
388,536,46,38,47,65,72,72,74,75,83,88,109,130,139,140,140,142,152,155,166,176,199,212,227,249,259,284,298,301,314,330,348,365,380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33385
700,800,53,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,119,143,150,171,184,199,224,251,265,291,317,336,350,371,391,404,424,444,457,481,500,513,536,555,567,591,604,623,645,664,677,33392
386,536,64,38,47,65,72,72,74,75,83,88,109,130,139,140,140,142,152,155,166,176,199,212,226,243,258,287,298,309,319,329,351,369,382,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33403
378,528,68,38,56,70,77,77,78,78,90,94,114,134,144,145,145,147,157,162,170,177,200,216,232,253,264,278,295,304,311,326,343,362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33407
375,528,76,38,56,70,77,77,78,78,90,94,114,134,144,145,145,147,157,162,170,177,200,216,232,253,260,282,293,300,311,323,341,360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33415
745,800,127,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,119,143,150,171,184,209,221,249,264,285,311,330,345,373,393,410,432,455,473,496,517,533,560,579,597,622,640,659,683,703,722,33466
376,536,130,38,47,65,72,72,74,75,83,88,109,130,139,140,140,142,152,155,166,176,199,212,227,248,256,281,290,302,311,323,342,361,375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33469
438,568,8,37,56,68,78,78,80,80,90,95,108,129,143,144,144,144,156,161,170,179,198,211,222,247,260,279,302,319,330,349,363,377,402,415,431,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33701
433,568,10,31,55,68,76,77,78,78,90,90,104,129,140,142,142,144,155,159,163,177,194,210,223,244,262,281,295,315,329,346,360,373,398,408,428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33721
440,568,28,31,55,68,76,77,78,78,90,90,104,129,140,142,142,144,155,159,163,177,194,210,227,241,261,279,302,315,327,350,360,376,400,412,428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33739
433,568,32,31,55,68,76,77,78,78,90,90,104,129,140,142,142,144,155,159,163,177,194,210,227,249,256,280,297,315,325,343,356,373,398,407,426,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33743
433,568,34,31,55,68,76,77,78,78,90,90,104,129,140,142,142,144,155,159,163,177,194,210,227,241,256,275,297,315,324,342,358,373,397,410,428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33745
626,800,35,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,115,139,152,163,178,202,218,240,265,285,305,328,342,357,379,400,412,437,445,456,464,474,491,509,527,538,567,586,597,606,617,33746
732,800,41,11,18,31,39,39,40,40,51,57,65,72,78,78,84,85,95,99,115,132,147,161,178,199,220,239,255,279,303,320,345,362,386,401,426,446,469,487,510,529,551,566,593,608,635,651,676,694,717,33752
822,800,53,11,18,31,39,39,40,40,51,57,65,72,78,78,84,85,95,99,115,132,147,161,175,192,207,229,252,273,303,326,354,374,403,427,451,480,502,529,552,572,605,627,655,678,703,731,754,780,805,33764
697,800,61,11,18,31,39,39,40,40,51,57,65,72,78,78,84,85,95,99,115,132,147,161,175,191,203,224,245,262,292,307,329,344,365,389,406,428,443,463,485,502,526,542,560,582,600,623,638,658,682,33772
375,528,68,41,56,69,76,77,77,77,88,91,105,130,139,140,141,141,152,155,164,175,192,208,222,244,255,276,287,297,305,320,338,356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33779
375,536,76,41,54,62,72,72,74,74,82,88,108,127,134,135,136,137,144,152,159,169,189,201,217,239,253,272,285,291,303,317,335,347,368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33787
371,536,84,41,54,62,72,72,74,74,82,88,108,127,134,135,136,137,144,152,159,169,189,201,218,236,247,269,280,290,299,312,332,348,360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33795
380,536,90,41,54,62,72,72,74,74,82,88,108,127,134,135,136,137,144,152,159,169,189,201,218,238,247,270,285,290,303,315,334,352,369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33801
694,800,91,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,120,137,149,164,184,206,223,244,263,279,313,327,343,367,386,399,423,439,452,477,494,508,532,549,563,584,602,618,641,660,673,33802
736,800,97,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,120,137,149,164,184,207,226,246,266,292,315,334,352,368,396,412,436,453,472,495,516,533,558,576,587,616,637,653,677,697,715,33808
377,528,116,41,56,69,76,77,77,77,88,91,105,130,139,140,141,141,152,155,164,175,192,208,222,243,254,280,295,304,312,326,344,361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33827
387,528,124,41,56,69,76,77,77,77,88,91,105,130,139,140,141,141,152,155,164,175,192,208,222,251,260,287,300,307,316,329,348,367,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33835
686,800,155,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,120,137,149,164,184,200,215,243,260,282,305,323,336,360,379,386,414,433,444,469,487,496,524,539,554,576,594,608,631,650,662,33866
744,800,159,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,120,137,149,164,184,206,213,250,265,282,309,326,344,370,386,406,432,450,464,496,512,530,558,574,586,620,636,653,682,698,716,33870
727,800,162,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,120,137,149,164,184,200,217,244,259,281,306,326,344,365,388,403,428,447,464,487,508,524,550,568,585,610,629,644,669,690,706,33873
383,536,163,41,54,62,72,72,74,74,82,88,108,127,134,135,136,137,144,152,159,169,189,201,218,235,244,268,288,297,306,317,338,352,373,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33874
307,472,169,11,19,31,38,39,39,39,51,55,66,75,82,83,84,84,95,99,117,133,147,162,180,197,216,242,262,269,298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33880
749,800,43,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,120,137,149,169,182,200,217,236,254,272,298,312,339,363,380,404,427,445,468,492,511,522,557,576,598,621,638,662,685,704,727,34088
732,800,45,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,120,137,149,169,183,199,216,237,250,268,295,316,329,358,376,393,421,441,456,483,504,517,546,565,579,607,628,643,671,691,706,34090
687,800,53,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,120,137,149,169,182,201,224,239,254,278,305,324,336,358,377,391,411,432,446,468,485,500,523,542,555,579,596,610,631,651,665,34098
365,536,54,37,49,59,67,68,68,68,81,83,103,121,129,130,130,132,139,147,156,165,188,198,214,228,241,261,272,282,291,305,323,340,352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34099
667,800,71,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,114,134,148,165,177,203,220,239,263,285,311,326,350,362,391,414,429,447,466,477,484,497,509,527,543,570,586,601,619,642,652,34116
430,568,76,34,50,65,69,73,73,73,85,89,101,122,133,133,136,137,143,152,161,166,193,203,222,240,252,276,295,314,323,342,356,371,396,407,426,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34121
306,488,78,38,50,59,69,70,71,72,82,86,96,117,126,126,127,127,137,143,150,161,183,195,204,223,235,252,270,280,291,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34123
618,800,1,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,114,134,148,159,182,203,220,237,257,276,296,306,330,343,362,374,385,401,412,431,452,470,487,507,520,527,540,554,565,583,601,34140
373,528,16,36,54,67,74,74,76,76,88,91,110,128,135,135,138,139,148,148,163,169,189,204,221,238,255,274,289,296,300,320,336,355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34155
739,800,47,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,120,137,149,163,182,202,217,236,254,275,298,321,341,364,379,403,426,443,467,489,507,529,552,569,590,613,633,653,677,696,717,34186
731,800,49,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,120,137,149,163,182,207,224,241,262,285,310,329,343,368,388,404,431,451,464,492,504,519,553,570,585,611,629,645,673,691,706,34188
373,536,54,36,52,61,69,69,71,73,81,87,100,125,131,133,134,134,143,149,156,167,185,199,214,238,253,270,284,293,302,316,335,351,367,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34193
370,536,60,36,52,61,69,69,71,73,81,87,100,125,131,133,134,134,143,149,156,167,185,199,215,235,247,261,280,285,294,311,329,348,362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34199
368,536,62,36,52,61,69,69,71,73,81,87,100,125,131,133,134,134,143,149,156,167,185,199,215,234,251,264,277,285,294,308,326,344,360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34201
369,536,70,36,52,61,69,69,71,73,81,87,100,125,131,133,134,134,143,149,156,167,185,199,215,233,241,261,276,284,294,306,326,340,359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34209
690,800,71,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,120,137,149,163,182,201,217,233,244,263,294,310,324,349,367,382,407,422,440,464,478,497,521,536,553,578,594,607,629,651,666,34210
355,544,1,11,22,31,41,41,42,42,54,58,58,77,83,84,84,84,97,97,116,131,145,163,178,204,217,239,257,270,285,297,310,329,340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34238
421,552,0,34,55,69,74,78,78,80,90,95,106,127,139,139,140,140,152,156,162,174,196,214,229,248,258,278,301,320,331,351,361,373,401,412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35019
662,800,5,11,20,35,41,43,44,45,55,58,69,78,84,86,86,86,98,102,114,134,148,166,183,202,222,235,258,280,306,320,346,360,387,410,425,445,459,471,480,486,502,522,534,565,580,597,614,629,650,35024
444,568,10,34,57,72,79,79,79,79,92,97,108,127,141,141,141,144,152,158,165,176,200,213,229,250,269,287,303,318,335,355,367,380,406,419,435,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35029
444,568,14,38,55,69,78,78,79,79,89,95,107,131,141,141,141,146,157,159,169,180,200,214,225,252,268,283,307,323,334,355,366,380,404,419,435,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35047
442,568,20,38,55,69,78,78,79,79,89,95,107,131,141,141,141,146,157,159,169,180,200,214,225,246,263,278,303,319,331,353,364,380,404,417,433,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35053
368,528,24,38,53,67,74,74,74,77,88,92,110,131,142,142,142,142,150,158,168,175,200,212,227,243,251,263,282,292,301,314,334,349,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35099
748,800,27,11,18,31,39,39,40,40,51,57,65,72,78,78,84,85,95,99,119,139,147,166,183,205,225,242,264,281,302,321,349,364,390,411,428,455,471,496,519,535,564,576,603,626,642,670,685,706,733,35102
735,800,29,11,18,31,39,39,40,40,51,57,65,72,78,78,84,85,95,99,119,139,147,166,183,199,214,233,255,276,300,318,339,360,372,403,423,446,463,486,509,527,552,568,590,613,630,656,672,693,718,35104
696,800,31,11,18,31,39,39,40,40,51,57,65,72,78,78,84,85,95,99,119,139,147,166,186,208,228,240,265,285,309,322,347,363,380,401,416,440,458,471,497,511,534,552,567,587,605,629,646,662,685,35106
695,800,33,11,18,31,39,39,40,40,51,57,65,72,78,78,84,85,95,99,119,139,147,166,183,199,214,231,249,274,301,314,339,356,374,396,408,435,449,463,489,504,530,546,560,586,597,622,641,658,683,35108
383,536,44,38,50,63,70,70,70,70,82,87,107,129,134,134,139,139,150,156,163,172,195,206,222,244,257,277,294,302,310,322,344,358,376,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35119
