packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
2,496,313,14,30,44,56,60,60,67,67,79,82,95,112,123,125,125,127,135,142,150,159,171,185,197,216,231,253,270,276,287,304,313,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,245
6,568,437,18,34,42,65,73,76,77,78,88,89,104,123,137,138,139,140,150,155,164,172,184,198,211,238,250,271,297,313,325,343,357,370,397,408,425,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,249
5,800,670,8,10,22,34,42,43,45,45,56,61,69,74,83,87,87,87,97,104,118,140,152,172,189,206,223,243,263,284,311,330,351,367,389,415,430,448,467,479,481,498,510,527,543,570,586,602,621,643,656,670,540220
12,552,414,16,38,51,67,75,78,79,80,89,94,106,129,142,143,143,145,155,158,167,176,194,211,224,244,259,279,293,312,324,343,357,369,396,409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,540227
18,568,437,16,38,52,67,77,77,77,77,92,93,110,132,143,145,147,147,157,161,171,180,195,212,224,246,259,279,300,317,329,348,362,375,401,414,427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,540233
29,800,730,8,10,17,29,39,39,41,41,48,57,66,75,79,79,79,79,97,101,119,141,150,166,184,209,223,240,257,277,303,320,345,361,386,403,426,441,468,487,510,527,546,569,590,609,632,650,675,692,715,730,540244
30,528,366,14,33,47,57,67,69,69,69,82,86,102,125,134,134,134,139,150,154,158,172,191,204,220,239,250,266,280,286,296,309,329,344,366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,540245
32,528,363,14,33,47,57,67,69,69,69,82,86,102,125,134,134,134,139,150,154,158,172,191,204,220,241,251,273,285,294,303,314,336,350,363,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,540247
59,800,749,8,10,22,34,42,43,45,45,56,61,69,74,83,87,87,87,97,104,121,144,151,170,192,210,227,241,265,283,311,325,351,375,391,414,437,455,475,499,517,538,563,578,602,624,644,665,686,705,727,749,540274
66,536,367,14,33,45,55,63,64,65,65,77,81,99,121,131,133,134,134,141,150,157,167,185,200,212,229,242,260,277,284,294,308,321,342,357,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,540281
77,800,711,8,10,22,34,42,43,45,45,56,61,69,74,83,87,87,87,97,104,121,144,151,170,192,216,235,253,276,298,325,344,353,378,398,413,434,453,467,490,508,522,545,564,578,600,619,632,654,671,686,711,540292
81,536,374,14,33,45,55,63,64,65,65,77,81,99,121,131,133,134,134,141,150,157,167,185,200,212,234,249,268,283,291,297,311,331,346,363,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,540296
89,536,382,14,33,45,55,63,64,65,65,77,81,99,121,131,133,134,134,141,150,157,167,185,200,212,237,251,272,284,296,304,315,335,353,370,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,540304
