packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
1,416,291,28,28,49,61,73,73,73,73,102,106,116,125,133,133,133,133,159,164,177,189,200,214,243,258,278,291,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6616
0,488,466,56,97,131,141,150,150,150,150,179,183,193,202,216,216,216,216,244,249,258,265,281,296,328,346,378,398,412,423,453,464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7165
3,728,531,28,28,56,65,72,74,74,74,100,108,115,125,132,132,132,132,161,165,175,195,204,219,251,271,293,309,322,340,353,361,371,381,396,409,417,427,440,449,461,476,487,497,507,519,528,-1,-1,-1,-1,-1,7168
5,624,614,28,28,56,68,75,75,75,75,101,110,119,128,134,134,134,134,165,170,180,193,210,231,265,288,307,345,409,425,442,458,478,494,510,525,544,563,582,598,614,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7820
5,624,557,28,28,56,68,75,75,75,75,101,110,119,128,134,134,134,134,165,170,182,199,209,226,260,280,296,317,351,368,384,404,421,438,452,469,487,504,521,545,557,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7988
1,416,328,28,28,49,61,73,73,73,73,102,106,116,125,133,133,133,133,159,164,177,189,200,213,246,279,294,328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8790
1,728,526,28,28,56,65,72,74,74,74,100,108,115,125,132,132,132,132,161,165,176,188,199,218,249,266,286,304,313,331,345,353,365,376,389,400,410,424,432,442,453,469,481,493,500,512,522,-1,-1,-1,-1,-1,9146
5,624,560,28,28,56,68,75,75,75,75,101,110,119,128,134,134,134,134,165,170,182,199,209,226,252,274,297,316,353,370,387,404,422,438,454,470,488,506,526,544,560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9150
1,624,558,28,28,56,68,75,75,75,75,101,110,119,128,134,134,134,134,165,170,182,199,209,218,256,274,290,309,348,365,382,398,416,434,446,466,484,501,520,537,558,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15294
0,536,493,54,72,104,112,121,121,121,121,152,156,168,179,186,190,190,190,219,222,231,241,254,261,295,307,346,364,402,415,431,440,457,473,490,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15361
0,488,450,51,69,109,118,123,123,123,123,154,162,172,184,191,191,191,191,223,226,234,245,258,275,305,327,360,381,396,400,436,446,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16695
1,728,547,28,28,56,65,72,74,74,74,100,108,115,125,132,132,132,132,161,165,175,195,204,218,250,290,304,320,336,353,365,373,384,398,411,418,431,444,454,462,477,490,497,514,522,534,542,-1,-1,-1,-1,-1,16850
5,624,600,28,28,56,68,75,75,75,75,101,110,119,128,134,134,134,134,165,170,182,199,209,225,256,298,336,357,392,411,428,445,464,480,494,508,530,548,569,581,600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16992
1,728,555,28,28,56,65,72,74,74,74,100,108,115,125,132,132,132,132,161,165,175,195,204,218,249,272,289,333,347,364,378,386,396,407,421,432,443,454,465,474,488,501,513,525,532,545,554,-1,-1,-1,-1,-1,18738
1,544,435,28,28,57,64,75,75,75,75,105,110,117,125,132,132,132,132,164,167,182,195,212,227,262,285,301,318,332,348,348,374,389,409,419,435,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19048
3,544,454,28,28,57,64,75,75,75,75,105,110,117,125,132,132,132,132,164,167,182,195,212,225,265,282,297,320,354,366,387,398,411,429,440,454,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19460
6,488,485,51,97,130,138,149,149,149,149,179,179,195,213,223,224,224,224,251,256,263,274,293,308,340,359,390,409,431,437,468,480,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19463
4,488,480,50,81,115,121,131,131,131,131,162,167,179,197,206,206,206,206,232,239,246,257,273,287,318,338,366,391,425,434,465,475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21349
8,504,454,53,72,105,113,127,127,127,127,158,162,171,189,195,195,195,195,226,230,239,248,260,276,309,328,361,388,402,411,416,436,449,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21353
2,488,451,51,75,105,115,124,124,124,124,155,160,171,188,199,199,199,199,228,231,242,250,268,277,310,332,359,383,397,405,435,445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21569
3,544,470,28,28,57,64,75,75,75,75,105,110,117,125,132,132,132,132,164,167,178,195,206,221,253,292,313,349,369,384,402,412,426,444,449,470,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23654
5,624,570,28,28,56,68,75,75,75,75,101,110,119,128,134,134,134,134,165,170,182,199,209,225,255,283,297,327,367,384,401,420,437,451,469,484,502,520,541,555,570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24152
3,624,571,28,28,56,68,75,75,75,75,101,110,119,128,134,134,134,134,165,170,180,193,210,230,265,280,297,332,370,383,404,422,440,453,470,488,506,525,544,560,571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25356
2,504,487,54,75,109,122,131,131,131,131,160,165,179,194,200,204,204,204,232,238,243,253,295,307,337,358,389,402,438,445,454,471,484,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26055
1,416,319,28,28,49,61,73,73,73,73,102,106,116,125,133,133,133,133,159,164,177,189,200,235,265,283,302,319,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26060
0,504,468,53,68,107,118,128,128,128,128,158,160,172,188,197,198,198,198,224,224,239,249,267,281,314,333,363,399,414,424,432,448,459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26703
3,624,613,28,28,56,68,75,75,75,75,101,110,119,128,134,134,134,134,165,170,182,199,209,228,262,280,318,361,399,413,433,450,467,485,499,516,534,553,570,590,613,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27704
3,416,304,28,28,49,61,73,73,73,73,102,106,116,125,133,133,133,133,159,164,177,189,200,217,240,271,284,304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29418
0,496,483,52,94,127,139,148,149,149,149,175,182,196,210,221,221,221,221,250,254,254,272,292,298,338,374,413,428,439,448,459,477,483,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30307
6,504,465,54,82,113,127,131,136,136,136,164,170,184,199,208,209,209,209,235,241,249,258,284,293,327,348,379,398,408,418,427,445,458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30917
3,728,543,28,28,56,65,72,74,74,74,100,108,115,125,132,132,132,132,161,165,176,188,199,218,253,268,286,320,333,353,364,370,380,395,408,418,428,439,451,461,474,486,496,511,520,532,540,-1,-1,-1,-1,-1,31626
7,624,550,28,28,56,68,75,75,75,75,101,110,119,128,134,134,134,134,165,170,182,199,209,221,253,268,281,301,337,355,370,389,409,425,439,454,475,494,511,532,550,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31634
