size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
211,416,1,11,20,32,39,40,40,40,53,56,66,75,81,84,84,84,95,100,111,122,135,145,156,173,193,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6616
301,488,0,44,57,67,74,76,77,77,88,94,103,117,125,126,126,126,139,143,152,161,175,189,202,220,234,255,269,277,289,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7165
444,728,3,11,19,31,38,39,40,41,49,55,61,74,80,80,82,82,94,97,111,124,135,152,166,189,209,226,235,254,263,273,284,298,309,322,333,345,354,362,376,390,400,412,420,430,440,-1,-1,-1,-1,7168
472,624,5,11,22,32,41,42,42,44,54,58,68,77,82,82,82,87,98,100,114,131,144,164,182,201,218,247,270,291,304,323,341,357,371,388,405,423,441,458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7820
319,496,4,37,48,62,69,70,71,71,82,85,98,117,126,127,127,127,140,145,153,163,176,190,203,221,237,260,274,284,293,307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7987
370,536,0,36,52,60,69,69,71,72,82,87,91,110,117,117,121,122,132,137,144,155,170,184,195,220,235,260,278,292,304,318,331,350,364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8789
437,728,1,11,19,31,38,39,40,41,49,55,61,74,80,80,82,82,94,97,108,117,133,152,164,179,202,216,232,249,261,266,278,292,304,317,327,337,348,357,371,383,396,407,416,427,435,-1,-1,-1,-1,9146
455,624,5,11,22,32,41,42,42,44,54,58,68,77,82,82,82,87,98,100,115,132,142,159,169,196,213,225,248,263,283,299,319,336,348,366,383,402,421,438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9150
313,496,0,35,46,59,69,70,70,72,76,87,98,117,126,126,129,129,140,145,153,161,171,187,200,224,235,258,266,273,285,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15293
448,624,7,11,22,32,41,42,42,44,54,58,68,77,82,82,82,87,98,100,115,132,142,154,172,191,209,223,244,263,276,296,314,328,345,362,379,396,414,433,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15306
335,544,5,11,22,33,40,41,41,43,53,58,63,75,83,83,86,87,94,101,111,130,143,156,171,184,205,220,236,250,267,278,288,307,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16694
309,488,0,38,51,63,70,72,72,73,84,88,100,120,128,128,129,129,140,142,151,160,179,191,205,227,236,260,274,282,293,304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16849
313,496,4,40,52,66,74,75,75,75,87,87,103,120,129,133,134,135,145,147,156,167,184,195,206,227,237,254,264,277,286,304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16991
318,488,0,41,51,60,69,70,71,71,79,79,99,117,126,126,127,127,137,143,152,162,180,192,209,232,241,271,276,290,304,314,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18737
337,504,0,38,51,67,70,77,78,79,87,93,107,123,131,132,134,135,145,145,156,168,187,198,213,229,250,275,286,293,301,319,328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19047
319,504,2,32,39,56,60,60,60,66,75,78,96,111,117,121,122,123,132,135,146,156,171,186,201,217,229,254,267,272,282,301,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19459
454,624,5,11,22,32,41,42,42,44,54,58,68,77,82,82,82,87,98,100,115,132,142,160,176,192,209,232,247,270,284,300,321,338,349,364,385,401,419,442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19462
452,624,3,11,22,32,41,42,42,44,54,58,68,77,82,82,82,87,98,100,114,131,144,148,171,191,210,225,248,267,279,300,318,332,347,364,380,399,419,438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21348
321,504,6,39,52,66,74,75,75,76,83,92,100,118,124,124,128,129,139,144,151,160,177,191,202,224,235,251,266,276,284,303,315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21351
372,536,0,42,61,70,76,79,79,81,89,95,106,115,128,129,129,131,142,145,154,165,182,191,206,229,240,264,283,295,308,322,338,354,369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21567
342,544,1,11,22,33,40,41,41,43,53,58,63,75,83,83,86,87,94,101,111,130,143,154,172,194,207,227,245,257,275,284,298,315,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23652
330,496,4,40,54,68,74,76,77,78,86,90,107,122,132,133,134,134,144,151,159,167,186,196,214,229,246,273,286,292,302,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24151
309,496,2,28,43,56,63,64,64,64,76,78,94,110,120,122,122,122,133,139,148,158,181,195,207,222,238,251,264,274,285,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25355
439,728,1,11,19,31,38,39,40,41,49,55,61,74,80,80,82,82,94,97,108,117,133,152,165,187,202,218,232,247,261,267,278,293,301,317,328,340,347,357,371,384,395,408,415,428,430,-1,-1,-1,-1,26054
347,544,3,11,22,33,40,41,41,43,53,58,63,75,83,83,86,87,94,101,114,133,141,162,176,193,208,234,249,264,280,291,300,319,332,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26056
354,544,3,11,22,33,40,41,41,43,53,58,63,75,83,83,86,87,94,101,111,130,143,160,175,197,215,230,257,271,287,297,308,328,340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26062
329,496,2,31,44,58,62,66,66,66,78,80,96,111,122,124,124,125,135,140,149,157,181,193,209,233,243,270,283,293,302,319,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27703
359,536,2,40,55,66,73,75,76,77,87,92,102,116,124,125,125,125,138,140,151,160,180,194,209,224,234,250,268,281,296,307,320,336,354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29417
444,728,3,11,19,31,38,39,40,41,49,55,61,74,80,80,82,82,94,97,111,124,135,151,162,190,206,223,236,253,262,270,283,290,310,320,333,344,349,363,376,388,401,413,421,432,440,-1,-1,-1,-1,30022
362,544,5,11,22,33,40,41,41,43,53,58,63,75,83,83,86,87,94,101,114,133,141,165,174,208,225,247,261,276,294,304,317,334,345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30916
452,624,1,11,22,32,41,42,42,44,54,58,68,77,82,82,82,87,98,100,114,131,144,159,179,199,215,230,244,266,282,300,317,335,348,366,380,398,418,436,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31624
225,416,5,11,20,32,39,40,40,40,53,56,66,75,81,84,84,84,95,100,111,122,135,152,164,184,200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31684
319,496,0,35,49,62,69,69,69,69,81,88,101,116,126,126,126,126,137,145,154,163,187,199,212,232,242,262,268,283,288,310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31689
355,536,0,35,48,59,68,69,69,71,82,86,93,110,118,119,119,122,132,137,143,155,175,187,202,216,227,247,262,277,293,304,316,336,351,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32743
444,728,1,11,19,31,38,39,40,41,49,55,61,74,80,80,82,82,94,97,111,124,135,148,167,188,204,224,239,255,266,270,285,300,311,324,331,345,354,364,377,388,403,414,417,433,439,-1,-1,-1,-1,34632
438,728,3,11,19,31,38,39,40,41,49,55,61,74,80,80,82,82,94,97,108,117,133,147,163,182,198,219,232,248,258,267,279,288,304,318,325,339,346,358,372,385,396,408,412,427,434,-1,-1,-1,-1,34634
449,728,3,11,19,31,38,39,40,41,49,55,61,74,80,80,82,82,94,97,111,124,135,151,165,192,207,227,241,258,269,274,287,302,314,326,337,348,357,363,379,391,403,415,423,436,443,-1,-1,-1,-1,35016
221,416,5,11,20,32,39,40,40,40,53,56,66,75,81,84,84,84,95,100,111,122,135,153,166,182,201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35018
322,504,2,32,45,60,67,67,68,68,78,84,98,109,123,123,125,126,133,140,148,158,182,194,209,224,234,257,269,278,287,304,316,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37037
337,544,3,11,22,33,40,41,41,43,53,58,63,75,83,83,86,87,94,101,114,133,141,164,180,195,211,222,240,249,270,282,294,312,322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37038
353,536,2,33,49,56,65,67,68,68,79,82,91,108,115,115,115,115,126,134,140,152,163,175,188,204,226,245,262,275,288,301,317,334,349,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39007
220,416,1,11,20,32,39,40,40,40,53,56,66,75,81,84,84,84,95,100,111,122,135,154,164,187,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39080
440,728,1,11,19,31,38,39,40,41,49,55,61,74,80,80,82,82,94,97,111,124,135,149,168,182,199,219,232,245,261,264,278,286,306,318,327,340,346,358,372,385,397,407,415,426,432,-1,-1,-1,-1,40670
319,504,0,36,49,60,69,69,69,73,79,88,98,114,123,124,124,125,135,138,148,159,179,190,203,226,239,256,268,275,283,299,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42585
