size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
211,416,1,11,20,33,37,37,37,42,53,56,66,76,82,84,85,85,93,101,109,123,134,150,161,173,194,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6616
305,488,0,43,58,68,72,76,76,79,84,90,103,115,124,124,127,127,138,144,151,158,176,185,198,217,233,255,268,275,288,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7165
444,728,3,11,19,29,38,39,40,41,51,51,62,73,79,82,82,84,94,98,111,123,137,151,165,187,207,226,237,254,266,271,282,298,310,322,333,345,353,361,376,388,400,413,421,432,437,-1,-1,-1,-1,7168
472,624,5,11,22,34,40,42,43,43,54,58,65,76,85,85,86,87,97,100,114,133,143,164,179,204,223,246,272,290,304,321,341,358,372,387,405,423,440,458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7820
319,496,4,36,47,62,69,69,71,71,81,88,100,117,127,128,129,129,137,144,152,163,178,189,203,221,237,261,273,281,292,310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7987
367,536,0,33,51,60,67,70,70,70,82,86,96,111,118,118,121,121,131,136,145,156,171,183,200,221,231,260,278,290,305,317,334,350,365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8789
439,728,1,11,19,29,38,39,40,41,51,51,62,73,79,82,82,84,94,98,108,108,131,150,164,182,200,221,228,243,260,267,278,293,305,317,326,337,346,357,368,382,395,407,415,424,434,-1,-1,-1,-1,9146
455,624,5,11,22,34,40,42,43,43,54,58,65,76,85,85,86,87,97,100,114,127,141,162,175,196,211,230,249,268,282,301,319,336,348,367,383,399,421,438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9150
309,496,0,35,48,62,66,70,70,70,82,87,98,117,127,128,128,130,140,144,153,163,173,186,199,224,238,257,267,277,286,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15293
448,624,7,11,22,34,40,42,43,43,54,58,65,76,85,85,86,87,97,100,114,127,141,157,171,189,207,224,241,259,274,295,314,327,345,360,379,395,415,434,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15306
335,544,5,11,22,31,41,41,42,42,54,58,58,77,83,84,84,84,97,97,113,131,140,156,167,184,204,216,234,250,266,279,289,309,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16694
309,488,0,38,49,61,70,70,72,72,84,84,100,120,127,127,130,131,141,146,153,163,178,192,204,228,241,259,274,281,294,303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16849
313,496,4,37,53,66,74,75,76,77,88,88,105,120,131,132,134,134,145,148,157,167,183,195,205,227,238,255,269,274,286,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16991
315,488,0,41,51,60,67,70,70,70,80,87,97,117,126,126,128,129,139,142,149,162,180,195,208,230,245,271,283,287,302,313,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18737
335,504,0,38,43,68,75,76,76,76,88,92,108,122,130,130,130,134,144,149,158,168,185,196,214,232,250,274,287,291,302,317,331,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19047
317,504,2,32,43,53,63,63,63,63,76,81,96,111,119,119,122,123,131,137,146,156,174,187,201,217,231,255,263,274,284,301,313,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19459
462,624,5,11,22,34,40,42,43,43,54,58,65,76,85,85,86,87,97,100,114,127,141,161,174,190,212,233,251,270,283,303,321,338,351,369,385,401,422,442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19462
451,624,3,11,22,34,40,42,43,43,54,58,65,76,85,85,86,87,97,100,114,133,143,154,170,190,209,226,237,267,278,299,317,335,347,366,379,398,419,438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21348
320,504,6,40,53,62,74,75,76,76,86,91,102,117,124,127,127,129,139,141,152,161,177,189,202,223,234,256,270,278,285,302,310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21351
374,536,0,40,59,71,75,75,75,81,90,95,104,120,128,129,131,132,141,144,155,164,182,191,206,227,240,262,283,295,308,323,336,355,369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21567
343,544,1,11,22,31,41,41,42,42,54,58,58,77,83,84,84,84,97,97,113,131,140,156,173,190,206,227,245,260,274,286,299,317,324,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23652
