packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
1,416,210,8,10,18,29,38,40,41,41,50,56,65,72,81,84,84,86,96,101,111,123,134,149,158,175,193,210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6616
0,488,304,18,44,56,66,73,73,73,80,87,94,103,116,125,127,128,128,140,145,154,162,176,190,203,219,235,255,269,278,289,298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7165
3,728,442,8,10,16,29,37,38,38,41,50,55,65,72,79,79,84,84,95,100,110,126,136,151,166,188,204,225,234,255,267,274,284,298,309,318,332,346,352,363,377,390,402,414,422,433,442,-1,-1,-1,-1,-1,7168
5,624,474,8,10,15,27,40,43,43,43,56,60,67,76,85,85,85,89,99,104,112,132,145,163,182,206,224,247,274,291,304,325,343,360,375,391,407,425,444,459,474,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7820
5,624,454,8,10,15,27,40,43,43,43,56,60,67,76,85,85,85,89,99,104,118,128,144,159,176,198,212,234,250,266,281,301,316,327,350,367,383,400,416,440,454,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7988
1,416,208,8,10,18,29,38,40,41,41,50,56,65,72,81,84,84,86,96,101,111,123,134,148,160,177,191,208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8790
1,728,442,8,10,16,29,37,38,38,41,50,55,65,72,79,79,84,84,95,100,109,121,133,152,164,183,199,221,230,249,262,266,278,291,306,317,328,341,350,356,373,387,398,407,417,429,437,-1,-1,-1,-1,-1,9146
5,624,453,8,10,15,27,40,43,43,43,56,60,67,76,85,85,85,89,99,104,118,128,144,163,176,196,216,232,251,269,284,303,321,338,351,368,383,403,422,440,453,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9150
1,624,453,8,10,15,27,40,43,43,43,56,60,67,76,85,85,85,89,99,104,118,128,144,154,172,190,205,224,245,259,277,296,314,329,345,361,378,394,416,433,453,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15294
0,536,354,15,35,48,58,64,68,70,72,82,86,96,104,115,118,118,118,129,137,144,153,167,178,189,208,224,240,261,274,289,299,311,331,348,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15361
