packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
0,496,366,8,20,38,44,56,79,93,107,120,137,154,168,176,202,221,231,235,241,243,243,261,274,285,295,308,320,334,345,353,364,366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34336
0,488,385,8,21,42,49,64,86,88,108,126,140,156,171,180,203,220,230,239,243,243,248,264,274,291,300,319,335,349,363,366,379,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34362
0,480,368,8,19,36,43,58,73,89,100,119,132,148,159,167,190,210,219,225,229,231,234,248,259,279,292,309,326,340,347,358,368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34368
3,800,591,8,20,39,46,56,76,89,103,116,130,140,158,173,188,205,230,236,243,249,256,268,283,298,313,330,344,358,369,370,386,399,406,421,424,440,445,451,463,479,494,505,522,535,543,550,556,561,572,576,591,34415
1,800,579,8,19,36,41,53,65,89,102,117,129,140,154,170,185,204,216,223,229,234,239,251,256,275,288,307,319,329,345,357,365,377,388,403,415,420,427,436,450,454,469,483,493,510,514,521,531,536,548,562,579,34441
4,592,430,8,16,42,47,61,80,96,110,121,134,144,153,164,188,204,211,216,221,221,224,238,249,265,277,291,307,321,334,351,360,370,385,397,405,418,421,430,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34510
9,800,575,8,15,33,40,51,69,83,88,110,124,135,154,170,192,210,224,235,238,244,248,261,264,276,292,306,317,328,339,356,367,376,391,402,416,424,428,428,449,458,470,485,496,511,519,524,530,541,551,559,575,34549
7,800,573,8,21,40,48,61,77,83,102,116,128,140,155,169,186,199,212,217,225,228,239,252,257,266,286,297,305,321,329,336,342,354,364,367,378,389,405,415,436,457,463,466,476,495,505,517,526,538,551,562,573,34565
10,592,444,8,16,46,53,67,85,98,112,119,135,152,164,172,195,214,226,232,236,237,239,251,263,278,289,306,321,336,348,364,375,384,399,410,425,431,436,444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34782
2,592,439,8,16,36,44,57,78,93,110,118,131,144,158,167,192,211,219,225,229,229,234,247,258,271,288,300,314,328,343,358,368,378,390,406,418,427,432,439,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34834
