size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
287,368,2,21,34,42,54,74,85,101,118,140,153,168,185,202,221,240,250,260,278,280,283,283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23748
764,800,6,26,39,48,59,81,99,119,131,146,158,174,194,209,231,248,262,272,288,297,314,329,342,361,378,393,411,428,441,452,470,484,499,518,533,545,560,574,592,601,620,640,655,670,686,701,718,735,752,23752
744,800,4,25,43,52,66,84,95,122,132,149,160,178,196,212,231,249,265,276,293,302,319,328,340,359,373,388,405,415,433,442,457,467,484,501,516,531,544,561,580,595,607,622,638,654,666,686,701,719,732,23767
299,368,2,21,33,44,60,74,89,104,121,143,161,174,193,209,228,245,258,271,289,293,296,298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23774
302,368,8,21,37,37,58,78,94,117,126,142,150,177,193,210,229,248,258,274,288,296,298,298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23780
288,368,0,19,35,40,57,73,88,103,121,142,155,161,182,199,205,206,221,231,249,252,264,277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23812
709,800,3,21,40,48,62,82,93,111,125,150,158,173,188,206,222,238,252,267,284,290,306,320,339,352,364,377,388,408,427,439,454,469,482,495,511,526,535,551,568,582,594,606,617,628,643,652,669,683,695,23815
303,368,0,19,35,42,54,75,88,104,124,145,163,172,180,211,215,216,234,245,261,266,273,287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23841
295,368,7,21,36,42,57,77,87,101,121,139,158,169,190,206,222,240,249,269,283,290,292,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23848
286,368,2,21,38,42,58,74,84,98,118,139,156,171,187,204,221,238,252,265,280,284,284,286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23853
283,368,8,21,38,45,61,77,92,116,123,141,154,173,185,203,222,238,245,262,277,283,283,283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23859
715,800,3,22,35,41,53,75,82,102,118,142,158,167,186,205,225,238,255,267,285,290,304,319,332,348,361,372,396,405,422,437,454,470,485,496,515,529,542,558,568,584,597,613,627,640,650,661,674,684,698,23863
331,368,1,19,38,38,56,77,95,113,127,143,155,175,187,205,224,242,259,270,289,293,305,318,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23871
292,368,2,21,37,41,57,72,84,98,118,139,157,169,181,205,221,237,246,260,281,288,289,291,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23922
295,368,5,21,34,43,60,78,91,112,125,143,154,169,187,204,218,237,255,267,287,291,293,294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23925
303,368,11,21,39,43,59,77,87,102,120,142,155,168,186,204,223,242,253,272,292,298,300,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23940
292,368,7,21,40,44,59,78,85,95,122,140,151,167,188,205,224,243,256,263,281,284,284,290,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23959
300,368,2,21,36,42,59,76,88,104,121,137,159,170,186,206,226,247,258,271,290,296,298,299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23963
306,368,7,21,37,44,60,76,86,99,114,141,157,169,190,209,225,246,257,276,288,302,304,304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23977
