packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
2,368,288,8,18,35,40,57,72,83,98,118,138,150,166,184,200,218,238,250,262,276,280,284,286,288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23748
6,800,769,8,24,41,46,62,78,97,118,131,140,158,175,191,211,228,249,259,272,289,295,313,327,338,358,374,393,409,426,441,453,469,485,501,517,534,546,555,574,592,603,625,640,656,673,689,704,718,735,754,769,23752
4,800,747,8,25,42,52,66,82,101,122,134,149,161,180,197,213,232,250,265,276,281,303,316,329,344,359,372,384,403,420,432,443,458,470,484,500,518,533,543,561,581,595,606,625,643,656,670,690,703,717,735,747,23767
2,368,299,8,18,33,43,58,75,87,103,120,141,159,172,190,207,225,245,251,267,287,293,295,297,299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23774
8,368,301,8,18,37,45,58,77,94,116,119,140,152,173,187,209,225,243,257,271,289,291,297,299,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23780
0,368,289,8,18,36,43,58,75,87,101,120,140,155,162,183,197,204,206,222,231,247,250,263,275,289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23812
3,800,711,8,23,39,48,63,80,93,108,126,150,163,173,190,208,220,238,253,267,285,291,306,317,338,352,365,378,393,410,428,438,457,469,484,497,513,528,539,550,568,581,597,607,616,628,645,657,672,686,696,711,23815
0,368,303,8,18,32,42,56,74,89,103,123,144,160,173,192,205,215,215,230,242,261,264,277,289,303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23841
7,368,297,8,18,36,40,55,76,87,102,119,141,155,168,190,205,221,239,248,266,282,289,291,291,297,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23848
2,368,291,8,18,34,44,59,74,84,100,116,138,153,168,187,204,220,238,251,263,279,285,286,287,291,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23853
8,368,292,8,18,39,47,60,78,92,116,127,142,155,174,187,203,222,239,249,261,279,286,288,290,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23859
3,800,719,8,21,37,43,57,73,82,95,120,140,156,168,186,205,223,238,253,267,285,290,305,318,336,351,364,375,393,407,422,439,455,471,486,499,515,532,544,561,571,584,596,614,630,643,654,664,677,684,705,719,23863
1,368,327,8,18,39,43,53,77,91,114,128,141,152,172,187,204,220,240,259,271,289,293,304,315,327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23871
2,368,292,8,18,36,41,56,71,84,99,117,138,156,168,186,201,220,229,247,260,279,286,289,291,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23922
