size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
291,368,2,18,34,42,59,75,96,112,122,131,151,162,180,198,209,233,245,256,278,281,287,289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200831
284,368,7,18,37,45,59,75,90,103,118,127,146,153,176,193,209,228,241,256,267,274,280,283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200836
289,368,0,18,34,37,50,70,84,100,109,120,140,153,171,192,195,201,217,225,242,252,263,275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200838
284,368,8,18,36,38,55,75,88,104,114,125,144,154,175,194,209,226,238,252,272,277,278,282,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200846
283,368,2,18,36,45,61,81,88,104,113,126,144,158,177,188,212,232,244,258,276,281,283,283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200850
285,368,2,18,39,46,61,83,90,110,123,130,150,160,180,196,210,231,240,255,272,278,281,281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200861
277,368,2,18,34,44,61,82,94,111,124,132,146,159,173,188,204,217,234,248,265,268,270,275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200871
270,368,7,18,34,43,57,79,86,106,116,127,142,151,169,182,199,215,224,243,259,264,264,269,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200876
689,800,4,25,44,50,58,88,100,108,116,131,139,155,173,189,197,220,233,247,265,272,289,298,314,329,343,355,375,390,403,410,427,427,450,465,479,493,508,523,537,548,563,576,589,601,616,633,648,666,677,200911
273,368,5,18,29,40,53,71,85,91,101,110,118,140,159,177,193,213,226,241,258,265,268,268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200985
267,368,4,18,37,44,57,75,89,97,106,121,128,140,156,178,197,212,220,237,254,260,260,264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201003
267,368,7,18,35,45,59,76,88,96,106,120,130,140,157,171,194,207,225,240,257,261,264,265,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201006
279,368,2,18,35,44,60,77,87,102,116,123,140,153,173,191,207,225,238,248,268,273,276,277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201012
281,368,7,18,35,43,57,79,93,109,120,128,146,159,178,191,211,228,239,254,270,270,280,281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201017
273,368,6,18,33,39,55,72,81,98,110,119,134,144,163,176,198,214,226,243,261,267,269,272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201026
280,368,2,18,36,42,55,74,83,101,112,121,134,147,167,186,207,222,236,246,265,270,275,277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201041
674,800,4,18,36,43,59,77,90,96,105,116,130,142,163,177,197,211,224,237,255,262,279,290,305,319,334,344,363,380,392,406,414,426,444,455,468,483,498,514,527,537,553,566,578,591,609,623,635,655,664,201043
264,368,8,18,32,42,57,76,88,96,104,120,129,142,157,173,191,210,224,236,256,258,261,264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201066
305,368,1,18,37,41,56,71,83,92,99,115,125,139,157,176,195,212,230,246,262,267,279,289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201068
265,368,8,18,34,42,55,74,81,90,103,116,125,139,151,170,187,207,213,231,247,255,261,262,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201084
279,368,0,18,39,44,60,78,89,105,116,123,141,151,171,185,193,194,209,221,239,240,252,267,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201104
282,368,0,18,38,42,58,76,84,99,114,122,138,152,165,185,189,192,209,216,235,246,257,269,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201150
681,800,5,23,41,49,63,83,96,100,113,126,137,154,165,185,205,218,231,242,255,261,279,291,306,320,335,347,363,381,393,406,418,427,445,454,470,484,498,515,523,539,554,566,579,593,608,624,637,654,669,201155
268,368,9,17,34,46,63,77,91,98,109,123,130,149,160,180,199,214,225,240,257,263,264,264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201159
299,368,1,20,40,45,59,76,87,93,104,116,127,141,164,175,194,211,229,242,260,262,274,284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201161
262,368,4,17,38,43,57,72,83,93,102,118,127,141,161,177,195,209,219,229,251,253,253,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201164
275,368,8,18,36,39,58,74,86,100,115,118,141,150,167,182,204,218,234,249,264,267,270,272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201187
694,800,4,25,46,52,69,87,102,110,119,131,143,158,172,190,212,227,242,255,272,277,295,302,320,333,348,362,379,395,408,420,430,441,458,471,484,498,511,528,541,551,568,580,593,607,623,638,651,669,682,201193
260,368,4,17,37,45,59,76,88,96,106,120,130,144,164,182,198,215,224,233,250,253,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201202
284,368,6,18,33,41,57,76,87,103,113,124,140,154,172,190,205,218,230,250,269,277,278,280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201214
286,368,2,18,35,45,60,72,87,104,117,124,145,155,178,193,208,230,240,251,271,278,278,283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201229
283,368,8,18,35,42,57,74,87,95,112,124,144,154,174,194,211,228,241,256,272,280,282,283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201235
281,368,9,18,34,42,59,79,90,105,118,125,143,153,169,184,198,222,236,248,269,274,274,280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201246
300,368,1,20,39,44,59,74,86,96,105,119,125,143,156,173,193,211,227,238,257,264,275,287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201249
275,368,9,18,33,39,54,71,83,96,111,120,133,143,161,177,198,214,230,245,267,269,273,275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201267
282,368,0,18,42,45,64,85,92,111,123,130,149,156,175,194,197,203,218,226,242,247,258,268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201332
705,800,3,24,47,56,71,84,98,114,127,135,152,162,180,195,219,233,248,256,278,282,297,312,326,341,351,369,383,399,412,423,436,453,463,482,495,515,534,549,562,576,590,603,614,633,647,658,670,679,691,201335
695,800,3,22,42,49,67,85,90,111,124,132,150,159,176,196,209,228,242,257,275,279,293,307,322,337,350,364,372,395,409,421,433,448,463,475,492,504,521,536,552,567,579,592,606,621,635,648,665,675,687,201345
281,368,7,18,42,48,65,82,88,108,120,128,144,156,173,189,200,220,232,252,272,276,276,281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201349
284,368,8,18,39,43,59,81,96,112,123,132,148,160,171,192,203,224,239,254,269,274,278,282,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201350
702,800,3,24,43,49,63,82,91,108,118,129,148,160,179,198,214,230,246,258,273,279,291,307,323,335,349,366,379,394,407,420,434,446,461,476,493,509,526,543,557,571,587,596,612,626,640,654,668,679,688,201366
260,368,6,17,37,40,52,66,83,93,101,111,125,144,161,174,191,209,222,235,253,257,258,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201369
290,368,7,18,38,45,62,80,94,108,122,131,150,161,179,198,215,233,244,264,276,278,286,287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201380
281,368,6,17,39,46,60,77,90,95,108,121,130,149,163,187,205,221,232,246,270,275,276,276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201410
273,368,4,17,39,48,61,82,95,102,113,127,135,155,171,190,208,224,234,244,259,266,268,269,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201418
