packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
8,368,257,9,15,32,38,50,69,82,90,100,115,125,138,159,173,194,203,213,227,246,252,255,257,257,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201112
4,368,263,9,15,39,44,64,78,93,99,111,125,132,150,162,183,201,216,227,237,254,260,262,263,263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201154
7,368,276,9,15,36,44,58,76,84,104,117,124,144,157,171,187,199,220,232,250,263,268,270,272,276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201157
5,800,695,9,22,43,51,62,83,95,100,114,130,138,154,172,187,204,222,239,250,266,273,291,298,314,330,345,357,375,390,404,416,429,437,452,466,477,495,509,525,538,548,562,578,589,603,619,635,650,668,683,695,201165
9,368,278,9,15,37,47,61,76,92,99,109,124,134,146,162,182,199,219,232,245,260,271,272,276,278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201169
1,368,309,9,17,36,43,58,76,92,100,110,120,133,147,165,183,202,217,235,249,265,270,283,296,309,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201595
3,800,691,9,21,44,47,65,84,97,109,122,131,147,155,175,191,211,231,243,257,270,276,289,304,317,334,347,358,377,393,401,422,437,450,467,477,490,506,521,534,546,558,571,582,595,611,624,636,648,663,676,691,201606
7,368,281,9,15,37,46,62,79,92,103,116,126,143,151,170,185,205,224,234,253,267,271,275,277,281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201610
2,368,272,9,15,33,43,57,75,85,97,108,116,137,151,173,187,202,220,232,244,258,268,271,272,272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201646
3,800,699,9,22,40,47,62,80,91,102,117,125,144,153,173,189,210,233,240,258,274,283,293,310,325,340,351,368,381,398,413,430,446,460,473,485,499,515,528,544,558,571,582,592,607,619,634,648,660,671,688,699,201656
