size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
285,368,2,17,33,44,59,80,93,110,123,123,150,162,177,195,214,234,244,257,274,284,285,285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200831
282,368,7,17,31,43,60,77,90,106,118,125,145,156,175,194,208,228,241,255,269,274,279,281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200836
286,368,0,21,33,35,51,69,82,99,110,120,139,152,170,189,196,197,214,222,241,249,260,272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200838
278,368,8,17,34,34,53,75,84,101,114,122,143,156,169,191,207,224,240,252,272,275,276,278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200846
285,368,2,17,34,45,60,79,88,101,116,125,143,157,177,191,212,231,244,257,275,280,280,280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200850
279,368,2,17,37,43,60,80,93,106,117,130,147,157,174,194,207,228,239,252,270,276,277,279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200861
270,368,2,17,34,44,61,80,94,108,120,130,147,156,171,188,204,220,231,247,264,268,269,270,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200871
269,368,7,17,34,40,58,77,89,105,117,125,142,152,169,180,194,215,226,244,260,265,266,268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200876
691,800,4,25,43,47,64,86,98,106,116,131,140,154,173,188,202,217,235,245,264,273,291,298,316,330,339,358,375,390,403,416,426,439,454,465,479,493,508,523,536,547,563,575,586,601,617,630,646,664,678,200911
270,368,5,17,35,40,54,72,84,91,95,113,124,139,156,175,194,212,228,241,261,267,267,270,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200985
266,368,4,17,37,45,60,77,88,96,107,119,130,141,159,177,198,211,226,238,256,259,262,263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201003
269,368,7,17,38,45,61,76,90,97,106,121,130,138,159,177,194,210,226,242,259,263,266,268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201006
278,368,2,17,34,42,59,76,86,100,115,124,139,153,171,189,207,225,238,251,267,271,274,274,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201012
282,368,7,17,35,46,59,77,93,107,120,126,145,159,174,191,211,228,241,258,269,278,279,279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201017
271,368,6,17,34,39,55,71,83,98,110,119,134,146,165,181,201,214,227,244,261,264,269,270,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201026
