packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
8,368,260,8,18,32,37,53,70,83,88,97,115,124,140,161,176,195,207,218,231,247,255,256,259,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201112
4,368,265,8,18,37,46,64,79,92,100,105,125,135,150,165,185,204,217,226,239,254,259,261,261,265,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201154
7,368,274,8,18,35,43,59,72,90,101,116,126,142,154,173,186,201,221,232,249,262,268,270,272,274,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201157
5,800,690,8,22,43,51,59,84,97,106,115,129,138,155,174,189,206,225,238,251,268,276,290,303,315,332,347,358,376,391,404,418,431,440,455,468,482,496,510,525,540,550,564,576,590,603,621,636,650,670,682,690,201165
9,368,276,8,18,37,47,61,76,92,98,109,125,135,149,168,185,202,220,233,247,264,269,272,272,276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201169
1,368,311,8,18,38,44,58,77,89,99,110,122,133,148,166,183,203,219,237,248,265,271,285,296,311,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201595
3,800,691,8,23,42,50,60,78,96,107,123,131,147,154,174,192,211,230,242,255,268,276,290,301,320,331,347,360,375,385,405,421,437,448,462,476,490,505,520,535,547,557,569,580,594,608,625,636,648,665,676,691,201606
7,368,279,8,18,37,44,61,80,90,105,117,125,141,149,170,186,201,221,235,250,266,273,276,277,279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201610
2,368,274,8,18,35,42,57,75,84,97,109,116,138,152,172,188,204,223,233,244,262,267,270,272,274,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201646
3,800,703,8,21,41,47,60,79,91,102,109,124,144,152,172,191,211,232,243,253,274,280,297,311,326,339,354,368,382,399,415,430,447,461,473,491,501,516,526,545,559,572,583,594,607,619,635,650,658,672,689,703,201656
2,368,289,8,18,37,48,62,77,89,101,116,123,144,155,174,194,213,236,248,260,278,283,285,287,289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201675
5,368,275,8,18,34,41,52,73,86,92,105,116,129,143,167,185,202,220,236,248,263,268,269,271,275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201678
3,800,697,8,20,35,47,61,79,91,103,113,123,143,157,172,197,215,234,249,261,278,284,296,312,327,341,353,370,384,399,417,431,444,456,472,488,499,515,527,540,555,571,584,598,608,618,632,641,661,675,687,697,201685
7,368,278,8,18,36,39,55,76,88,98,113,118,139,153,170,188,206,223,237,251,268,270,273,273,278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201689
8,368,285,8,18,38,43,61,80,94,104,119,126,146,154,175,188,206,226,237,255,273,279,279,282,285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201699
2,368,275,8,18,36,46,60,75,85,96,110,120,135,148,165,179,200,215,228,241,259,271,272,272,275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201778
4,368,262,8,18,33,42,54,70,85,90,97,113,125,142,158,173,192,213,224,233,249,257,259,261,262,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201780
8,368,285,8,18,35,43,58,73,82,95,113,120,139,151,167,187,205,223,237,257,270,278,281,281,285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201803
0,368,283,8,18,37,44,53,74,87,99,113,116,136,146,166,184,190,192,207,216,238,243,254,269,283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201806
6,368,265,8,18,36,39,54,71,83,95,108,115,136,148,163,175,197,212,221,234,252,258,259,263,265,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201822
9,368,279,8,18,34,38,52,68,80,89,101,112,134,146,162,182,200,220,233,248,267,275,276,277,279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201843
6,368,280,8,18,36,47,58,74,86,96,110,119,139,147,165,184,205,219,232,253,268,276,277,279,280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201861
2,368,284,8,18,38,44,59,71,86,95,110,120,137,152,174,193,211,227,240,253,272,276,279,282,284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201866
6,368,293,8,18,37,41,62,79,91,105,118,126,144,160,180,198,214,231,245,263,283,286,286,293,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201870
8,368,278,8,18,33,43,52,75,91,97,109,122,132,149,168,185,203,222,235,248,267,274,274,278,278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201872
2,368,277,8,18,37,45,60,77,88,100,112,121,142,154,173,190,208,225,235,249,264,269,272,276,277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201875
