size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
263,416,8,35,43,58,64,64,64,69,78,81,100,117,127,128,128,128,141,143,152,159,180,189,203,225,247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451566
260,416,4,35,42,57,63,63,66,66,78,81,91,96,106,109,110,111,120,125,140,155,169,187,204,224,237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451574
292,480,0,38,49,61,68,71,71,74,75,88,104,123,132,132,135,136,146,150,159,162,187,197,213,233,238,243,254,271,290,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451594
260,416,2,38,48,60,67,67,70,70,81,86,93,101,111,111,112,112,125,129,146,162,174,193,208,229,247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451596
667,800,8,38,52,66,75,76,77,78,88,91,108,126,134,134,134,134,147,154,162,169,189,200,217,230,253,273,284,302,324,326,339,345,371,392,413,431,449,458,477,490,512,528,543,558,579,600,615,629,648,451602
614,800,3,32,38,49,57,60,61,61,71,76,95,111,120,120,124,125,135,138,147,154,174,184,199,218,242,257,270,289,306,306,323,332,353,373,395,414,431,439,455,467,483,501,515,522,538,551,565,578,596,451609
262,416,6,32,39,57,64,64,66,67,77,82,100,114,125,126,126,126,139,142,152,160,178,190,205,221,242,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451612
659,800,8,34,50,59,69,72,73,73,83,88,105,122,131,131,134,134,145,147,157,166,184,195,214,230,250,268,285,302,318,324,332,345,367,386,404,421,445,455,470,491,507,523,539,556,576,591,609,632,647,451626
264,416,4,33,43,55,61,65,67,68,78,79,90,95,102,107,110,111,120,125,143,158,169,190,204,223,246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451634
274,432,6,33,44,55,63,65,66,67,75,82,98,110,125,125,125,125,139,143,151,157,178,191,209,224,243,264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451648
