size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
585,800,3,26,32,42,51,51,51,54,65,69,82,92,101,102,103,104,116,118,127,127,151,161,181,204,222,238,250,268,288,294,305,315,335,356,372,389,403,411,428,441,457,473,487,493,507,521,536,552,564,599377
272,448,5,26,37,46,55,56,57,57,68,73,79,89,98,99,99,102,109,114,127,140,149,168,183,195,218,242,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599379
298,480,1,31,40,54,58,58,58,58,73,79,89,94,103,103,106,106,114,123,136,146,159,169,183,204,222,241,253,277,294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599399
258,432,8,31,44,53,62,63,64,66,76,80,93,101,111,111,111,111,127,131,136,147,160,173,189,210,227,244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599406
254,416,9,25,38,49,57,58,60,60,72,75,83,91,98,101,101,101,114,116,132,143,153,169,188,211,235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599431
399,576,7,29,42,53,60,60,60,60,75,78,90,101,108,108,112,112,125,128,136,145,162,177,197,217,240,252,271,289,304,312,323,333,352,366,384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599453
260,432,7,24,36,48,55,56,56,56,69,74,84,96,106,107,107,109,120,122,132,140,158,173,187,207,224,246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599645
253,416,5,27,38,49,56,58,59,59,71,74,82,90,99,101,102,103,114,118,130,142,155,172,191,215,234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599667
246,416,11,27,37,48,56,58,58,61,71,74,86,99,107,107,109,109,122,123,134,142,160,171,189,205,228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599697
293,480,1,28,39,54,60,61,61,64,75,76,85,95,102,104,104,108,117,122,132,147,158,175,189,206,226,243,260,275,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599711
250,416,6,28,40,52,58,58,63,63,74,79,92,101,110,110,110,114,125,128,138,142,160,173,191,214,231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599716
247,416,11,28,40,52,58,58,63,63,74,79,92,101,110,110,110,114,125,128,138,142,160,173,191,211,230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599721
418,584,7,27,40,55,63,63,65,65,78,80,93,104,113,114,115,115,128,132,136,147,163,178,193,210,232,252,268,287,308,308,323,332,354,375,395,411,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599741
252,416,9,24,35,48,55,57,58,59,67,73,81,90,99,100,101,102,112,117,130,142,153,171,192,211,233,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599767
244,416,11,24,35,49,55,57,57,57,70,74,87,96,107,108,110,111,119,123,134,141,161,171,189,211,232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599769
406,584,7,26,39,52,62,63,63,63,74,80,90,103,108,112,112,115,124,129,139,141,165,175,192,209,228,248,262,280,292,295,307,317,335,354,376,396,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599813
237,416,11,26,36,47,56,56,59,60,70,74,87,95,107,108,109,110,117,125,133,139,160,170,187,198,218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599817
312,480,1,28,40,54,60,60,63,63,73,78,87,95,101,104,106,106,116,121,129,146,159,171,192,210,234,247,269,289,309,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599855
404,584,7,27,41,56,63,63,63,67,78,79,93,105,114,114,114,114,128,128,141,146,163,177,195,214,231,248,261,280,294,303,313,324,345,363,382,403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599885
601,800,4,32,37,50,54,54,60,61,71,72,88,99,107,107,107,111,120,124,132,132,159,171,187,205,226,241,258,276,301,307,317,327,349,365,383,402,419,429,442,456,472,489,503,514,525,539,554,563,581,599930
242,416,8,32,33,54,61,61,64,66,76,78,92,102,112,112,114,115,125,130,139,144,163,177,193,207,226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599934
255,416,9,32,33,53,61,61,62,62,74,79,87,94,101,105,106,107,118,118,134,145,159,174,191,209,234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599935
306,480,1,23,36,48,55,55,57,58,70,73,81,89,98,99,100,100,113,116,129,141,153,164,188,208,228,247,263,283,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599951
249,416,11,32,42,51,61,64,65,65,77,79,94,99,110,110,115,117,127,130,138,146,164,176,195,214,237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599985
289,448,4,30,41,53,60,61,61,61,75,78,86,94,101,101,105,105,117,121,131,145,158,171,199,222,237,257,269,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600002
289,480,1,28,39,54,62,62,62,66,77,80,88,96,104,104,108,109,118,121,137,148,159,173,186,202,216,239,253,269,287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600167
260,480,0,27,38,52,59,60,62,62,74,74,88,97,109,110,112,113,124,127,135,144,157,167,183,200,202,209,223,237,258,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600190
304,480,1,30,36,53,60,60,60,60,74,77,86,94,101,105,106,107,116,121,132,143,157,173,192,199,220,240,259,278,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600215
249,416,7,30,38,51,58,58,63,63,70,78,91,100,111,112,113,113,125,129,136,145,160,172,190,215,233,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600221
244,416,8,30,40,53,59,61,61,61,74,78,92,100,111,112,113,115,122,129,138,145,155,169,187,208,227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600246
305,480,1,32,42,54,62,63,64,64,75,75,89,96,104,106,106,109,119,122,134,147,161,175,188,206,229,247,262,277,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600287
