packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
7,416,258,14,33,43,54,64,64,64,69,78,81,94,101,106,106,106,106,126,130,138,144,164,177,193,218,236,258,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,462617
6,416,256,14,29,39,48,60,62,64,65,73,80,89,99,106,106,106,110,119,125,134,137,164,171,195,210,235,256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,462640
7,432,266,14,34,44,52,64,64,64,69,78,83,91,102,107,112,112,114,124,127,138,147,168,178,195,211,229,250,266,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,462653
3,800,617,14,33,43,55,67,68,70,71,79,86,96,104,113,114,115,118,126,132,139,148,167,183,203,220,238,259,270,284,309,315,325,337,353,372,390,407,430,441,454,471,486,499,513,526,543,558,567,587,602,617,462709
0,480,304,14,33,43,56,63,64,65,67,76,81,90,97,107,110,111,112,123,126,137,142,157,171,189,207,226,246,264,281,300,304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,462754
2,416,246,14,30,41,44,59,59,59,66,76,80,89,94,105,107,107,107,122,126,134,140,160,170,187,210,227,246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,462804
3,800,614,14,33,44,57,68,68,72,74,83,88,97,107,111,111,111,119,128,133,142,150,166,178,197,220,235,254,268,285,308,312,324,332,353,370,389,408,429,440,454,468,483,499,514,524,545,555,570,585,603,614,462865
1,480,315,14,36,42,59,60,60,69,70,79,84,92,101,106,111,112,112,125,129,138,147,158,178,202,219,239,256,273,287,309,315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,462935
5,416,252,14,29,45,54,60,65,65,67,78,83,89,96,105,108,111,111,122,126,137,147,158,176,191,210,230,252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,463131
2,800,602,14,31,42,59,69,71,72,74,84,89,98,102,102,102,118,118,131,135,143,151,168,177,198,212,234,247,261,279,298,303,313,325,344,362,379,397,419,427,443,454,472,489,499,514,532,544,559,574,593,602,463176
