size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
337,368,1,22,41,49,59,79,93,104,121,136,148,164,180,199,216,233,251,268,286,297,308,324,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20904
276,368,4,21,35,42,57,76,94,108,119,131,144,158,176,192,210,225,237,249,266,268,272,273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20907
523,608,13,23,39,45,59,80,96,111,124,131,147,158,179,196,215,232,244,254,270,278,295,313,328,342,362,376,391,401,416,427,439,451,462,474,488,498,508,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20916
287,368,23,21,36,41,55,73,83,96,112,127,139,155,170,188,206,227,245,259,276,280,283,284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20926
321,368,13,19,37,44,57,68,88,100,114,126,141,154,177,191,215,229,243,253,271,275,290,308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20943
288,368,2,20,37,42,59,73,92,106,119,128,144,155,172,190,209,226,241,253,272,280,281,286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20955
519,608,49,22,41,49,61,80,95,111,122,136,150,157,179,196,216,236,249,257,269,276,289,315,329,345,362,373,387,399,412,420,434,447,457,470,480,494,506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21002
519,616,60,21,35,44,60,78,88,101,117,133,143,156,181,202,219,233,248,259,279,280,298,311,328,336,351,362,374,387,398,410,420,434,446,454,468,482,497,514,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21013
297,368,82,20,40,47,64,78,91,105,121,133,147,165,182,205,225,245,257,268,287,289,289,295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21035
325,368,86,19,34,45,60,76,94,109,121,132,146,158,172,199,216,234,244,256,274,281,301,315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21039
327,368,1,20,38,44,59,77,91,105,121,136,148,160,181,197,213,231,250,264,282,284,299,314,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21046
