packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
1,368,331,7,16,40,49,63,81,94,106,120,136,145,160,182,199,217,233,253,266,287,293,308,322,331,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20904
4,368,276,7,19,36,46,58,73,94,109,122,132,138,157,174,194,209,227,239,246,265,270,272,274,276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20907
13,608,522,7,21,40,47,60,78,96,109,116,133,147,160,179,195,213,226,241,252,269,277,293,311,327,342,361,375,390,402,413,427,438,447,463,473,487,488,509,522,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20916
23,368,284,7,19,37,41,55,72,78,92,111,123,137,153,170,185,203,224,241,254,268,275,278,278,284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20926
13,368,320,7,20,36,44,56,66,85,101,111,124,140,150,171,193,208,229,242,251,269,274,290,306,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20943
2,368,289,7,19,33,42,58,73,90,105,115,129,143,154,172,184,210,224,243,252,269,282,283,286,289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20955
49,608,521,7,21,41,49,59,80,96,111,123,131,150,162,179,195,216,235,249,259,274,281,299,316,331,349,364,373,389,400,414,424,437,447,458,471,485,494,508,521,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21002
60,616,512,7,22,35,43,58,76,87,100,115,130,143,160,179,201,220,233,248,256,275,281,295,308,324,334,348,359,373,383,398,409,418,432,442,458,466,479,496,509,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21013
82,368,295,7,19,39,47,59,76,90,102,118,132,146,164,183,203,220,242,255,266,283,288,289,293,295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21035
86,368,328,7,20,34,44,58,72,91,108,120,132,145,159,175,197,218,233,248,257,275,285,298,310,328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21039
1,368,323,7,16,35,44,56,77,91,103,118,131,147,160,167,193,211,230,248,264,280,280,296,311,323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21046
7,368,273,7,19,34,41,56,74,92,107,119,128,142,151,169,186,201,214,229,238,259,263,269,271,273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21052
18,472,404,7,20,36,47,61,79,90,102,119,134,145,157,174,195,212,230,244,254,270,273,291,304,319,328,340,354,371,382,397,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21063
10,624,535,7,19,37,47,59,72,92,106,119,129,144,158,177,196,215,233,244,255,270,280,294,313,329,345,360,376,388,401,413,428,438,450,464,468,486,498,510,520,535,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21080
12,624,542,7,19,38,40,61,78,92,107,119,129,143,159,177,198,215,235,248,254,277,283,296,317,333,350,366,377,391,409,421,433,445,457,469,481,490,506,516,527,542,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21082
39,584,494,7,23,34,42,58,74,87,99,115,130,142,158,172,191,208,224,235,246,266,276,293,305,324,336,349,362,373,385,397,407,419,434,444,453,471,488,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21109
42,624,544,7,19,38,48,57,77,93,110,122,133,146,161,178,199,215,237,250,259,276,283,297,317,332,350,364,379,391,409,426,439,450,460,474,485,496,507,519,533,544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21112
61,608,516,7,21,32,48,58,76,93,110,124,131,150,162,180,197,213,230,243,251,266,273,290,307,321,340,355,367,382,395,406,419,432,444,452,467,481,484,500,516,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21131
84,368,324,7,20,37,44,57,73,89,105,117,128,143,157,175,195,215,230,243,252,268,279,296,312,324,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21154
21,368,271,7,19,37,44,57,72,87,100,115,127,144,157,174,187,201,219,232,244,261,263,265,268,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21181
2,368,292,7,19,42,52,65,77,97,114,125,136,157,170,190,205,223,241,252,259,279,286,289,291,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21186
