size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
337,368,1,22,40,49,64,81,94,107,122,137,148,164,181,199,216,232,251,269,289,297,307,323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20904
274,368,4,21,38,43,56,71,92,107,120,131,140,158,177,193,209,225,236,245,265,266,270,272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20907
518,608,13,24,40,46,59,79,96,110,122,133,146,158,179,195,213,228,243,252,267,272,287,309,325,343,360,374,388,400,413,423,438,449,460,470,485,496,509,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20916
284,368,23,21,36,42,54,71,80,95,110,126,137,155,169,187,205,225,243,257,273,278,279,280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20926
318,368,13,20,37,44,57,70,87,99,113,125,141,150,176,189,211,228,241,252,267,271,292,306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20943
287,368,2,15,31,45,55,75,90,102,115,128,144,155,173,191,210,225,243,253,271,281,282,285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20955
520,608,49,19,42,49,59,81,97,112,124,133,151,163,179,198,214,236,248,251,275,281,299,309,331,349,364,376,387,399,413,425,438,448,461,472,486,493,508,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21002
518,616,60,22,35,43,59,77,86,101,116,132,143,159,179,203,221,234,245,259,279,283,298,310,327,337,350,362,372,386,396,407,421,432,445,458,468,481,497,513,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21013
289,368,82,15,38,47,61,77,91,103,118,134,146,164,182,199,221,243,249,263,283,283,283,289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21035
328,368,86,20,37,45,59,75,92,109,119,131,144,154,174,200,217,233,243,257,278,283,300,316,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21039
326,368,1,19,38,42,57,80,88,104,119,136,148,161,178,191,213,231,251,266,282,286,297,313,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21046
270,368,7,15,34,42,55,74,91,104,119,127,140,153,166,185,204,215,227,239,255,264,265,268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21052
