packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
1,368,334,10,20,40,50,64,80,93,105,119,135,149,161,181,197,216,233,253,269,288,297,307,321,334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20904
4,368,273,10,20,36,45,59,76,92,109,120,132,144,156,177,193,209,221,236,248,266,269,270,273,273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20907
13,608,522,10,21,40,47,58,75,96,111,122,132,145,159,173,191,213,230,242,253,265,265,292,310,326,341,360,375,389,402,412,426,437,450,461,470,487,495,506,522,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20916
23,368,283,10,20,36,41,55,70,83,94,110,126,138,152,170,186,205,223,241,254,269,274,278,280,283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20926
13,368,318,10,19,36,43,56,67,85,98,111,119,141,151,173,194,209,228,239,252,269,274,291,306,318,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20943
2,368,289,10,20,36,45,58,69,89,101,116,129,144,156,173,190,206,228,241,252,271,281,284,286,289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20955
49,608,520,10,21,39,49,59,79,96,110,123,135,149,162,178,197,215,235,246,260,271,281,299,316,331,349,365,372,388,400,410,425,438,443,461,472,486,489,508,520,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21002
60,616,516,10,22,34,43,55,72,86,100,115,129,139,160,178,201,220,234,248,259,273,279,293,309,326,332,344,360,371,385,397,407,419,433,442,454,466,477,496,511,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21013
82,368,295,10,20,39,46,61,76,91,99,115,134,145,163,183,201,221,242,255,262,279,287,287,291,295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21035
86,368,327,10,19,35,42,56,75,92,107,119,129,144,156,176,195,218,234,248,257,277,284,301,315,327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21039
1,368,323,10,20,38,43,57,77,90,101,119,134,145,155,176,194,213,229,248,264,281,284,296,309,323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21046
7,368,273,10,20,34,43,54,73,92,103,119,127,142,151,169,186,200,216,228,240,258,266,268,269,273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21052
18,472,403,10,23,40,47,59,79,91,102,116,134,146,157,171,194,212,227,241,253,270,271,287,303,318,328,340,356,368,383,394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21063
10,624,533,10,23,37,46,59,73,91,107,117,129,145,158,177,194,215,233,246,256,272,277,296,311,329,346,361,376,383,399,413,428,440,451,459,472,485,499,509,521,533,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21080
12,624,540,10,23,36,46,60,77,92,106,115,127,146,158,176,198,216,233,246,257,277,282,299,316,331,349,361,376,392,407,421,432,445,457,470,478,489,504,514,528,540,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21082
39,584,494,10,22,35,44,55,74,87,99,112,130,138,155,168,190,207,224,237,248,269,276,290,306,323,336,346,360,372,385,395,408,418,434,442,454,473,487,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21109
42,624,546,10,23,37,48,60,77,95,108,122,133,148,161,178,199,215,236,249,259,276,283,299,317,333,350,364,375,392,408,425,439,441,462,474,486,495,510,520,533,546,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21112
61,608,515,10,21,39,46,56,78,92,111,122,133,150,162,179,193,213,229,241,252,264,273,288,306,323,340,355,368,383,389,406,419,432,443,455,465,480,490,502,515,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21131
84,368,323,10,19,37,43,55,74,88,104,117,128,142,155,174,195,214,231,237,252,265,278,296,311,323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21154
21,368,272,10,20,35,45,53,71,88,103,116,127,143,157,173,187,203,219,232,243,259,263,267,270,272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21181
2,368,293,10,20,37,49,64,78,92,112,125,137,157,170,186,205,223,242,250,260,279,286,289,291,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21186
4,368,287,10,20,40,49,61,75,93,109,120,131,153,165,183,201,217,237,247,258,274,280,281,285,287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21188
7,496,433,10,21,40,46,58,71,87,103,117,126,148,160,178,191,214,232,245,254,271,274,296,309,323,336,353,364,379,393,404,419,433,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21191
10,608,551,10,21,40,48,60,78,94,105,121,127,152,165,184,203,221,245,257,265,284,292,310,326,338,357,368,387,403,415,424,440,454,470,483,497,511,522,536,551,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21219
17,720,629,10,22,28,44,53,76,91,102,118,132,142,166,185,203,219,241,253,264,274,287,304,314,327,343,358,370,381,393,406,418,436,449,463,480,495,508,520,535,545,558,571,584,598,613,629,-1,-1,-1,-1,-1,21226
0,368,292,10,20,39,43,54,72,86,103,114,123,143,154,172,190,191,198,215,224,241,252,263,274,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21237
14,368,329,10,19,39,47,56,75,93,108,120,132,149,156,177,198,217,234,248,259,276,284,301,316,329,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21251
31,368,279,10,20,32,45,56,72,86,101,112,125,143,152,171,187,205,226,239,250,265,272,274,276,279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21268
4,368,275,10,20,40,48,59,77,92,105,118,131,143,155,168,190,199,222,235,245,266,269,270,274,275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21275
21,368,274,10,20,41,50,63,79,93,108,121,130,145,154,171,188,207,226,238,246,264,265,265,265,274,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21292
19,800,702,10,23,39,49,62,79,97,114,123,136,153,160,182,194,212,231,242,253,270,279,293,306,321,336,353,365,378,392,404,421,435,451,466,480,494,502,518,531,545,559,571,585,595,614,627,643,657,672,685,702,21314
20,472,418,10,23,41,52,62,84,92,104,117,134,147,164,186,202,221,239,255,267,284,290,301,316,333,339,356,370,384,397,406,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21315
24,368,286,10,20,39,49,62,80,98,107,125,134,154,162,182,195,213,235,244,255,272,278,278,282,286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21319
13,608,521,10,21,32,41,58,76,94,108,121,131,149,160,180,201,219,232,246,257,272,277,297,314,329,346,358,376,388,401,414,426,433,451,459,473,487,497,509,521,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21335
14,368,297,10,20,35,42,56,77,86,98,111,129,142,158,181,197,214,235,246,264,284,291,291,297,297,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21336
2,368,282,10,20,35,48,61,81,96,113,124,136,152,162,180,196,213,225,236,250,268,274,276,276,282,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21356
5,496,425,10,21,38,50,61,77,94,110,122,131,150,156,179,192,210,226,241,251,265,272,287,304,315,331,346,358,370,385,396,412,425,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21359
17,368,286,10,20,38,49,63,77,92,104,118,132,147,164,181,199,214,229,240,254,272,279,282,283,286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21371
26,368,281,10,20,34,40,54,70,81,92,108,125,137,154,170,191,209,225,237,250,269,275,277,280,281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21406
1,368,326,10,20,34,40,55,73,86,97,113,129,138,160,175,193,202,231,247,264,280,287,298,312,326,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21408
8,672,598,10,21,37,43,59,79,94,102,119,137,149,168,183,204,223,243,259,265,286,292,304,320,331,346,365,376,388,399,416,429,443,458,466,485,499,515,528,542,548,568,584,598,-1,-1,-1,-1,-1,-1,-1,-1,21415
11,608,538,10,21,38,46,59,78,94,110,122,132,154,166,184,200,217,232,251,257,276,281,301,316,331,347,362,374,390,399,414,427,441,455,469,482,495,509,522,538,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21441
14,616,525,10,22,33,44,55,78,90,100,117,132,144,157,179,191,211,229,243,252,273,283,298,305,328,343,354,368,381,395,407,419,431,442,452,467,474,487,506,521,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21444
24,368,330,10,19,40,46,62,75,92,109,118,129,152,165,183,196,217,234,249,256,277,286,303,318,330,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21454
