size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
1281,568,2,47,83,83,83,83,83,83,83,83,142,237,237,237,237,237,237,237,239,239,256,260,279,300,300,315,353,451,529,598,740,856,1067,1110,1217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33313
1266,568,6,47,83,83,83,83,83,83,83,83,142,237,237,237,237,237,237,237,239,239,256,260,279,300,302,310,350,451,529,601,740,856,1066,1107,1216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33317
3206,800,21,16,63,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,190,266,267,287,333,351,354,371,455,573,705,852,939,1020,1128,1199,1287,1379,1488,1509,1659,1797,1958,2004,2074,2224,2315,2437,2603,2745,3002,33332
804,512,0,45,75,96,96,96,96,96,96,96,195,367,367,367,367,367,367,367,368,368,387,387,409,422,426,444,456,456,481,580,673,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33339
891,528,6,45,66,68,68,68,68,68,68,68,167,340,340,340,340,340,340,340,341,341,358,363,369,386,388,405,414,414,440,539,633,785,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33345
3450,800,17,16,38,153,153,153,153,153,153,153,155,155,155,155,155,155,155,155,244,360,373,397,453,467,467,485,550,652,779,864,1047,1212,1301,1416,1523,1614,1735,1766,1840,1941,2049,2205,2362,2617,2713,2822,3030,3167,3355,33356
943,528,18,45,66,68,68,68,68,68,68,68,167,340,340,340,340,340,340,340,341,341,358,363,369,380,388,407,416,416,440,537,631,786,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33357
932,528,20,45,66,68,68,68,68,68,68,68,167,340,340,340,340,340,340,340,341,341,358,363,369,386,388,402,415,415,439,538,632,785,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33359
928,536,46,45,47,47,47,47,47,47,47,47,147,319,319,319,319,319,319,319,319,319,340,342,346,361,366,383,390,390,415,514,608,760,890,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33385
3210,800,53,16,63,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,241,357,368,392,437,453,454,475,504,666,859,924,977,1076,1206,1257,1344,1423,1482,1512,1566,1712,1877,2011,2081,2263,2399,2539,2655,2821,2983,33392
991,536,64,45,47,47,47,47,47,47,47,47,147,319,319,319,319,319,319,319,319,319,340,342,344,360,364,378,389,389,413,511,606,758,886,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33403
891,528,68,45,66,68,68,68,68,68,68,68,167,340,340,340,340,340,340,340,341,341,358,363,371,385,385,405,414,414,438,537,631,783,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33407
