size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
431,368,2,17,33,33,33,49,51,126,264,325,348,349,367,378,399,414,415,415,431,431,431,431,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23748
1366,800,6,34,50,53,58,73,192,289,333,416,416,431,447,464,480,497,497,499,518,518,575,632,673,708,738,808,838,852,868,892,932,957,978,1005,1029,1046,1068,1098,1136,1161,1178,1199,1218,1232,1250,1294,1307,1328,1356,23752
975,800,4,34,49,52,57,74,205,302,346,428,428,446,461,475,492,504,508,509,523,523,532,532,533,534,534,534,536,545,553,553,561,566,571,586,611,625,646,670,681,727,737,754,777,798,819,850,885,921,946,23767
432,368,2,17,33,33,33,50,52,126,265,326,347,347,363,382,397,416,417,418,432,432,432,432,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23774
509,368,8,17,31,33,39,56,182,278,322,404,404,422,440,456,472,487,488,495,509,509,509,509,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23780
410,368,0,20,35,35,35,58,61,134,274,334,354,354,374,389,389,389,389,389,406,406,410,410,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23812
874,800,3,31,46,46,46,64,65,141,279,339,356,360,378,394,411,428,429,432,446,446,456,456,485,502,520,535,561,574,599,619,625,640,662,673,687,698,710,729,735,745,756,765,770,802,818,826,843,849,849,23815
410,368,0,20,36,37,37,56,56,136,276,337,352,356,372,388,391,391,391,391,408,408,410,410,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23841
449,368,7,17,29,34,34,49,52,126,264,323,342,344,360,378,394,409,409,435,449,449,449,449,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23848
422,368,2,17,27,33,35,50,52,128,267,326,345,345,362,377,394,409,409,412,422,422,422,422,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23853
