size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
340,416,8,27,27,27,27,27,27,27,27,27,71,229,229,229,229,229,229,229,229,229,253,263,281,299,313,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451566
322,416,4,29,29,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,70,237,238,256,271,287,306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451574
324,480,0,28,31,31,31,31,31,31,31,31,79,238,238,238,238,238,238,238,238,238,247,247,277,295,301,303,305,311,324,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451594
322,416,2,25,25,25,25,25,25,25,25,25,34,34,34,34,34,34,34,34,66,236,236,257,270,289,305,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451596
1654,800,8,28,117,132,132,132,132,132,132,132,176,332,332,332,332,332,332,332,332,332,352,354,370,388,406,421,425,427,444,444,444,444,468,485,496,513,571,578,606,662,752,858,1038,1159,1275,1403,1456,1581,1637,451602
523,800,3,31,43,43,43,43,43,43,43,43,87,245,245,245,245,245,245,245,245,245,269,275,291,311,326,349,350,350,369,369,369,369,395,412,421,450,458,458,465,467,471,473,474,474,479,488,488,488,510,451609
325,416,6,31,31,31,31,31,31,31,31,31,75,231,231,231,231,231,231,231,231,231,255,261,280,293,308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451612
1581,800,8,26,117,132,132,132,132,132,132,132,176,333,333,333,333,333,333,333,333,333,350,355,370,393,409,425,435,437,456,456,457,457,480,499,508,532,591,596,626,684,769,875,1056,1177,1242,1329,1393,1492,1573,451626
333,416,4,29,29,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,69,240,240,263,278,298,314,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451634
336,432,6,26,35,35,35,35,35,35,35,35,78,234,234,234,234,234,234,234,234,234,253,258,276,295,316,334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451648
320,480,0,28,30,30,30,30,30,30,30,30,80,238,238,238,238,238,238,238,238,238,252,256,271,287,293,295,295,300,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451666
514,800,3,26,35,35,35,35,35,35,35,35,82,238,238,238,238,238,238,238,238,238,252,255,273,292,310,329,329,335,350,350,350,350,376,402,414,430,445,445,451,451,451,451,451,461,465,474,474,474,496,451669
338,448,4,28,32,36,36,36,36,36,36,36,39,39,39,39,39,39,39,39,74,242,242,263,280,297,313,329,331,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451670
499,800,3,31,45,45,45,45,45,45,45,45,88,245,245,245,245,245,245,245,245,245,262,266,284,298,315,326,329,335,353,353,355,355,380,396,406,419,426,426,436,440,443,446,446,447,451,461,461,461,482,451681
336,416,9,31,31,33,33,33,33,33,33,33,37,37,37,37,37,37,37,37,71,239,239,264,280,298,321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451687
329,416,3,29,29,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,72,240,240,260,278,294,311,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451705
323,432,6,27,33,33,33,33,33,33,33,33,77,233,233,233,233,233,233,233,233,233,246,249,270,285,303,322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451720
1504,800,7,24,81,81,81,81,81,81,81,81,133,289,289,289,289,289,289,289,289,289,302,307,323,343,360,377,377,382,402,402,402,402,427,442,455,471,523,530,559,617,702,806,988,1110,1184,1248,1335,1442,1485,451721
320,416,2,27,27,27,27,27,27,27,27,27,70,225,225,225,225,225,225,225,225,225,243,251,264,283,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451740
529,800,3,26,39,39,39,39,39,39,39,39,82,240,240,240,240,240,240,240,240,240,258,265,277,297,314,336,337,343,352,352,352,352,385,414,423,450,457,457,464,464,469,472,472,472,476,486,486,486,508,451741
323,416,4,27,27,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,66,235,235,256,271,290,308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451742
342,432,8,26,33,33,33,33,33,33,33,33,76,233,233,233,233,233,233,233,233,233,251,257,267,294,313,335,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451746
371,480,1,30,31,31,31,31,31,31,31,31,37,37,37,37,37,37,37,37,72,240,240,262,279,296,314,333,341,348,371,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451751
324,416,5,28,28,28,28,28,28,28,28,28,74,229,229,229,229,229,229,229,229,229,251,255,276,290,306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451755
1638,800,8,30,90,95,95,95,95,95,95,95,139,297,297,297,297,297,297,297,297,297,319,326,345,359,374,391,392,398,414,414,414,414,438,454,467,487,549,553,579,638,725,832,1012,1135,1239,1374,1435,1548,1617,451758
523,800,2,35,48,48,48,48,48,48,48,48,91,247,247,247,247,247,247,247,247,247,270,273,288,302,322,336,336,344,359,359,359,359,386,406,414,440,450,450,456,458,462,462,462,462,471,476,476,476,501,451776
313,416,8,28,28,28,28,28,28,28,28,28,73,230,230,230,230,230,230,230,230,230,249,253,265,281,297,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451794
325,416,9,28,28,32,32,32,32,32,32,32,34,34,34,34,34,34,34,34,70,238,238,259,273,291,310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451795
333,416,5,28,28,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,71,239,239,258,277,296,316,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451827
330,416,6,31,31,31,31,31,31,31,31,31,75,232,232,232,232,232,232,232,232,232,250,259,279,294,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451828
336,416,9,31,31,35,35,35,35,35,35,35,37,37,37,37,37,37,37,37,72,239,239,259,278,297,317,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451831
325,416,9,23,23,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,68,236,236,254,276,291,307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451867
338,416,4,30,30,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,71,239,239,261,280,297,316,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451874
1686,800,7,30,117,132,132,132,132,132,132,132,176,332,332,332,332,332,332,332,332,332,352,356,373,388,409,440,445,449,466,466,466,466,493,516,526,544,607,612,635,696,784,891,1070,1193,1298,1375,1428,1591,1668,451877
1472,800,7,27,95,98,98,98,98,98,98,98,144,300,300,300,300,300,300,300,300,300,314,325,340,358,387,406,406,410,426,426,426,426,451,469,482,506,566,569,597,657,741,848,1029,1152,1264,1309,1341,1440,1459,451889
503,800,3,31,43,43,43,43,43,43,43,43,87,243,243,243,243,243,243,243,243,243,260,270,284,302,317,334,334,341,352,352,352,352,382,397,409,429,435,435,442,446,448,451,451,451,456,464,464,467,488,451897
365,480,1,26,31,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,71,240,240,259,273,293,312,333,346,348,365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451943
342,448,5,27,35,37,37,37,37,37,37,37,40,40,40,40,40,40,40,40,74,242,243,260,277,294,316,333,335,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451947
338,432,8,28,34,34,34,34,34,34,34,34,79,236,236,236,236,236,236,236,236,236,254,264,280,291,317,335,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451950
344,448,5,31,40,44,44,44,44,44,44,44,46,46,46,46,46,46,46,46,78,248,249,269,282,303,319,336,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451971
356,480,0,29,33,35,35,35,35,35,35,35,37,37,37,37,37,37,37,37,68,238,238,257,270,286,304,320,329,336,356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451978
352,480,0,32,36,37,37,37,37,37,37,37,40,40,40,40,40,40,40,40,70,241,242,259,275,292,305,324,335,338,352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451990
321,416,3,31,31,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,71,239,239,257,270,292,308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451993
501,800,3,31,41,41,41,41,41,41,41,41,84,240,240,240,240,240,240,240,240,240,257,262,284,292,316,334,337,341,356,356,356,356,383,397,411,424,432,432,437,440,444,447,447,447,454,459,459,459,482,452005
322,480,0,28,30,30,30,30,30,30,30,30,80,238,238,238,238,238,238,238,238,238,254,261,277,296,296,298,302,308,322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452026
317,416,2,29,29,29,29,29,29,29,29,29,72,227,227,227,227,227,227,227,227,227,242,250,265,288,306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452028
321,416,5,27,29,32,32,32,32,32,32,32,34,34,34,34,34,34,34,34,69,236,237,253,268,281,299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452031
327,416,11,34,34,34,34,34,34,34,34,34,78,234,234,234,234,234,234,234,234,234,252,259,279,296,313,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452049
511,800,4,26,37,37,37,37,37,37,37,37,84,240,240,240,240,240,240,240,240,240,248,259,274,287,306,336,342,348,363,363,363,363,385,404,416,426,432,432,443,443,448,451,451,452,456,466,466,466,486,452054
315,416,6,31,31,31,31,31,31,31,31,31,74,230,230,230,230,230,230,230,230,230,244,248,266,282,299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452056
335,416,3,32,32,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,75,242,243,260,279,295,314,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452065
330,416,6,34,34,34,34,34,34,34,34,34,78,234,234,234,234,234,234,234,234,234,248,259,277,297,314,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452068
325,416,3,32,32,32,32,32,32,32,32,32,76,233,233,233,233,233,233,233,233,233,251,260,274,293,307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452089
329,416,5,28,28,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,70,238,238,258,278,296,314,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452115
360,480,1,27,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,59,237,238,252,272,291,309,320,331,335,360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452123
522,800,2,32,44,44,44,44,44,44,44,44,87,244,244,244,244,244,244,244,244,244,265,277,284,308,325,342,350,354,374,374,374,375,399,412,426,445,455,455,461,463,467,471,471,472,472,484,484,484,507,452136
327,416,5,31,31,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,72,240,240,260,277,294,310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452139
330,416,11,32,32,32,32,32,32,32,32,32,76,232,232,232,232,232,232,232,232,232,255,264,280,299,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452145
311,416,3,28,28,28,28,28,28,28,28,28,72,228,228,228,228,228,228,228,228,228,237,245,261,278,294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452149
315,416,4,27,27,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,67,236,236,254,267,285,303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452150
511,800,3,25,36,38,38,38,38,38,38,38,81,237,237,237,237,237,237,237,237,237,249,252,274,292,311,328,329,333,350,350,350,350,378,394,407,433,446,448,453,457,458,463,463,463,468,477,477,477,499,452197
327,416,9,26,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,65,235,235,252,270,290,306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452203
315,480,0,25,29,31,31,31,31,31,31,31,78,237,237,237,237,237,237,237,237,237,252,256,270,285,285,292,294,298,315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452218
314,416,3,25,27,27,27,27,27,27,27,27,71,227,227,227,227,227,227,227,227,227,243,248,262,280,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452221
333,432,8,24,37,37,37,37,37,37,37,37,81,237,237,237,237,237,237,237,237,237,255,261,278,294,312,333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452238
302,416,11,26,26,26,26,26,26,26,26,26,70,226,226,226,226,226,226,226,226,226,236,240,257,273,288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452253
332,432,9,27,34,34,34,34,34,34,34,34,78,235,235,235,235,235,235,235,235,235,251,257,275,295,312,331,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452263
325,416,4,25,25,26,26,26,26,26,26,26,30,30,30,30,30,30,30,30,66,233,233,253,277,290,310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452270
1561,800,8,24,69,70,70,70,70,70,70,70,114,271,271,271,271,271,271,271,271,271,284,291,307,328,345,362,366,368,387,387,387,387,412,431,444,474,537,540,570,627,710,821,1000,1122,1215,1318,1388,1515,1547,452274
328,480,0,21,31,31,31,31,31,31,31,31,81,239,239,239,239,239,239,239,239,239,254,261,279,296,299,306,306,311,328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452326
317,416,11,27,27,27,27,27,27,27,27,27,71,227,227,227,227,227,227,227,227,227,243,253,266,283,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452337
335,448,5,28,32,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,74,242,242,260,279,295,310,326,326,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452343
511,800,4,28,37,37,37,37,37,37,37,37,83,240,240,240,240,240,240,240,240,240,253,261,280,296,315,331,331,340,359,359,359,359,385,403,415,433,441,441,446,450,453,456,456,456,460,470,470,470,491,452366
323,432,7,26,31,31,31,31,31,31,31,31,77,234,234,234,234,234,234,234,234,234,251,255,273,287,305,323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452369
321,416,11,25,25,25,25,25,25,25,25,25,71,228,228,228,228,228,228,228,228,228,242,250,265,286,306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452373
353,480,1,24,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,69,241,241,263,280,294,308,319,331,336,353,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452375
499,800,4,29,39,39,39,39,39,39,39,39,83,241,241,241,241,241,241,241,241,241,256,260,273,290,310,326,328,332,348,348,350,350,376,396,403,425,430,430,437,437,443,447,447,447,453,460,460,460,482,452390
337,448,5,28,34,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,75,243,243,262,279,295,311,329,333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452391
516,800,2,31,42,42,42,42,42,42,42,42,90,246,246,246,246,246,246,246,246,246,261,269,287,303,317,340,341,346,361,361,361,361,387,406,415,435,443,443,450,454,457,458,458,458,464,474,474,474,496,452400
322,416,3,33,33,33,33,33,33,33,33,33,77,232,232,232,232,232,232,232,232,232,244,259,274,294,308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452425
322,432,8,29,35,35,35,35,35,35,35,35,79,236,236,236,236,236,236,236,236,236,239,250,265,283,298,318,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452442
320,416,3,33,33,33,33,33,33,33,33,33,77,233,233,233,233,233,233,233,233,233,247,252,266,282,299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452449
321,416,3,23,23,23,23,23,23,23,23,23,71,227,227,227,227,227,227,227,227,227,241,249,266,282,303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452461
318,416,8,23,23,23,23,23,23,23,23,23,71,227,227,227,227,227,227,227,227,227,243,249,266,280,299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452466
318,416,3,30,32,32,32,32,32,32,32,32,75,231,231,231,231,231,231,231,231,231,245,254,268,286,304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452473
344,448,4,29,34,37,37,37,37,37,37,37,40,40,40,40,40,40,40,40,76,243,243,263,280,296,312,334,338,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452498
324,416,11,30,30,30,30,30,30,30,30,30,73,229,229,229,229,229,229,229,229,229,245,254,268,284,307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452505
518,800,3,24,39,39,39,39,39,39,39,39,82,240,240,240,240,240,240,240,240,240,255,262,278,295,323,338,343,346,362,362,362,362,391,411,425,442,452,452,458,462,464,464,468,469,473,482,482,482,505,452509
339,448,4,30,30,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,77,244,245,264,283,296,310,328,332,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452522
366,416,4,27,27,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,67,235,235,253,310,327,339,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452534
356,416,9,27,27,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,63,235,236,253,305,323,340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452539
336,480,0,32,39,39,39,39,39,39,39,39,87,245,245,245,245,245,245,245,245,245,261,266,283,304,308,311,314,318,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452542
321,416,6,31,31,31,31,31,31,31,31,31,76,233,233,233,233,233,233,233,233,233,251,255,273,289,303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452548
368,480,1,25,29,32,32,32,32,32,32,32,35,35,35,35,35,35,35,35,70,238,238,258,274,289,305,325,334,339,368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452567
318,416,3,28,28,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,67,237,237,258,271,289,304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452569
309,416,6,28,28,28,28,28,28,28,28,28,72,227,227,227,227,227,227,227,227,227,245,252,267,283,299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452572
1568,800,8,27,58,64,64,64,64,64,64,64,108,264,264,264,264,264,264,264,264,264,282,287,307,320,338,352,353,355,373,373,373,373,401,413,425,444,505,510,538,595,680,789,968,1090,1168,1285,1349,1486,1552,452574
309,416,2,28,28,28,28,28,28,28,28,28,72,226,226,226,226,226,226,226,226,226,240,245,259,276,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452580
1456,800,10,32,58,65,65,65,65,65,65,65,109,265,265,265,265,265,265,265,265,265,277,290,303,317,337,350,350,358,375,375,376,376,395,421,432,449,509,512,542,600,685,790,972,1093,1232,1290,1318,1391,1443,452624
318,416,11,30,30,30,30,30,30,30,30,30,75,231,231,231,231,231,231,231,231,231,245,255,272,288,303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452625
524,800,3,29,43,43,43,43,43,43,43,43,87,244,244,244,244,244,244,244,244,244,262,269,282,302,322,338,342,346,358,358,360,360,386,407,419,435,447,449,454,457,460,461,461,465,469,478,478,478,498,452641
362,480,1,24,28,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,66,234,235,257,272,291,315,330,340,344,362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452651
341,448,5,24,29,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,69,238,239,260,276,293,316,333,335,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452655
328,416,9,25,25,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,65,232,233,255,270,289,313,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452659
317,416,11,29,29,29,29,29,29,29,29,29,73,229,229,229,229,229,229,229,229,229,246,254,268,285,297,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452673
