size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
59,416,1,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,25,26,38,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6616
93,488,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,56,56,58,73,75,91,93,93,93,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7165
68,728,3,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,33,33,49,50,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,-1,-1,-1,-1,7168
100,624,5,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,32,32,53,59,78,83,83,83,83,83,83,83,83,83,83,83,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7820
112,496,4,31,38,38,38,38,38,38,38,38,44,44,44,44,44,44,44,44,44,44,61,61,65,83,83,102,103,103,107,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7987
116,536,0,43,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,64,64,67,78,88,95,107,115,115,116,116,116,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8789
68,728,1,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,32,32,47,51,63,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,-1,-1,-1,-1,9146
103,624,5,9,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,39,39,56,57,76,82,82,82,82,82,82,82,82,82,82,82,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9150
124,496,0,42,49,49,49,49,49,49,49,49,55,55,55,55,55,55,55,55,55,55,73,73,78,93,95,113,113,113,117,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15293
99,624,7,9,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,32,34,50,53,68,68,68,68,68,68,68,68,68,68,68,68,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15306
71,544,5,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,31,45,53,62,71,71,71,71,71,71,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16694
112,488,0,39,42,42,42,42,42,42,42,42,51,55,55,55,55,55,55,55,55,55,72,72,72,90,92,103,111,111,111,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16849
113,496,4,42,45,45,45,45,45,45,45,45,51,51,51,51,51,51,51,51,51,51,66,66,69,79,87,105,110,110,111,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16991
105,488,0,34,34,34,34,34,34,34,34,34,45,47,47,47,47,47,47,47,47,47,66,66,67,85,87,101,103,103,103,105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18737
126,504,0,46,48,48,48,48,48,48,48,48,54,54,54,54,54,54,54,54,54,54,70,70,77,90,94,114,117,117,121,121,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19047
109,504,2,33,36,36,36,36,36,36,36,36,40,40,40,40,40,40,40,40,40,40,57,57,58,77,79,99,100,100,103,103,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19459
102,624,5,9,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,40,40,55,62,80,83,83,83,83,83,83,83,83,83,83,83,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19462
84,624,3,9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,32,32,46,53,73,77,77,77,77,77,77,77,77,77,77,77,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21348
118,504,6,37,39,39,39,39,39,39,39,39,43,43,43,43,43,43,43,43,43,43,57,57,63,80,81,110,110,112,116,116,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21351
113,536,0,39,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,63,63,67,81,86,103,104,113,113,113,113,113,113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21567
