size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
268,800,3,15,31,31,31,31,31,31,31,31,33,33,33,33,33,33,33,33,33,33,65,65,87,104,120,134,134,137,165,165,165,165,170,188,198,213,215,219,219,219,220,221,224,226,226,227,227,237,252,599377
128,448,5,19,19,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,29,34,34,57,72,88,104,121,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599379
152,480,1,20,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,24,25,51,68,81,101,117,128,132,152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599399
116,432,8,16,21,21,21,21,21,21,21,21,25,25,25,25,25,25,25,25,25,25,48,49,66,81,99,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599406
115,416,9,14,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,26,26,50,67,83,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599431
193,576,7,17,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,54,59,74,96,106,127,128,129,143,143,143,143,149,171,183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599453
127,432,7,17,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,53,54,73,86,106,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599645
106,416,5,15,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,30,30,45,62,78,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599667
110,416,11,14,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,39,43,60,76,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599697
127,480,1,19,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,40,60,76,91,110,112,114,127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599711
118,416,6,16,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,47,50,63,81,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599716
117,416,11,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,45,45,64,78,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599721
188,584,7,13,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,21,45,49,60,83,100,118,118,118,139,139,139,139,139,162,170,183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599741
115,416,9,13,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26,30,31,47,67,82,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599767
114,416,11,11,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,49,50,67,80,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599769
180,584,7,17,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,24,24,24,38,38,58,75,92,106,106,106,122,122,122,122,126,141,148,172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599813
101,416,11,19,21,21,21,21,21,21,21,21,23,23,23,23,23,23,23,23,23,23,32,38,57,70,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599817
137,480,1,19,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,27,43,64,76,97,109,117,123,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599855
