size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
194,368,1,13,33,34,35,51,56,56,60,62,64,82,100,116,131,149,160,161,179,179,185,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20904
166,368,4,8,25,25,26,42,55,55,57,58,85,86,107,119,133,147,147,147,166,166,166,166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20907
292,608,13,15,33,33,33,51,54,54,54,54,79,80,99,113,128,144,144,145,165,165,171,171,175,177,187,201,218,233,240,245,257,262,269,271,279,287,290,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20916
159,368,23,10,26,29,29,48,49,49,50,51,51,69,87,100,118,140,140,141,159,159,159,159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20926
193,368,13,13,29,29,32,46,46,46,46,46,73,75,87,105,120,139,139,140,158,158,162,182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20943
152,368,2,12,27,27,28,44,49,53,53,53,69,69,87,103,118,135,135,135,152,152,152,152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20955
271,608,49,16,34,34,36,56,57,57,57,57,71,74,89,105,120,136,136,136,154,154,161,161,161,165,175,189,193,215,225,227,238,240,249,249,260,267,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21002
250,616,60,14,33,33,35,52,53,53,53,54,54,72,87,104,118,131,131,131,149,149,149,149,157,164,177,189,207,216,221,225,226,230,230,233,237,239,242,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21013
167,368,82,10,25,25,29,46,46,49,53,62,65,85,102,117,133,148,151,151,167,167,167,167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21035
180,368,86,13,29,29,29,48,56,56,59,59,82,86,101,113,132,147,147,152,161,161,172,177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21039
192,368,1,12,33,36,38,54,57,57,61,61,61,83,97,111,129,142,158,159,176,176,186,190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21046
157,368,7,10,26,26,29,44,55,59,59,60,72,80,93,108,122,139,141,142,155,155,157,157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21052
225,472,18,14,33,33,35,53,55,55,57,63,63,85,101,116,133,151,153,155,175,175,175,175,188,193,198,201,210,217,225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21063
266,624,10,16,29,31,31,45,49,51,51,51,66,68,86,104,120,135,135,136,155,155,161,162,162,166,171,192,204,211,225,227,228,237,239,244,252,258,263,266,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21080
309,624,12,15,31,31,34,53,53,57,57,57,73,73,90,108,128,143,143,143,161,161,168,168,168,168,177,200,215,250,263,263,267,277,280,282,293,294,305,308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21082
352,584,39,15,36,36,37,57,57,57,62,64,64,75,94,111,125,141,141,141,155,155,155,155,170,182,230,240,240,262,278,278,289,307,317,324,339,349,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21109
318,624,42,15,25,31,33,49,50,50,55,55,69,71,89,104,121,139,139,140,158,158,166,166,166,170,183,195,213,235,278,280,281,291,291,297,305,311,315,318,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21112
279,608,61,16,29,29,29,54,54,54,54,54,73,74,90,109,124,141,141,141,167,167,176,178,179,180,187,218,222,228,236,241,247,250,258,259,266,275,275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21131
176,368,84,12,29,30,30,49,53,56,56,56,69,69,94,117,128,146,146,149,163,163,167,173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21154
156,368,21,9,26,26,28,44,52,53,53,53,74,74,92,108,126,140,140,141,156,156,156,156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21181
164,368,2,11,25,26,27,41,50,52,54,54,75,75,94,112,127,143,143,143,164,164,164,164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21186
159,368,4,10,26,27,27,42,50,50,50,50,73,76,91,108,123,143,143,143,159,159,159,159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21188
263,496,7,14,28,28,32,53,59,62,62,62,85,88,104,121,136,157,159,161,173,173,188,189,193,199,205,208,220,232,235,246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21191
374,608,10,16,32,32,34,54,56,56,59,59,82,83,101,116,131,149,149,149,163,163,166,166,179,180,193,198,213,239,252,265,292,309,309,327,335,352,373,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21219
250,720,17,14,34,34,37,55,55,55,64,67,67,78,99,118,135,149,149,156,172,172,174,180,184,190,190,192,201,203,204,204,207,207,208,208,208,211,215,220,224,227,234,234,238,241,-1,-1,-1,-1,-1,21226
214,368,0,9,22,22,29,44,75,88,108,119,142,147,164,186,186,186,188,192,212,212,214,214,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21237
198,368,14,14,26,33,33,47,57,57,57,57,75,77,97,112,126,143,143,148,166,166,176,186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21251
163,368,31,10,31,34,36,56,56,60,60,60,78,79,95,114,129,148,148,149,163,163,163,163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21268
159,368,4,8,26,27,29,51,53,56,56,56,72,75,89,109,124,140,140,144,159,159,159,159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21275
154,368,21,8,23,23,26,45,52,52,52,52,71,74,91,106,123,137,137,139,154,154,154,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21292
793,800,19,41,55,55,58,74,83,87,89,89,105,106,123,142,155,177,177,177,193,193,230,261,288,321,330,362,376,404,414,431,462,488,513,539,553,574,597,606,626,639,655,663,673,689,707,724,737,756,768,21314
239,472,20,18,37,38,40,54,56,58,59,66,66,89,104,119,137,154,161,161,181,181,185,185,197,203,210,214,225,229,237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21315
147,368,24,10,26,27,27,42,48,49,49,49,59,59,78,92,108,123,126,128,147,147,147,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21319
288,608,13,10,32,32,34,53,58,58,58,58,73,73,94,111,124,149,149,149,165,165,175,179,179,184,192,214,221,230,238,244,254,257,265,271,276,284,288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21335
237,368,14,11,25,25,27,48,48,48,48,52,52,59,80,98,113,133,151,202,224,224,235,235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21336
151,368,2,12,21,21,27,44,54,56,56,56,71,72,84,101,117,132,132,132,151,151,151,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21356
298,496,5,18,34,35,38,54,57,59,59,63,91,91,109,124,141,159,159,159,176,176,195,201,201,211,220,229,241,254,268,279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21359
197,368,17,17,31,35,37,56,59,59,64,73,79,99,117,130,150,163,163,178,197,197,197,197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21371
