packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
1,368,210,0,1,21,21,23,40,40,43,44,56,57,78,95,106,126,142,165,165,185,185,202,204,210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20904
4,368,177,0,3,19,22,25,39,55,68,68,68,91,91,106,122,141,156,157,157,176,176,177,177,177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20907
13,608,403,0,5,20,20,25,37,54,63,63,63,88,88,102,120,136,150,155,155,172,172,183,186,197,210,231,253,273,299,309,315,328,340,352,364,382,390,400,403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20916
23,368,171,0,3,21,22,22,38,38,41,44,54,54,76,89,110,126,144,151,151,170,170,171,171,171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20926
13,368,216,0,3,16,20,20,39,60,67,67,67,95,95,111,122,139,160,163,165,185,185,197,208,216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20943
2,368,194,0,3,15,19,22,38,70,76,76,76,101,101,120,137,155,168,173,174,191,191,194,194,194,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20955
49,608,372,0,4,21,21,24,41,57,67,67,67,90,90,108,123,138,154,160,161,178,178,185,192,204,215,238,246,250,266,278,284,299,309,321,336,351,358,368,372,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21002
60,616,347,0,3,24,25,26,41,43,43,48,55,55,74,91,108,124,139,142,143,159,159,161,163,176,180,196,211,229,242,242,255,267,273,282,297,301,315,326,344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21013
82,368,157,0,3,20,20,22,38,38,40,44,53,53,69,86,99,120,136,138,138,154,154,157,157,157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21035
86,368,207,0,5,20,22,25,41,55,64,64,64,86,86,105,121,138,154,156,156,177,177,186,196,207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21039
1,368,203,0,1,19,19,22,38,41,41,46,56,57,77,94,111,127,142,162,164,179,179,193,198,203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21046
7,368,186,0,3,18,18,23,39,57,67,67,67,96,96,113,127,145,160,164,164,185,185,186,186,186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21052
18,472,247,0,9,23,27,29,40,44,44,48,55,55,80,96,111,127,144,150,151,168,168,168,168,184,195,198,208,222,226,237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21063
10,624,431,0,1,21,23,23,45,59,73,73,73,109,110,126,143,159,175,177,178,195,195,204,204,222,237,253,267,281,297,323,332,340,355,369,377,395,409,419,428,431,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21080
12,624,431,0,6,20,23,25,42,60,69,69,70,104,104,119,136,153,170,174,174,193,193,204,207,218,231,252,257,281,303,325,330,343,360,373,382,399,416,423,431,431,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21082
39,584,383,0,3,19,21,21,37,41,41,41,55,55,97,111,125,142,160,162,164,181,181,185,185,201,219,232,249,258,275,291,302,312,324,333,352,366,378,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21109
42,624,444,0,6,20,23,26,38,61,70,70,70,101,106,120,139,150,172,173,173,190,190,203,204,217,230,248,266,281,300,334,348,352,370,383,392,409,426,432,443,444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21112
61,608,403,0,4,18,18,18,41,54,64,64,64,98,98,116,133,148,168,170,170,188,188,200,201,212,228,246,265,281,299,311,315,330,344,355,365,384,388,401,403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21131
84,368,222,0,5,18,18,23,41,59,68,68,68,100,100,115,133,151,169,169,169,192,192,201,212,222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21154
21,368,176,0,4,19,23,24,41,52,62,62,62,91,95,111,126,140,157,158,158,172,172,176,176,176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21181
2,368,180,0,4,19,19,23,42,54,62,62,62,95,95,109,128,143,160,161,161,174,174,180,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21186
4,368,182,0,3,20,22,24,43,58,67,67,68,99,99,112,131,148,166,168,168,182,182,182,182,182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21188
7,496,316,0,5,24,26,29,49,61,71,71,71,101,101,120,136,151,168,172,172,192,192,205,206,219,233,245,255,265,276,280,292,316,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21191
10,608,452,0,5,21,24,26,47,61,72,72,72,105,105,121,138,150,170,173,173,190,190,208,212,220,238,253,273,288,300,324,334,352,369,377,385,404,421,448,452,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21219
17,720,390,0,4,19,23,23,37,39,39,44,52,52,72,87,103,118,133,138,139,155,155,174,182,193,203,216,222,230,238,245,249,264,277,283,298,306,313,319,325,329,333,344,354,367,380,390,-1,-1,-1,-1,-1,21226
0,368,224,0,4,23,23,30,49,68,85,94,95,117,119,135,153,160,160,164,169,188,188,201,217,224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21237
14,368,213,0,3,20,22,25,43,59,70,70,70,90,90,109,124,141,158,158,163,183,183,195,206,213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21251
31,368,177,0,3,20,20,22,37,56,65,65,65,89,90,106,123,139,156,159,159,177,177,177,177,177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21268
4,368,175,0,3,19,19,21,41,53,60,60,60,89,89,107,125,140,158,158,158,175,175,175,175,175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21275
21,368,177,0,2,20,20,22,42,56,65,65,65,94,95,112,127,143,160,161,161,174,174,177,177,177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21292
19,800,727,0,20,37,38,38,55,75,88,88,88,112,112,127,144,161,171,178,180,196,196,224,254,272,305,331,340,353,380,387,405,429,441,461,472,489,503,521,532,550,560,567,586,594,616,637,653,673,691,708,727,21314
20,472,235,0,9,26,26,30,47,51,51,55,60,60,76,92,108,121,143,145,147,162,162,165,165,179,187,194,204,215,221,232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21315
24,368,181,0,4,18,18,21,39,59,69,69,71,97,97,111,123,145,161,165,165,178,178,181,181,181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21319
13,608,389,0,2,20,23,24,41,52,65,65,65,85,85,102,113,129,151,155,155,173,173,183,183,197,211,229,249,266,283,294,294,311,329,339,353,368,376,385,389,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21335
14,368,193,0,2,18,21,21,41,41,46,50,55,59,73,91,108,123,140,144,174,193,193,193,193,193,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21336
2,368,178,0,2,13,22,23,39,54,63,63,63,87,87,105,120,138,155,155,155,172,172,178,178,178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21356
5,496,302,0,4,25,25,29,44,58,69,69,69,92,92,105,125,143,163,166,166,180,180,191,192,201,222,227,243,252,262,268,273,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21359
17,368,161,0,3,20,21,21,42,42,45,46,57,57,75,94,109,126,141,144,145,161,161,161,161,161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21371
26,368,197,0,2,17,18,19,32,37,37,38,44,44,70,89,105,121,138,139,172,193,193,197,197,197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21406
1,368,215,0,1,22,24,24,40,42,42,47,57,57,79,99,113,130,146,164,164,194,194,208,212,215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21408
8,672,429,0,4,22,25,25,43,46,46,52,62,63,87,101,119,136,150,158,158,172,172,172,172,193,208,218,230,239,250,252,264,288,301,309,327,332,355,359,369,374,395,413,429,-1,-1,-1,-1,-1,-1,-1,-1,21415
11,608,457,0,3,21,21,25,40,59,66,66,66,86,86,101,122,140,156,161,161,178,178,195,200,207,224,240,263,280,291,332,340,362,374,386,392,412,428,452,457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21441
14,616,355,0,3,22,22,25,39,42,43,45,55,57,78,95,111,126,143,150,152,170,170,172,172,186,198,205,220,237,246,250,260,274,281,290,304,310,314,334,352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21444
24,368,210,0,4,22,24,24,51,65,75,75,75,93,93,113,128,142,165,167,167,179,179,194,201,210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21454
25,512,300,0,3,21,25,25,40,40,43,46,55,55,79,93,108,119,142,147,148,167,167,172,172,189,206,212,223,236,243,247,276,286,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21455
0,368,229,0,4,24,24,30,48,67,85,93,93,125,125,144,158,163,163,168,168,194,194,208,215,229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21460
3,800,561,0,10,22,27,27,44,46,46,52,60,62,78,92,110,126,139,145,146,164,164,167,167,185,191,203,213,219,233,244,248,256,282,296,303,311,323,347,373,390,415,433,442,446,464,485,500,518,529,545,561,21463
0,368,248,0,4,27,27,34,53,73,93,99,102,135,140,154,173,179,180,185,185,213,213,228,239,248,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21483
14,608,380,0,2,19,23,26,40,53,63,63,63,98,98,113,126,144,161,161,161,181,181,193,195,207,220,239,249,265,279,290,295,309,324,335,348,364,371,380,380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21497
20,800,957,0,22,41,41,41,60,77,91,91,91,125,125,141,157,173,191,191,191,213,213,253,288,301,317,360,390,415,447,467,486,543,565,591,611,639,661,679,708,728,751,772,787,806,820,856,877,902,921,933,957,21503
29,512,292,0,6,18,22,22,37,39,41,44,53,53,67,85,101,116,131,137,137,160,160,165,171,186,198,206,215,234,236,241,270,278,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21512
4,496,309,0,7,24,27,29,50,66,76,76,76,107,107,120,135,154,169,169,176,191,191,199,201,211,230,240,247,258,270,276,284,309,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21521
27,616,355,0,6,20,23,23,35,42,45,46,58,58,74,91,104,122,135,141,143,160,160,160,160,173,181,194,210,238,251,253,264,272,282,291,302,313,324,334,351,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21544
36,616,429,0,7,24,24,25,44,53,69,69,69,97,97,112,130,146,164,167,167,188,188,200,201,214,225,246,259,272,296,318,329,343,354,370,385,398,415,417,427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21553
48,608,359,0,4,19,24,25,40,40,43,47,56,56,71,87,104,119,139,143,145,159,159,162,162,172,190,214,234,245,257,269,280,286,297,304,317,322,330,343,359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21565
51,608,390,0,5,21,21,27,42,60,68,68,68,100,100,115,130,147,161,163,163,186,186,197,198,210,222,243,257,264,286,296,303,313,332,343,355,368,378,388,390,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21568
55,592,374,0,2,22,24,24,43,57,70,70,70,99,99,113,129,144,165,167,167,186,186,196,199,211,220,241,254,275,288,290,290,311,321,330,343,347,360,374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21572
58,616,362,0,6,19,22,22,40,40,40,48,58,58,74,92,108,125,142,146,146,165,165,167,167,184,194,205,219,247,259,261,272,286,292,302,313,322,334,342,362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21575
65,616,409,0,7,18,25,26,41,67,77,77,77,107,107,123,139,149,171,178,178,189,189,203,203,216,228,251,262,272,295,304,310,326,339,350,365,380,398,401,409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21582
82,368,160,0,4,22,22,22,36,41,42,46,55,55,72,86,99,120,137,138,140,158,158,160,160,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21599
14,592,364,0,3,23,23,23,44,58,68,68,68,89,89,105,121,137,154,154,154,173,173,185,186,199,213,232,248,268,280,283,294,304,313,320,333,342,353,364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21622
17,600,354,0,6,20,20,20,40,45,48,49,61,61,82,98,111,129,145,147,149,163,163,165,165,179,188,204,220,232,240,250,261,272,279,296,302,312,337,349,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21625
21,584,353,0,5,21,22,23,39,42,42,47,55,55,77,94,109,126,141,141,141,162,162,163,163,170,186,200,221,227,244,261,272,280,299,305,321,338,346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21629
