packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
1,416,108,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,8,16,46,59,74,85,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6377
0,488,127,9,26,27,27,27,27,27,27,27,27,30,36,36,36,36,36,36,36,36,43,66,78,82,97,99,120,127,127,127,127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6926
3,728,119,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,13,22,35,55,66,83,86,109,117,117,117,117,117,117,117,117,117,117,117,117,119,119,119,119,119,119,119,-1,-1,-1,-1,-1,6929
5,624,164,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,29,35,61,68,87,87,108,113,113,113,113,118,118,118,118,123,123,126,143,164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7581
5,624,148,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,23,33,64,65,83,89,108,119,119,121,121,121,121,121,121,126,126,126,134,148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7749
1,416,106,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,8,15,40,49,67,78,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8551
1,728,100,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,15,40,47,65,68,88,97,97,97,97,97,97,97,97,97,97,97,97,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,8907
5,624,142,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,22,36,62,69,85,87,100,116,116,116,116,121,121,121,121,128,128,128,130,142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8911
1,624,163,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,19,29,56,67,79,82,100,111,111,111,111,115,115,115,115,120,120,120,129,163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15055
0,536,135,8,25,28,28,28,28,28,28,28,28,30,38,38,38,38,38,38,38,38,44,70,76,79,95,95,117,135,135,135,135,135,135,135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15122
