packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
2,368,450,0,0,14,14,14,36,39,80,234,333,363,363,382,397,415,433,435,435,450,450,450,450,450,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23748
6,800,1484,0,18,39,39,44,61,129,296,324,352,352,378,394,410,427,440,440,440,462,462,525,585,627,684,731,789,814,847,857,872,892,926,949,979,1040,1048,1075,1097,1201,1225,1242,1255,1270,1300,1337,1387,1410,1441,1461,1484,23752
4,800,938,0,12,29,31,33,52,134,299,328,357,357,383,400,417,435,448,454,454,470,470,488,488,488,488,495,495,498,499,499,499,507,512,527,545,558,574,607,637,664,707,712,726,745,767,789,825,852,868,886,938,23767
2,368,459,0,0,16,20,20,36,39,84,235,334,371,374,391,406,423,438,442,444,459,459,459,459,459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23774
8,368,403,0,0,15,16,16,35,70,237,259,289,291,315,334,348,366,381,384,387,403,403,403,403,403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23780
0,368,439,0,3,22,22,24,41,42,86,241,341,379,379,394,406,410,410,413,413,430,430,439,439,439,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23812
3,800,937,0,23,34,34,34,57,60,103,256,355,393,394,408,424,439,453,461,461,479,479,487,487,524,556,575,604,631,645,699,738,754,778,791,802,803,810,813,822,824,830,841,849,854,871,887,893,904,910,910,937,23815
0,368,440,0,3,21,22,23,39,44,86,241,341,378,378,394,410,412,412,415,415,429,429,440,440,440,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23841
7,368,479,0,0,15,18,18,32,35,78,229,328,366,366,382,397,412,430,430,458,479,479,479,479,479,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23848
2,368,451,0,0,16,16,18,35,37,80,232,330,367,367,386,402,416,434,434,434,451,451,451,451,451,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23853
8,368,451,0,0,16,18,21,36,112,274,302,330,330,355,373,389,405,423,425,429,449,451,451,451,451,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23859
3,800,1105,0,9,27,29,29,45,49,92,244,344,380,381,398,414,429,447,447,452,469,469,480,481,516,548,563,594,619,638,662,696,723,741,764,803,852,884,907,920,932,956,967,980,1002,1009,1030,1045,1057,1077,1093,1105,23863
1,368,457,0,3,23,23,23,39,110,275,302,330,330,361,378,391,409,426,433,433,449,449,457,457,457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23871
2,368,470,0,0,13,15,16,27,32,75,229,327,383,383,400,416,428,452,455,456,470,470,470,470,470,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23922
5,368,429,0,0,14,17,18,35,110,275,303,333,333,347,363,378,393,411,413,413,429,429,429,429,429,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23925
11,368,482,0,0,15,15,15,34,34,80,230,328,382,382,398,415,431,449,449,463,482,482,482,482,482,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23940
7,368,466,0,0,16,17,18,34,36,81,234,334,382,382,398,412,429,441,448,452,466,466,466,466,466,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23959
2,368,466,0,0,14,15,15,33,36,80,231,330,379,379,397,413,428,447,448,449,466,466,466,466,466,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23963
7,368,478,0,0,14,14,14,32,35,78,228,326,372,372,388,400,421,437,438,461,478,478,478,478,478,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23977
9,368,402,0,0,15,17,18,32,83,250,275,304,304,318,332,348,365,384,384,388,402,402,402,402,402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23979
1,368,445,0,3,22,22,25,43,117,281,308,336,336,349,365,381,396,411,419,419,437,437,445,445,445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23981
3,800,1011,0,10,26,27,27,44,46,89,243,342,393,393,410,423,439,457,462,462,479,479,491,491,531,561,579,608,634,652,675,689,704,721,738,750,771,776,787,805,810,818,850,870,884,894,910,928,948,971,988,1011,23983
4,800,906,0,17,30,30,34,52,120,287,311,341,341,354,370,385,403,417,424,427,442,442,459,459,459,460,466,466,466,472,474,474,476,485,499,520,533,547,581,607,633,674,683,692,716,734,759,794,821,838,854,906,23984
1,368,445,0,3,24,25,26,46,117,280,307,334,334,344,363,378,396,415,419,419,436,436,445,445,445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23990
3,800,1330,0,19,34,34,34,55,64,107,259,358,409,409,428,443,460,475,483,484,500,500,514,514,530,561,579,613,634,670,699,724,751,771,791,809,826,849,876,891,925,957,991,1088,1112,1150,1174,1187,1217,1268,1296,1330,24002
8,368,427,0,0,11,11,11,33,109,274,302,329,329,343,357,374,391,406,411,411,427,427,427,427,427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24017
4,800,1063,0,18,32,34,34,53,125,292,318,346,346,359,373,388,406,424,428,428,444,445,460,460,460,463,475,482,493,517,540,574,606,632,650,671,710,735,755,767,799,824,857,877,888,912,927,951,964,1001,1041,1063,24025
3,800,1094,0,10,25,29,29,46,50,93,245,343,397,398,414,430,445,463,468,468,482,482,494,494,534,564,581,610,636,654,680,714,735,758,781,818,839,873,909,941,959,976,985,996,1010,1019,1028,1036,1048,1066,1082,1094,24033
8,368,392,0,0,16,16,20,36,73,239,266,295,295,306,322,338,353,370,372,373,392,392,392,392,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24038
0,368,453,0,3,22,22,22,42,45,87,243,343,396,396,411,427,428,428,428,428,444,444,453,453,453,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24060
1,368,433,0,3,22,22,24,42,108,272,297,326,326,338,354,369,386,403,408,408,425,425,433,433,433,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24061
6,368,513,0,0,16,18,18,33,33,77,228,326,379,379,396,413,431,444,450,478,513,513,513,513,513,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24066
7,368,475,0,0,15,16,16,36,38,82,234,333,386,386,403,417,438,454,457,460,475,475,475,475,475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24067
7,368,498,0,0,14,17,17,31,33,77,228,327,372,372,393,408,425,446,446,478,498,498,498,498,498,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24086
5,800,927,0,34,48,48,53,68,142,310,329,362,362,372,386,402,421,436,439,439,462,462,477,477,479,479,484,486,486,492,492,492,496,505,517,539,552,567,596,626,654,694,704,714,735,757,780,815,840,857,877,927,24094
