packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
3,800,549,4,15,28,28,28,28,28,28,28,28,91,279,306,306,306,306,306,306,306,306,324,324,339,357,372,388,393,393,412,412,412,412,421,435,453,470,486,486,489,489,489,498,498,504,504,507,507,518,539,549,685772
11,416,380,4,14,15,17,17,17,17,17,17,17,77,267,293,293,293,293,293,293,293,293,306,312,325,343,364,380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,685816
3,416,374,4,12,12,16,16,16,16,16,16,16,77,263,288,288,288,288,288,288,289,289,304,307,323,339,356,374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,685952
1,480,353,4,13,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,37,201,228,250,266,280,298,316,332,335,353,353,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686034
11,416,374,4,12,12,17,17,17,17,17,17,17,76,266,293,293,293,293,293,293,293,293,310,310,327,337,359,374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686068
9,416,310,4,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,32,200,230,242,262,278,294,310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686078
4,416,316,4,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,34,202,231,250,265,284,297,316,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686145
4,448,330,4,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,37,204,235,253,267,287,303,325,328,330,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686169
3,800,545,4,14,26,26,26,26,26,26,26,26,88,276,303,303,303,303,303,303,303,303,312,315,331,344,367,384,388,388,401,401,401,401,410,428,445,473,481,481,485,485,485,489,489,497,497,501,504,512,533,545,686288
10,432,384,4,15,20,21,21,21,21,21,21,21,82,270,294,294,294,294,294,294,294,294,308,311,324,342,363,380,384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686295
11,416,377,4,14,14,17,17,17,17,17,17,17,76,266,293,293,293,293,293,293,293,293,304,309,328,342,356,377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686488
7,576,467,4,11,27,27,27,27,27,27,27,27,86,277,303,303,303,303,303,303,303,303,319,319,337,351,366,387,387,387,399,399,399,399,411,426,443,467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686556
0,480,384,4,12,18,21,21,21,21,21,21,21,82,281,302,302,302,302,302,302,302,302,318,322,339,358,366,366,366,366,384,384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686621
7,432,398,4,18,22,22,22,22,22,22,22,22,85,274,300,300,300,300,300,300,300,300,315,317,332,342,367,386,398,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686664
8,576,487,4,17,29,29,29,29,29,29,29,29,91,279,304,304,304,304,304,304,304,304,321,323,336,354,369,393,396,396,413,413,413,413,422,448,463,487,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686665
7,416,376,4,16,16,18,18,18,18,18,18,18,80,269,295,295,295,295,295,295,295,295,311,311,328,342,360,376,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686712
6,416,371,4,16,17,18,18,18,18,18,18,18,79,267,294,294,294,294,294,294,294,294,307,307,324,339,356,371,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686735
0,480,382,4,16,21,21,21,21,21,21,21,21,84,283,308,308,308,308,308,308,308,308,322,322,336,353,356,356,360,360,382,382,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686921
5,416,316,4,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,36,206,235,253,270,285,300,316,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686950
8,432,388,4,17,24,24,24,24,24,24,24,24,85,274,299,299,299,299,299,299,299,299,316,316,334,350,367,381,388,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686953
6,416,375,4,15,15,18,18,18,18,18,18,18,80,269,294,294,294,294,294,294,294,294,309,309,328,341,360,375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686975
6,584,473,4,15,30,30,30,30,30,30,30,30,90,281,307,307,307,307,307,307,307,307,318,318,336,352,368,384,386,386,400,400,400,400,406,433,450,469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,687035
7,416,370,4,10,10,16,16,16,16,16,16,16,77,265,291,291,291,291,291,291,291,291,303,305,320,334,354,370,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,687036
3,800,535,4,13,23,23,23,23,23,23,23,23,88,276,303,303,303,303,303,303,303,303,314,314,332,348,366,381,383,383,406,406,406,406,412,426,432,454,462,462,464,468,469,473,473,477,480,482,484,492,512,535,687176
9,416,321,4,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,34,204,231,254,270,286,303,321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,687194
7,432,385,4,13,19,19,19,19,19,19,19,19,81,270,295,295,295,295,295,295,295,295,310,310,327,342,358,379,385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,687228
6,416,376,4,12,12,15,15,15,15,15,15,15,77,266,291,291,291,291,291,291,291,291,298,307,321,340,358,376,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,687251
1,480,344,4,12,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,36,197,227,246,265,282,298,310,325,326,344,344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,687318
4,448,328,4,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,37,204,235,255,273,291,305,321,326,328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,687321
1,480,363,4,15,18,18,18,18,18,18,18,18,21,21,21,21,21,21,21,21,38,204,230,251,268,284,297,323,340,340,363,363,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,687450
2,416,374,4,15,15,17,17,17,17,17,17,17,78,267,290,290,290,290,290,290,290,290,308,308,326,341,359,374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,687571
5,448,322,4,11,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,38,204,233,253,268,284,300,320,322,322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,687682
11,416,370,4,14,15,16,16,16,16,16,16,16,78,266,292,292,292,292,292,292,292,292,306,306,323,339,353,370,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,687712
3,416,369,4,14,17,18,18,18,18,18,18,18,79,267,292,292,292,292,292,292,292,292,305,305,322,338,353,369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,687884
7,584,467,4,18,35,35,35,35,35,35,35,35,94,285,310,310,310,310,310,310,310,310,325,325,341,359,374,388,393,393,410,410,410,410,416,431,439,459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,687936
7,416,370,4,16,16,16,16,16,16,16,16,16,79,268,294,294,294,294,294,294,294,294,311,311,330,346,360,370,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,688032
2,416,316,4,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,32,198,230,252,269,285,303,316,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,688039
11,416,376,4,13,13,15,15,15,15,15,15,15,74,265,291,291,291,291,291,291,291,291,303,303,328,343,359,376,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,688168
1,480,360,4,15,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,35,202,224,252,266,280,299,317,340,343,360,360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,688170
0,480,381,4,14,19,20,20,20,20,20,20,20,82,281,305,305,305,305,305,305,305,305,321,321,337,353,358,358,361,362,381,381,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,688181
9,416,325,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,35,207,235,262,276,295,312,325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,688202
5,448,330,4,11,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,39,201,236,253,272,291,309,326,327,330,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,688318
0,480,374,4,11,16,18,18,18,18,18,18,18,82,280,305,305,305,305,305,305,305,305,320,320,333,347,356,356,356,356,374,374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,688325
6,416,377,4,12,12,12,12,12,12,12,12,12,75,265,291,291,291,291,291,291,291,291,305,312,329,344,361,377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,688403
4,448,329,4,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,37,199,235,252,272,288,293,323,327,329,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,688449
2,800,555,4,13,24,24,24,24,24,24,24,24,87,276,300,300,300,300,300,300,300,300,317,321,339,354,367,380,390,390,407,407,407,407,412,443,463,483,492,492,497,498,499,502,502,507,511,511,514,520,542,555,688639
5,448,320,4,16,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,37,207,235,255,268,283,302,316,319,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,688654
0,480,396,4,18,22,24,24,24,24,24,24,24,85,284,305,305,305,305,305,305,305,305,324,333,351,366,371,371,372,372,396,396,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,688769
4,416,309,4,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,32,199,229,249,259,277,294,309,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,688797
8,584,500,4,11,30,30,30,30,30,30,30,30,91,280,304,304,304,304,304,304,304,304,328,328,345,362,378,394,395,395,417,417,417,417,424,457,474,492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,688825
