size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
250,800,3,26,38,38,38,38,38,38,38,38,40,40,40,40,40,40,40,40,40,40,67,68,81,100,118,134,139,145,167,167,167,167,173,192,200,220,230,230,230,230,232,232,232,232,237,240,240,240,245,599377
140,448,5,25,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,43,43,43,67,83,95,114,131,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599379
178,480,1,25,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,45,45,45,54,77,89,110,130,150,155,178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599399
128,432,8,26,33,33,33,33,33,33,33,33,36,36,36,36,36,36,36,36,36,36,51,51,71,88,105,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599406
122,416,9,21,21,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,41,41,41,56,69,86,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599431
193,576,7,25,32,32,32,32,32,32,32,32,41,41,41,41,41,41,41,41,41,41,56,60,78,93,111,124,132,133,153,153,153,153,156,169,179,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599453
123,432,7,24,30,30,30,30,30,30,30,30,35,35,35,35,35,35,35,35,35,35,51,52,65,83,99,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599645
122,416,5,24,24,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27,39,39,39,57,73,89,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599667
109,416,11,24,24,24,24,24,24,24,24,24,31,31,31,31,31,31,31,31,31,31,44,44,63,79,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599697
149,480,1,24,26,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,43,43,43,61,75,92,108,124,132,135,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599711
112,416,6,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,45,45,64,79,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599716
112,416,11,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,45,46,64,78,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599721
202,584,7,23,38,38,38,38,38,38,38,38,43,43,43,43,43,43,43,43,43,43,55,55,78,95,109,126,126,136,155,155,155,155,159,171,184,200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599741
119,416,9,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,39,39,39,54,76,92,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599767
115,416,11,23,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,49,51,68,82,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599769
194,584,7,24,37,37,37,37,37,37,37,37,43,43,43,43,43,43,43,43,43,43,58,60,75,92,109,124,129,135,147,147,147,147,154,173,178,190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599813
108,416,11,18,18,25,25,25,25,25,25,25,30,30,30,30,30,30,30,30,30,30,46,46,63,78,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599817
166,480,1,21,26,28,28,28,28,28,28,28,30,30,30,30,30,30,30,30,43,43,43,61,73,92,108,127,141,149,166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599855
204,584,7,26,40,40,40,40,40,40,40,40,42,42,42,42,42,42,42,42,42,42,62,62,78,97,114,127,130,139,152,152,152,152,156,174,182,203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599885
245,800,4,23,32,32,32,32,32,32,32,32,41,41,41,41,41,41,41,41,41,41,57,57,71,87,103,121,123,123,155,155,155,155,157,175,188,205,217,217,217,217,221,221,221,221,223,223,223,223,233,599930
110,416,8,24,24,24,24,24,24,24,24,24,31,31,31,31,31,31,31,31,31,31,48,48,64,77,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599934
123,416,9,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,41,41,41,59,77,93,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599935
150,480,1,25,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,45,45,45,59,79,93,112,126,129,139,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599951
120,416,11,22,22,28,28,28,28,28,28,28,34,34,34,34,34,34,34,34,34,34,54,55,71,88,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,599985
