packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
7,416,106,5,23,23,23,23,23,23,23,23,23,26,26,26,26,26,26,26,26,26,26,41,41,56,74,93,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,462617
6,416,111,6,24,24,24,24,24,24,24,24,24,28,28,28,28,28,28,28,28,28,28,45,46,59,73,96,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,462640
7,432,134,4,23,33,33,33,33,33,33,33,33,35,35,35,35,35,35,35,35,35,35,55,60,72,95,109,126,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,462653
3,800,273,6,22,33,33,33,33,33,33,33,33,39,39,39,39,39,39,39,39,39,39,50,50,67,86,107,127,137,137,163,163,163,163,170,188,192,204,222,222,222,222,226,229,230,237,238,243,243,243,267,273,462709
0,480,154,1,15,21,23,23,23,23,23,23,23,23,30,30,30,30,30,30,30,37,37,38,49,65,82,100,117,122,136,153,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,462754
2,416,105,5,20,20,20,20,20,20,20,20,20,27,27,27,27,27,27,27,27,28,28,40,40,57,72,89,105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,462804
3,800,270,6,23,32,32,32,32,32,32,32,32,36,36,36,36,36,36,36,36,38,38,52,52,71,89,104,122,129,129,155,155,155,155,161,178,185,205,220,220,221,221,224,226,228,233,238,239,239,239,264,270,462865
1,480,140,3,21,21,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,36,36,36,47,65,80,95,107,121,121,139,140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,462935
5,416,116,5,18,18,25,25,25,25,25,25,25,28,28,28,28,28,28,28,28,30,30,30,46,64,79,96,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,463131
2,800,289,5,23,32,32,32,32,32,32,32,32,39,39,39,39,39,39,39,39,39,39,52,52,75,91,109,131,137,137,155,156,156,156,162,176,184,202,215,215,215,215,219,221,221,229,231,235,237,237,255,289,463176
