packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
0,480,94,4,14,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,36,43,58,75,79,79,79,79,94,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367097
9,416,116,4,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,22,22,27,48,65,80,100,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367118
6,416,101,4,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,35,35,52,67,82,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367127
3,800,269,4,15,32,33,33,33,33,33,33,33,37,37,37,37,37,37,37,37,37,37,55,55,72,85,105,126,126,126,139,139,139,139,149,162,172,194,204,204,211,211,211,216,218,224,235,237,237,247,266,269,367184
10,800,433,4,13,44,44,44,44,44,44,44,44,48,48,48,48,48,48,48,48,48,48,62,65,80,98,111,133,134,134,156,156,156,156,166,179,188,198,223,223,230,265,282,292,318,322,333,355,373,409,424,433,367203
2,416,104,4,14,15,16,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,42,42,58,75,88,104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367279
8,800,440,4,17,60,60,60,60,60,60,60,60,63,63,63,63,63,63,63,63,63,63,82,82,99,113,129,148,152,152,166,166,166,166,175,187,201,221,235,236,247,277,293,306,331,335,356,382,386,409,425,440,367333
8,800,460,4,10,74,74,74,74,74,74,74,74,77,77,77,77,77,77,77,77,77,77,87,91,108,122,142,158,163,163,180,180,180,180,191,207,213,234,252,252,263,295,310,322,347,350,362,396,423,434,446,460,367393
11,416,99,4,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,28,28,51,67,83,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367588
1,480,158,4,14,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,24,24,32,50,68,84,100,109,137,140,158,158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367638
