packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
1,368,174,0,3,18,20,20,32,42,43,49,49,54,68,84,97,116,131,146,146,162,162,173,173,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20904
4,368,152,0,0,18,18,20,35,49,50,50,50,68,68,81,101,118,131,137,137,152,152,152,152,152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20907
13,608,356,0,8,26,26,30,46,63,63,63,63,82,82,97,114,128,148,151,152,166,166,176,180,180,186,196,210,231,254,264,268,284,295,302,316,326,342,350,356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20916
23,368,155,0,0,18,18,18,39,42,42,51,51,54,71,85,102,118,132,140,142,155,155,155,155,155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20926
13,368,175,0,5,19,20,21,41,51,51,52,52,72,72,88,104,120,138,141,143,159,159,165,165,175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20943
2,368,149,0,0,13,16,17,33,46,47,47,47,61,61,80,95,112,123,130,131,149,149,149,149,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20955
49,608,328,0,10,24,27,28,46,56,56,56,56,74,75,86,106,120,138,142,142,159,159,168,172,172,177,183,199,213,227,235,235,257,270,275,290,300,315,324,328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21002
60,616,334,0,12,28,28,30,43,49,53,58,58,64,79,94,108,126,144,145,145,157,157,164,164,174,189,211,221,250,257,261,271,277,280,285,294,305,309,320,334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21013
82,368,155,0,0,15,15,15,33,38,41,49,49,53,69,84,94,116,135,140,140,155,155,155,155,155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21035
86,368,183,0,5,21,24,24,40,51,51,51,55,72,72,86,102,118,137,142,143,159,159,168,183,183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21039
1,368,180,0,2,16,19,19,36,44,46,55,56,60,74,91,108,124,141,154,154,170,170,180,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21046
7,368,157,0,0,14,19,19,35,54,54,57,57,72,72,89,103,120,138,141,141,157,157,157,157,157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21052
18,472,211,0,7,23,25,26,43,49,50,57,57,61,80,93,111,128,142,142,147,163,163,163,168,178,180,184,184,195,195,211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21063
10,624,341,0,11,24,29,29,45,62,62,62,62,84,92,107,122,139,155,157,158,175,175,184,187,189,192,202,214,217,228,245,256,261,278,287,291,304,310,325,335,341,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21080
12,624,369,0,10,26,28,29,47,56,57,57,58,79,84,100,113,133,150,152,154,168,168,175,175,182,187,192,196,226,254,275,283,292,309,317,323,335,335,354,369,369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21082
39,584,382,0,8,19,19,19,40,43,43,53,57,59,85,99,117,132,145,145,145,169,169,174,174,194,207,237,257,266,281,298,305,317,326,343,354,369,373,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21109
