size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
906,480,579,16,21,77,77,131,168,218,291,298,324,374,391,449,450,480,554,585,638,649,688,694,697,725,751,778,806,854,903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14042
796,368,608,81,89,128,223,256,263,268,359,391,442,446,474,474,532,580,602,627,636,667,694,721,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14071
790,368,612,111,159,161,211,238,251,301,304,304,351,429,429,488,562,588,609,638,704,729,782,786,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14075
1477,736,659,42,90,96,121,130,158,166,194,248,275,325,399,420,426,439,491,539,593,620,647,677,725,725,757,805,832,860,888,916,941,967,1089,1138,1141,1212,1212,1218,1224,1276,1304,1332,1404,1428,1434,-1,-1,-1,-1,14122
882,480,687,64,88,164,169,180,203,207,233,259,265,313,338,400,447,450,480,552,583,629,635,684,733,760,770,798,800,805,855,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14150
1040,480,771,110,147,197,201,230,256,323,349,383,458,532,536,585,585,592,616,644,696,727,731,757,806,809,820,869,940,1014,1014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14234
1138,544,843,64,116,142,197,204,234,280,309,359,364,408,470,496,542,597,647,648,672,703,731,829,873,930,957,969,998,1006,1011,1058,1065,1091,1138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14306
700,368,848,20,48,76,106,133,185,186,260,262,290,322,330,359,372,424,474,510,560,600,623,674,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14311
938,480,1121,40,92,117,192,200,257,269,339,375,405,433,433,433,490,493,523,532,564,594,621,647,696,701,727,757,759,809,890,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14584
744,368,1180,64,91,118,161,166,193,247,312,337,339,368,396,460,507,532,561,588,615,616,667,712,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14643
699,368,1326,45,70,98,123,164,237,263,266,270,300,326,386,414,437,440,472,475,527,527,578,639,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14789
1089,480,1357,41,75,105,137,191,248,301,310,316,316,370,398,428,458,509,581,682,711,763,792,864,864,892,914,989,991,1051,1083,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14820
1297,480,1406,86,87,161,190,220,293,297,320,353,426,456,484,513,539,564,607,707,758,830,930,955,1033,1129,1134,1163,1168,1221,1249,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14869
1033,480,1423,80,107,112,120,154,181,208,217,274,325,330,381,383,438,509,538,660,691,744,745,801,803,857,911,937,964,977,1029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14886
965,368,1487,16,21,95,146,217,267,354,452,478,531,604,624,632,632,695,721,752,779,828,853,917,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14950
1180,480,1596,73,100,108,164,196,249,301,326,428,452,482,507,579,617,664,714,749,801,807,814,842,865,896,939,1011,1040,1094,1146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15059
