packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
8,368,206,0,1,20,21,22,39,58,73,83,96,102,115,130,148,162,176,180,189,206,206,206,206,206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201112
4,368,229,0,4,25,25,29,49,66,81,91,104,109,135,151,165,185,203,203,211,225,225,225,229,229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201154
7,368,250,0,1,19,19,19,40,47,64,79,86,117,120,137,152,169,189,194,231,246,246,246,246,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201157
5,800,675,0,12,33,35,36,49,72,85,94,111,111,142,160,173,190,211,220,225,247,247,274,302,333,350,366,374,389,404,417,430,440,453,466,478,491,506,514,526,538,552,563,572,579,591,605,618,634,646,661,675,201165
9,368,236,0,3,25,26,28,48,66,82,92,105,110,138,155,170,188,207,210,215,236,236,236,236,236,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201169
1,368,268,0,7,25,25,26,43,60,76,87,98,104,122,139,154,171,191,204,209,223,223,242,254,268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201595
3,800,780,0,16,31,31,31,46,57,72,87,101,113,118,135,152,169,182,190,199,216,216,256,275,301,312,321,350,370,383,398,421,435,448,461,484,505,522,537,553,565,582,604,621,646,666,690,714,732,747,763,780,201606
7,368,239,0,1,13,20,20,38,51,67,81,92,107,111,130,145,162,181,183,217,239,239,239,239,239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201610
2,368,210,0,3,20,21,21,36,46,64,77,91,111,116,133,147,166,184,187,197,210,210,210,210,210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201646
3,800,797,0,15,28,33,33,47,56,72,88,101,114,120,136,152,165,184,190,205,224,224,261,279,304,317,332,351,371,389,409,425,444,460,474,493,513,527,554,575,588,605,621,637,662,682,698,717,740,757,778,797,201656
2,368,207,0,3,16,19,19,35,44,62,75,88,103,108,125,139,158,173,176,187,205,205,205,205,207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201675
5,368,220,0,4,19,21,24,37,53,67,80,91,97,117,135,152,172,188,193,201,220,220,220,220,220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201678
3,800,766,0,17,32,36,36,51,64,80,94,107,130,132,147,161,178,197,206,217,236,236,272,290,314,330,342,364,380,399,421,432,455,471,495,508,520,539,554,576,589,609,624,630,647,669,681,701,719,737,751,766,201685
