size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
241,368,2,5,19,19,25,43,50,72,92,111,144,148,165,180,192,212,217,225,238,238,241,241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39449
429,528,6,5,22,22,25,39,53,73,79,97,98,131,145,164,180,197,201,205,224,224,242,257,278,287,300,319,335,350,367,382,399,415,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39453
247,368,21,6,20,20,25,44,49,75,90,110,146,148,165,178,194,213,219,229,243,243,246,247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39468
478,528,5,8,26,26,31,45,54,78,95,113,144,144,162,179,196,213,216,224,240,240,258,293,311,328,346,370,388,403,423,438,453,466,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39475
590,648,11,7,24,24,27,45,54,76,93,112,144,145,163,179,195,209,214,220,237,237,259,281,304,320,335,356,371,387,401,414,431,448,468,480,497,516,531,548,561,583,-1,-1,-1,-1,-1,-1,-1,-1,-1,39481
309,368,22,8,27,27,30,50,58,81,99,117,146,151,167,183,200,214,214,224,247,247,269,290,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39492
238,368,25,4,21,23,27,43,54,76,94,114,141,145,162,177,194,205,211,218,236,236,238,238,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39495
232,368,23,5,23,23,27,39,50,72,92,110,135,139,155,170,187,204,206,214,227,227,228,228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39521
248,368,4,6,23,23,28,47,56,79,95,114,150,150,166,186,200,217,219,226,243,243,244,244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39528
768,800,15,26,46,46,51,66,76,98,116,134,168,168,188,205,218,235,235,246,261,261,285,313,335,355,371,384,403,418,430,445,458,477,491,507,523,534,552,563,580,599,619,632,646,672,690,709,723,734,752,39539
