size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
91,416,1,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,18,39,42,60,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6616
119,488,0,32,35,35,35,35,35,35,35,35,38,41,41,41,41,41,41,41,41,42,60,64,70,85,90,103,105,105,112,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7165
162,728,3,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,33,45,47,63,71,89,94,109,123,123,126,132,140,144,151,153,153,157,157,162,162,162,162,162,162,162,162,-1,-1,-1,-1,7168
248,624,5,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,41,46,58,70,87,92,108,129,143,144,149,149,161,164,171,171,179,181,205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7820
151,496,4,36,37,37,37,37,37,37,37,37,50,53,53,53,53,53,53,53,56,56,72,72,79,97,100,117,121,122,127,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7987
186,536,0,43,45,45,45,45,45,45,45,45,48,49,49,49,49,49,49,49,49,52,79,79,87,105,108,122,132,149,158,163,173,181,185,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8789
137,728,1,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,13,18,41,49,64,66,85,99,100,103,110,116,122,126,129,129,136,137,137,137,137,137,137,137,137,137,-1,-1,-1,-1,9146
252,624,5,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,19,60,63,86,97,113,114,132,156,170,171,179,183,190,191,199,199,206,208,240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9150
162,496,0,47,49,49,49,49,49,49,49,49,61,65,65,65,65,65,65,65,65,65,83,89,94,109,111,129,133,133,138,142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15293
248,624,7,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,18,61,62,80,93,110,112,129,152,163,168,175,181,187,187,194,194,204,205,217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15306
194,544,5,4,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,34,65,68,93,99,117,120,141,149,153,158,164,172,184,188,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16694
164,488,0,36,40,40,40,40,40,40,40,40,56,78,78,78,78,78,78,78,78,78,101,108,109,121,131,148,148,148,156,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16849
174,496,4,50,55,55,55,55,55,55,55,55,65,71,71,71,71,71,71,71,72,72,96,100,104,123,125,141,145,145,151,157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16991
