packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
1,416,101,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,12,29,41,58,77,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6377
0,488,117,6,28,32,32,32,32,32,32,32,32,34,34,34,34,34,34,34,34,34,36,49,61,64,79,80,97,101,101,107,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6926
3,728,159,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,30,34,57,62,79,82,99,108,117,121,127,141,142,142,147,149,159,159,159,159,159,159,159,159,159,159,-1,-1,-1,-1,-1,6929
5,624,202,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,17,34,38,46,53,72,77,94,107,119,125,134,140,142,142,153,153,156,161,174,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7581
5,624,205,0,0,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,12,40,48,67,73,88,96,115,126,138,143,155,159,161,163,173,173,173,179,187,205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7749
1,416,101,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,12,41,49,62,83,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8551
1,728,151,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,15,20,43,52,68,73,87,98,108,109,121,127,133,134,136,139,149,151,151,151,151,151,151,151,151,151,-1,-1,-1,-1,-1,8907
5,624,218,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,37,48,73,79,96,101,122,133,141,147,161,165,169,171,179,179,181,183,194,218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8911
1,624,203,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,15,42,50,69,74,88,97,112,120,131,135,145,153,156,156,161,161,169,172,178,203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15055
0,536,163,5,35,39,39,39,39,39,39,39,39,43,44,44,44,44,44,44,44,44,44,60,64,69,84,85,110,118,127,137,144,151,163,163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15122
0,488,131,8,34,39,39,39,39,39,39,39,39,41,41,41,41,41,41,41,41,41,41,63,66,69,87,89,109,112,112,118,124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16456
1,728,183,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,16,30,39,61,64,83,85,114,129,139,141,151,161,162,165,166,168,178,178,182,183,183,183,183,183,183,183,-1,-1,-1,-1,-1,16611
