size_compress,headers_length,packets_rank,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,idx_unique
244,368,1,7,23,25,25,39,47,51,62,73,77,92,112,126,147,164,178,181,196,196,220,232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20904
193,368,4,6,22,22,26,40,57,75,75,75,97,103,119,134,145,167,170,174,192,192,192,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20907
500,608,13,18,34,34,39,54,70,85,85,85,112,112,130,148,162,176,181,187,199,199,220,244,260,276,289,311,324,345,365,379,398,415,431,443,461,474,490,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20916
192,368,23,7,25,25,26,42,48,50,60,69,75,93,112,126,145,163,175,176,189,189,189,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20926
253,368,13,5,22,22,27,45,58,77,80,80,103,105,121,138,154,171,172,178,194,194,216,238,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20943
192,368,2,5,21,23,27,43,59,77,81,81,98,101,120,137,154,167,169,174,190,190,191,191,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20955
493,608,49,15,32,32,36,55,69,86,90,90,110,113,131,146,164,180,180,190,203,203,224,244,262,275,291,308,322,339,363,373,392,408,425,438,454,467,484,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21002
447,616,60,16,34,34,35,50,54,54,68,80,80,93,118,134,150,164,165,165,182,182,188,196,220,234,247,267,281,306,318,332,347,356,366,382,393,413,427,441,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21013
175,368,82,5,22,22,23,39,44,44,56,65,70,88,106,121,136,152,154,159,173,173,175,175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21035
239,368,86,7,25,25,29,46,63,81,83,85,103,105,124,137,157,170,170,177,190,190,211,223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21039
240,368,1,9,24,24,24,43,49,49,59,73,75,95,112,127,145,157,170,174,189,189,213,227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21046
188,368,7,5,19,19,25,40,55,71,71,71,92,92,113,126,145,163,163,171,185,185,185,185,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21052
335,472,18,12,31,31,33,49,56,56,68,79,82,102,118,134,150,170,171,171,186,186,192,202,230,243,265,281,298,312,327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21063
526,624,10,16,37,37,39,56,71,84,90,90,108,113,128,145,158,170,170,181,198,198,217,235,256,271,286,304,317,342,362,387,399,416,435,452,462,480,495,511,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21080
517,624,12,17,37,37,42,57,72,87,94,95,109,113,129,144,160,178,179,184,199,199,219,238,256,272,285,305,316,333,353,378,394,407,428,442,456,467,486,504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21082
443,584,39,18,31,31,31,50,59,62,71,83,86,112,127,141,158,172,174,175,195,195,201,211,232,241,258,279,290,304,323,338,351,368,381,403,422,436,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21109
526,624,42,17,35,35,40,54,68,90,90,93,110,111,127,143,156,174,176,182,196,196,215,238,255,270,282,298,314,332,365,388,401,414,436,450,464,478,493,512,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21112
496,608,61,17,38,38,43,55,73,92,95,95,110,114,130,145,156,178,178,185,198,198,219,240,255,271,286,307,326,342,364,376,393,410,427,440,456,470,485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21131
231,368,84,8,24,25,30,46,57,78,80,81,98,100,114,132,146,159,159,159,185,185,202,213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21154
199,368,21,5,21,22,23,42,60,78,80,82,110,110,129,145,162,174,178,184,198,198,199,199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21181
194,368,2,5,21,21,27,44,58,77,80,80,103,105,124,139,156,172,173,179,194,194,194,194,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21186
197,368,4,5,23,23,28,45,59,78,79,81,102,106,123,137,155,171,173,180,195,195,195,195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21188
391,496,7,9,32,33,35,53,65,86,86,91,111,114,132,147,164,180,180,189,204,204,225,245,261,280,292,309,327,339,353,374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21191
