packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
3,800,477,4,15,35,35,35,35,35,35,35,35,95,209,226,226,226,226,226,226,226,226,241,241,256,274,288,305,308,310,328,328,328,328,334,353,359,380,386,386,386,386,386,399,406,406,412,430,442,452,462,477,685772
11,416,287,4,18,18,20,20,20,20,20,20,20,80,192,205,205,205,205,205,205,205,205,223,223,236,255,269,287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,685816
3,416,286,4,14,14,14,14,14,14,14,14,14,76,187,206,206,206,206,206,206,206,206,222,222,238,255,270,286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,685952
1,480,570,4,15,20,20,20,20,20,20,20,20,23,23,23,23,23,23,23,23,108,351,447,461,479,493,512,522,543,553,570,570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686034
11,416,289,4,17,17,17,17,17,17,17,17,17,79,192,207,207,207,207,207,207,207,207,221,221,241,255,274,289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686068
9,416,523,4,15,15,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,103,347,442,458,475,493,507,523,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686078
4,416,531,4,16,16,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,107,351,444,466,481,497,508,531,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686145
4,448,541,4,20,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,110,355,450,469,484,502,518,538,538,541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686169
3,800,475,4,16,32,32,32,32,32,32,32,32,93,202,217,217,217,217,217,217,217,217,235,235,253,270,286,303,305,309,326,326,326,326,331,349,359,380,388,388,388,388,392,399,405,408,414,431,440,454,462,475,686288
10,432,306,4,16,23,23,23,23,23,23,23,23,85,197,210,210,210,210,210,210,210,210,230,230,246,263,278,296,306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,686295
