size_compress,headers_length,packets_rank,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
111,432,1,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,24,36,60,68,82,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6377
139,504,0,16,24,40,44,44,44,44,44,44,44,44,47,52,52,52,52,52,52,52,54,57,75,85,89,106,108,129,133,133,135,138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6926
156,744,3,16,16,16,16,16,16,16,16,16,16,16,21,22,22,22,22,22,22,22,33,46,61,82,89,106,108,128,138,139,142,144,147,149,149,151,151,151,151,151,156,156,156,156,156,156,156,-1,-1,-1,-1,6929
203,640,5,16,16,16,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,29,45,57,79,86,105,106,127,139,141,148,152,156,158,161,161,171,171,171,191,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7581
197,640,5,16,16,16,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,45,61,74,92,100,117,122,137,148,150,158,162,165,168,172,175,183,183,183,189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7749
106,432,1,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,24,36,53,58,76,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8551
114,744,1,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,21,24,36,48,55,70,71,93,99,102,103,106,107,108,108,108,112,112,112,113,114,114,114,114,114,114,114,-1,-1,-1,-1,8907
197,640,5,16,16,16,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,45,61,74,91,99,115,115,133,145,150,157,159,165,166,167,174,180,180,183,187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8911
178,640,1,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,34,48,62,77,83,98,102,117,129,130,130,130,134,135,140,142,149,149,151,159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15055
141,552,0,16,26,41,45,45,45,45,45,45,45,45,49,52,54,54,54,54,54,54,58,59,77,83,87,103,104,124,135,135,135,138,141,141,141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15122
156,504,0,16,22,53,57,57,57,57,57,57,57,57,60,63,63,63,63,63,63,63,70,70,94,100,105,122,124,146,150,150,153,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16456
144,744,1,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,33,45,56,74,79,96,99,122,126,126,132,132,135,136,138,138,138,138,138,141,143,143,143,143,144,144,144,-1,-1,-1,-1,16611
219,640,5,16,16,16,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,45,61,74,91,102,121,124,140,153,154,160,164,168,171,174,177,183,183,188,204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16753
129,744,1,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,33,45,56,74,76,92,95,107,114,114,117,119,121,125,125,126,127,127,127,128,129,129,129,129,129,129,129,-1,-1,-1,-1,18499
145,560,1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,26,48,56,75,81,100,105,126,129,129,135,137,140,140,144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18809
170,560,3,16,16,16,20,20,20,20,20,20,20,20,21,23,23,23,23,23,23,23,30,57,70,90,94,109,113,132,139,140,149,152,156,161,166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19221
150,504,6,16,27,44,49,49,49,49,49,49,49,49,61,63,63,63,63,63,63,63,65,68,91,96,102,119,121,139,142,142,146,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19224
140,504,4,16,22,37,42,42,42,42,42,42,42,42,49,57,57,57,57,57,57,57,60,64,80,90,95,111,111,129,134,134,136,140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21110
167,520,8,16,29,43,49,49,49,49,49,49,49,49,59,59,59,59,59,59,59,59,59,71,91,101,103,120,122,142,147,147,151,156,163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21114
151,504,2,16,26,46,51,51,51,51,51,51,51,51,64,64,64,64,64,64,64,64,70,73,90,98,102,119,123,140,145,145,147,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21330
179,560,3,16,16,16,20,20,20,20,20,20,20,20,21,23,23,23,23,23,23,23,40,63,76,93,97,114,119,141,149,149,158,158,158,172,175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23415
219,640,5,16,16,16,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,45,61,74,88,97,113,117,137,148,149,157,160,163,166,170,171,182,182,182,200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23913
194,640,3,16,16,16,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,29,45,59,79,88,104,107,121,137,140,144,148,154,155,158,163,169,169,172,186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25117
153,520,2,16,21,37,39,39,39,39,39,39,39,39,48,60,60,60,60,60,60,60,64,64,85,87,94,110,113,128,133,133,135,143,148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25816
99,432,1,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,24,36,54,61,77,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25821
147,520,0,16,27,42,45,45,45,45,45,45,45,45,59,62,62,62,62,62,62,62,69,71,93,98,101,118,118,137,140,140,140,145,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26464
209,640,3,16,16,16,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,45,61,74,88,99,119,123,138,152,153,159,162,169,170,171,171,179,179,185,190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27465
105,432,3,16,16,16,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,28,31,41,58,62,80,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29179
152,512,0,16,25,38,43,43,43,43,43,43,43,43,55,68,68,68,68,68,68,68,72,74,89,97,100,117,121,137,142,142,143,148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30068
