size_compress,headers_length,packets_rank,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
512,512,0,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,257,273,289,305,321,337,353,369,385,401,417,433,449,465,481,497,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34336
504,504,0,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,257,273,289,305,321,337,353,369,385,401,417,433,449,465,481,497,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34362
496,496,0,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,257,273,289,305,321,337,353,369,385,401,417,433,449,465,481,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34368
696,816,3,16,16,23,38,38,63,79,83,111,180,262,275,308,322,339,353,376,376,377,377,377,391,407,425,440,451,459,471,481,486,492,507,511,525,529,541,541,548,561,576,590,603,619,631,636,646,649,657,670,684,34415
816,816,1,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,257,273,289,305,321,337,353,369,385,401,417,433,449,465,481,497,513,529,545,561,577,593,609,625,641,657,673,689,705,721,737,753,769,785,801,34441
470,608,4,16,16,19,37,37,47,65,74,116,148,187,199,220,239,252,271,284,284,284,284,284,295,311,325,333,343,348,370,381,385,405,415,425,439,454,463,469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34510
685,816,9,16,16,23,40,40,61,72,78,103,171,224,243,268,276,293,308,334,334,334,345,345,351,376,384,400,409,420,436,442,453,466,478,485,502,515,526,530,534,551,569,585,592,610,621,632,642,644,652,659,669,34549
657,816,7,16,16,24,37,37,58,74,79,106,173,225,244,268,271,296,309,322,322,326,326,326,333,353,362,371,384,396,412,420,426,435,447,453,456,461,478,495,512,535,551,552,561,567,602,607,615,624,624,637,643,34565
482,608,10,16,16,22,37,37,48,67,77,116,153,189,208,229,249,264,281,294,294,294,294,294,304,321,335,343,354,363,379,390,402,413,424,436,450,462,474,479,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34782
476,608,2,16,16,19,39,39,50,63,74,117,149,187,205,227,243,259,280,294,294,294,294,294,304,319,333,342,346,361,376,390,400,413,424,433,448,462,473,476,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34834
592,680,2,16,16,27,45,45,55,71,81,124,157,194,213,234,260,274,291,307,307,307,307,307,312,330,345,355,377,388,403,414,437,442,454,466,479,500,526,537,553,570,583,585,590,-1,-1,-1,-1,-1,-1,-1,-1,34918
816,816,1,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,257,273,289,305,321,337,353,369,385,401,417,433,449,465,481,497,513,529,545,561,577,593,609,625,641,657,673,689,705,721,737,753,769,785,801,34931
553,664,2,16,16,31,46,46,59,75,84,127,161,196,217,239,263,278,295,308,308,309,309,309,312,337,354,359,377,385,403,416,431,448,460,473,481,497,516,528,535,544,547,553,-1,-1,-1,-1,-1,-1,-1,-1,-1,34960
816,816,1,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,257,273,289,305,321,337,353,369,385,401,417,433,449,465,481,497,513,529,545,561,577,593,609,625,641,657,673,689,705,721,737,753,769,785,801,34989
816,816,1,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,257,273,289,305,321,337,353,369,385,401,417,433,449,465,481,497,513,529,545,561,577,593,609,625,641,657,673,689,705,721,737,753,769,785,801,35031
