size_compress,headers_length,packets_rank,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
196,384,8,16,16,17,33,34,40,54,64,69,71,77,77,96,114,130,144,156,160,174,190,190,193,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201112
195,384,4,16,16,16,30,30,41,59,67,72,74,82,85,101,121,138,155,167,167,176,187,187,187,187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201154
220,384,7,16,16,17,32,32,38,54,59,70,80,86,104,109,126,142,155,180,181,202,215,215,216,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201157
390,816,5,16,16,21,39,40,46,63,71,76,76,86,86,113,128,145,163,180,183,188,203,203,224,225,233,236,240,245,246,253,253,253,265,274,281,286,286,294,297,302,306,313,318,322,329,329,342,347,357,366,380,201165
214,384,9,16,16,16,34,34,41,58,70,70,76,84,88,110,121,141,158,172,172,190,209,209,211,213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201169
199,384,1,16,16,20,34,34,40,56,66,66,72,80,82,98,111,130,146,162,163,167,186,186,186,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201595
630,816,3,16,16,32,44,49,54,69,70,79,87,95,112,112,131,149,165,180,182,182,204,204,228,233,244,255,271,286,293,306,319,330,344,360,378,393,414,424,442,463,472,478,499,519,534,547,563,572,585,605,617,201606
217,384,7,16,16,17,32,32,36,56,61,68,77,83,99,106,122,139,153,171,172,199,214,214,215,217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201610
190,384,2,16,16,17,32,33,38,53,56,63,71,79,98,101,117,133,150,163,163,170,185,185,185,188,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201646
648,816,3,16,16,29,44,47,53,67,69,77,86,93,114,115,131,148,160,180,184,188,203,203,229,234,248,257,272,287,294,310,322,332,345,364,380,394,411,429,449,466,484,492,501,519,541,552,565,595,609,626,640,201656
193,384,2,16,16,17,31,34,37,54,58,67,75,80,102,105,120,137,152,167,167,173,188,188,190,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201675
191,384,5,16,16,17,33,33,36,54,63,67,70,78,78,96,111,128,146,164,168,172,184,184,188,190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201678
568,816,3,16,16,25,44,44,51,66,74,80,90,96,115,120,136,153,170,182,190,196,213,213,235,242,256,264,280,294,302,317,327,337,355,372,390,398,407,415,427,440,451,461,474,485,493,502,509,518,536,546,555,201685
200,384,7,16,16,17,33,33,39,54,59,67,74,82,101,103,122,135,154,173,177,181,196,196,197,197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201689
214,384,8,16,16,17,32,33,38,57,61,69,78,83,99,105,120,138,155,166,174,193,210,210,210,213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201699
199,384,2,16,16,16,32,33,38,54,57,66,73,81,102,105,122,140,155,172,172,178,194,194,196,198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201778
192,384,4,16,16,16,33,33,40,57,66,67,67,80,82,104,119,137,155,170,170,174,190,190,192,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201780
207,384,8,16,16,16,32,33,38,54,56,64,73,80,98,103,119,134,149,166,166,183,201,201,204,206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201803
205,384,0,16,16,19,36,37,41,59,62,64,74,79,99,102,114,134,143,152,158,177,193,193,197,205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201806
205,384,6,16,16,16,33,34,39,53,56,65,73,80,96,96,119,134,144,166,166,181,200,200,202,203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201822
198,384,9,16,16,16,33,33,37,55,59,69,76,83,95,103,117,135,152,168,170,170,192,192,195,197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201843
200,384,6,16,16,16,33,35,38,54,56,65,72,79,94,96,114,126,144,162,162,180,196,196,196,199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201861
194,384,2,16,16,16,33,35,37,59,64,73,79,87,99,103,118,135,151,169,169,174,190,190,191,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201866
203,384,6,16,16,16,34,35,39,53,58,68,73,80,93,98,113,130,143,162,162,189,203,203,203,203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201870
