size_compress,headers_length,packets_rank,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
116,496,0,16,21,24,33,33,33,33,33,33,33,33,38,40,40,40,40,40,40,40,40,40,53,54,69,87,92,94,95,104,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367097
133,432,9,16,21,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,42,44,50,72,86,105,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367118
121,432,6,16,21,28,28,32,32,32,32,32,32,32,35,35,35,35,35,35,35,35,35,35,52,58,74,89,105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367127
293,816,3,16,21,31,48,48,48,48,48,48,48,48,54,57,57,57,57,57,57,57,57,57,72,77,92,106,126,143,147,149,161,161,161,161,170,185,195,214,226,226,232,232,232,241,241,252,259,261,261,271,291,367184
445,816,10,16,21,28,60,60,60,60,60,60,60,60,63,68,68,68,68,68,68,68,68,69,82,82,100,117,134,151,153,154,172,172,172,172,182,198,207,225,244,244,254,286,305,315,343,343,360,376,391,424,434,367203
122,432,2,16,21,30,30,30,30,30,30,30,30,30,36,39,39,39,39,39,39,39,39,39,58,59,77,92,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367279
425,816,8,16,21,29,56,56,56,56,56,56,56,56,56,69,69,69,69,69,69,69,69,69,87,89,105,120,138,155,156,158,173,173,173,173,184,197,209,227,238,238,250,280,298,308,336,342,364,378,380,398,406,367333
461,816,8,16,21,29,66,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,74,83,88,105,121,135,155,155,158,175,175,175,175,187,202,212,231,256,256,266,298,316,327,355,358,374,395,422,432,441,367393
117,432,11,16,21,25,30,31,31,31,31,31,31,31,34,35,35,35,35,35,35,35,35,35,52,52,71,87,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367588
170,496,1,16,21,30,33,33,33,33,33,33,33,33,37,37,37,37,37,37,37,37,40,47,54,76,91,110,127,145,146,149,170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367638
123,496,0,16,21,28,35,36,36,36,36,36,36,36,40,41,41,41,41,41,41,41,41,41,55,59,76,92,97,97,101,106,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367745
125,496,0,16,21,26,32,35,35,35,35,35,35,35,38,39,39,39,39,39,39,39,40,41,55,63,78,95,98,98,104,108,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367793
114,496,0,16,21,30,35,36,36,36,36,36,36,36,38,40,40,40,40,40,40,40,40,40,54,54,72,86,92,93,94,102,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367829
143,464,5,16,21,27,35,36,36,36,36,36,36,36,37,40,40,40,40,40,40,40,47,49,54,68,88,106,122,138,141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367858
123,496,0,16,21,26,31,37,37,37,37,37,37,37,39,41,41,41,41,41,41,41,42,42,55,55,69,92,95,98,102,106,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367901
125,432,11,16,21,28,28,28,28,28,28,28,28,28,36,39,39,39,39,39,39,39,39,39,53,53,68,91,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367984
136,432,9,16,21,31,31,31,31,31,31,31,31,31,34,35,35,35,35,35,35,35,39,43,48,70,85,102,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368006
118,496,0,16,21,30,34,35,35,35,35,35,35,35,38,41,41,41,41,41,41,41,41,41,56,58,73,88,91,91,98,102,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368129
450,816,8,16,21,30,56,56,56,56,56,56,56,56,58,63,63,63,63,63,63,63,63,63,76,82,96,113,124,141,141,148,162,162,162,162,171,191,201,226,242,242,251,285,300,314,339,339,364,381,410,425,437,368137
299,816,2,16,21,28,44,47,47,47,47,47,47,47,50,54,56,56,56,56,56,56,56,56,71,74,90,109,123,141,144,144,158,158,158,158,170,180,192,209,222,222,228,230,230,237,237,247,255,256,256,267,293,368227
315,816,3,16,21,25,46,48,48,48,48,48,48,48,51,56,56,56,56,56,56,56,56,56,70,72,88,103,119,139,141,142,157,157,157,157,166,183,196,214,228,228,231,235,235,241,241,252,260,262,264,271,295,368372
152,464,8,16,21,28,34,34,34,34,35,35,35,35,37,37,40,40,43,46,46,46,54,55,58,81,95,110,131,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368497
130,432,8,16,21,31,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,34,39,45,47,70,80,100,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368533
122,496,0,16,21,28,33,35,35,35,35,35,35,35,36,39,39,39,39,39,39,39,39,39,54,58,74,89,89,89,89,103,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368549
153,464,4,16,21,29,32,32,32,32,32,32,32,32,42,42,42,47,49,49,49,49,56,58,64,83,98,114,129,149,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368565
148,464,5,16,21,26,34,34,34,34,34,34,34,34,37,38,38,38,38,38,38,38,45,48,54,74,90,107,124,143,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368578
