size_compress,headers_length,packets_rank,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
119,496,0,16,21,24,31,31,31,31,31,31,31,31,40,40,40,40,40,40,40,40,40,40,54,57,72,87,94,94,96,106,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367097
134,432,9,16,21,24,24,24,24,24,24,24,24,24,32,34,34,34,34,34,34,34,42,43,51,72,87,103,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367118
119,432,6,16,21,28,28,30,30,30,30,30,30,30,35,38,38,38,38,38,38,38,38,39,54,58,73,89,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367127
296,816,3,16,21,29,45,48,48,48,48,48,48,48,52,56,56,56,56,56,56,56,58,58,75,75,93,109,127,145,145,145,160,160,160,160,170,185,196,216,228,228,232,235,236,242,243,254,260,262,262,273,287,367184
438,816,10,16,21,29,59,59,59,59,59,59,59,59,65,67,67,67,67,67,67,67,67,67,81,81,99,117,133,148,151,153,169,169,169,169,183,197,205,225,243,243,249,286,303,313,340,346,354,373,393,414,427,367203
122,432,2,16,21,29,29,32,32,32,32,32,32,32,36,38,38,38,38,38,38,38,38,38,57,58,75,90,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367279
425,816,8,16,21,29,61,61,61,61,61,61,61,61,65,68,68,68,68,68,68,68,68,68,86,86,105,121,135,152,152,155,169,169,169,169,181,191,205,223,236,236,245,276,297,309,336,340,361,378,383,398,403,367333
439,816,8,16,21,26,65,65,65,65,65,65,65,65,69,70,70,70,70,70,70,70,70,73,84,87,105,120,136,154,154,154,176,176,176,176,186,196,209,230,251,251,263,295,313,324,351,355,371,389,402,409,421,367393
115,432,11,16,21,26,26,29,29,29,29,29,29,29,33,35,35,35,35,35,35,35,35,35,50,55,69,83,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367588
172,496,1,16,21,31,34,34,34,34,34,34,34,34,38,40,40,40,40,40,40,40,45,47,56,77,93,109,124,145,148,153,172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367638
124,496,0,16,21,29,33,33,33,33,33,33,33,33,39,39,39,39,39,39,39,39,39,39,58,60,74,90,96,96,102,107,124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367745
128,496,0,16,21,26,29,34,34,34,34,34,34,34,37,41,41,41,41,41,41,41,41,41,59,63,79,89,98,101,105,110,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367793
123,496,0,16,21,30,32,36,36,36,36,36,36,36,39,42,42,42,42,42,42,42,42,42,58,59,75,89,95,98,102,107,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367829
143,464,5,16,21,31,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,44,46,55,71,89,105,112,137,139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367858
127,496,0,16,21,30,33,33,33,33,33,33,33,33,41,42,42,42,42,42,42,42,42,42,58,63,78,92,99,102,105,110,127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367901
125,432,11,16,21,29,31,32,32,32,32,32,32,32,34,39,39,39,39,39,39,39,39,39,55,55,74,92,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367984
133,432,9,16,21,29,29,29,29,29,29,29,29,29,29,34,34,34,34,34,34,34,41,44,49,67,81,101,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368006
121,496,0,16,21,29,33,35,35,35,35,35,35,35,40,42,42,42,42,42,42,42,42,42,56,59,74,89,94,96,100,100,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368129
455,816,8,16,21,27,55,55,55,55,55,55,55,55,58,62,62,62,62,62,62,62,62,62,74,79,94,110,123,142,145,145,161,161,161,161,171,190,198,222,237,237,248,280,299,309,337,341,362,377,407,426,441,368137
296,816,2,16,21,28,44,44,44,44,44,44,44,44,50,55,55,55,55,55,55,55,55,55,72,73,92,107,124,137,137,137,154,154,154,154,166,180,190,206,220,220,226,228,228,234,234,246,252,254,256,264,289,368227
317,816,3,16,21,25,44,44,44,44,44,44,44,44,49,54,54,54,54,54,54,54,54,54,69,74,88,106,115,140,143,144,161,161,161,161,172,187,198,216,230,230,235,235,238,242,245,255,262,262,266,274,296,368372
143,464,8,16,21,23,23,34,34,34,34,34,34,34,36,36,36,36,36,36,36,36,43,46,51,71,88,104,120,133,140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368497
131,432,8,16,21,31,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,35,42,44,49,69,84,100,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368533
120,496,0,16,21,28,33,33,33,33,33,33,33,33,40,40,40,40,40,40,40,40,40,40,56,60,75,91,96,99,102,107,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368549
139,464,4,16,21,28,32,32,32,32,32,32,32,32,34,36,36,36,36,36,36,36,43,45,52,68,85,101,116,131,131,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368565
146,464,5,16,21,29,34,34,34,34,34,34,34,34,37,38,38,38,38,38,38,38,45,46,52,72,90,105,122,141,144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368578
137,464,5,16,21,27,32,32,32,32,32,32,32,32,35,36,36,36,36,36,36,36,37,46,50,69,84,96,114,133,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368758
170,496,1,16,21,30,33,33,33,33,33,33,33,33,37,38,38,38,38,38,38,38,38,47,54,74,87,107,124,142,146,152,170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368814
126,432,11,16,21,30,30,32,32,32,32,32,32,32,34,38,38,38,38,38,38,38,38,38,57,58,72,90,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368848
128,432,4,16,21,30,30,31,31,31,31,31,31,31,32,34,34,34,34,34,34,34,41,42,48,63,82,97,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368937
128,432,9,16,21,28,28,29,29,29,29,29,29,29,30,32,32,32,32,32,32,32,39,41,48,63,77,93,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369002
167,496,1,16,21,26,32,32,32,32,32,32,32,32,36,37,37,37,37,37,37,37,44,45,52,69,85,99,118,136,144,152,167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369042
451,816,7,16,21,30,63,63,63,63,63,63,63,63,66,69,69,69,69,69,69,69,69,69,86,86,107,122,138,155,157,157,176,176,176,176,185,203,214,226,243,243,251,286,304,315,341,345,359,372,392,400,437,369108
132,448,8,16,21,30,36,36,36,36,36,36,36,36,40,43,43,43,43,43,43,43,43,43,62,62,75,95,108,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369109
135,432,5,16,21,29,29,29,29,29,29,29,29,29,34,35,35,35,35,35,35,35,42,42,50,70,84,103,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369226
127,448,6,16,21,29,37,37,37,37,37,37,37,37,40,44,44,44,44,44,44,44,44,44,65,65,82,98,112,127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369227
135,448,7,16,21,30,35,35,35,35,35,35,35,35,38,42,42,42,42,42,42,42,42,42,63,63,82,96,114,131,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369240
145,464,3,16,21,26,34,35,35,35,35,35,35,35,36,39,39,39,39,39,39,39,46,48,54,73,89,105,120,140,141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369320
135,432,9,16,21,26,26,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,41,44,49,69,86,100,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369326
128,496,0,16,21,28,32,32,32,32,32,32,32,32,37,41,41,41,41,41,41,41,41,41,64,67,83,98,103,105,107,110,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369329
435,816,7,16,21,28,51,51,51,51,51,51,51,51,56,56,56,56,56,56,56,56,56,56,80,83,100,118,134,154,156,156,171,171,171,171,181,193,206,228,238,238,254,285,304,316,340,347,360,376,390,412,422,369432
137,432,9,16,21,32,32,32,32,32,32,32,32,32,35,35,35,35,35,35,35,35,41,41,51,73,89,106,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369446
144,464,4,16,21,31,35,35,35,35,35,35,35,35,37,39,39,39,39,39,39,39,46,47,55,74,89,106,120,139,139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369537
129,496,0,16,21,29,29,37,37,37,37,37,37,37,43,44,44,44,44,44,44,44,44,44,64,65,83,97,102,105,105,112,129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369677
125,432,3,16,21,28,28,30,30,30,30,30,30,30,31,38,38,38,38,38,38,38,38,38,53,58,76,90,104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369716
122,496,0,16,21,30,34,37,37,37,37,37,37,37,42,43,43,43,43,43,43,43,43,43,63,63,81,97,100,102,107,112,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369797
138,464,5,16,21,30,34,34,34,34,34,34,34,34,34,38,38,38,38,38,38,38,44,46,52,71,87,103,121,134,138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369838
132,432,9,16,21,30,30,30,30,30,30,30,30,30,33,33,33,33,33,33,33,33,41,41,50,66,82,97,113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369842
124,432,4,16,21,31,31,33,33,33,33,33,33,33,33,38,38,38,38,38,38,38,38,38,61,61,77,90,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369849
