packets_rank,headers_length,size_compress,level_compress_0,level_compress_1,level_compress_2,level_compress_3,level_compress_4,level_compress_5,level_compress_6,level_compress_7,level_compress_8,level_compress_9,level_compress_10,level_compress_11,level_compress_12,level_compress_13,level_compress_14,level_compress_15,level_compress_16,level_compress_17,level_compress_18,level_compress_19,level_compress_20,level_compress_21,level_compress_22,level_compress_23,level_compress_24,level_compress_25,level_compress_26,level_compress_27,level_compress_28,level_compress_29,level_compress_30,level_compress_31
0,32,29,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,16,18,19,20,20,22,23,23,23,23,23,28,29,29,29
1,32,26,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,17,18,18,18,22,23,24,24,25,26,26,26,26,26,26
2,32,28,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,16,16,16,17,18,20,21,22,22,24,24,25,26,26,28
0,32,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,16,16,16,16,22,22,23,24,24,24,27,27,30,31,31
1,32,30,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,16,20,20,21,22,23,24,24,26,27,28,29,30,30,30
2,32,29,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,16,16,16,17,17,19,19,21,22,24,24,24,24,24,29
0,32,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,17,17,19,19,19,22,23,24,24,24,24,27,29,29,31
1,32,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,17,19,19,19,19,19,19,22,22,24,24,24,26,26,31
2,32,29,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,18,18,18,18,20,20,20,21,22,22,22,25,25,28,29
0,32,30,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,16,17,17,17,21,22,23,24,24,25,25,28,28,28,30
1,32,29,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,16,16,16,18,19,20,20,20,22,22,25,26,27,27,29
2,32,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,16,16,16,16,18,18,18,18,21,21,21,24,24,24,24
0,32,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,17,17,17,20,20,20,20,20,25,26,27,27,29,30,31
1,32,38,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,23,24,25,25,26,26,32,32,34,35,35,35,38,38,38
