packets_rank,headers_length,size_compress,level_compress_0,level_compress_1,level_compress_2,level_compress_3,level_compress_4,level_compress_5,level_compress_6,level_compress_7,level_compress_8,level_compress_9,level_compress_10,level_compress_11,level_compress_12,level_compress_13,level_compress_14,level_compress_15,level_compress_16,level_compress_17,level_compress_18,level_compress_19,level_compress_20,level_compress_21,level_compress_22,level_compress_23,level_compress_24,level_compress_25,level_compress_26,level_compress_27,level_compress_28,level_compress_29,level_compress_30,level_compress_31
0,32,27,1,2,2,3,4,5,6,6,6,6,6,6,6,6,6,11,11,13,13,13,16,16,16,19,19,19,22,22,22,25,25,27
1,32,20,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,4,7,8,8,8,10,11,11,11,14,15,16,16,18,18,20
2,32,24,3,3,4,5,6,7,8,11,11,11,11,11,11,11,11,11,11,14,14,14,15,16,16,18,19,19,21,21,22,22,24,24
0,32,27,1,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,14,16,17,18,19,20,20,21,22,23,23,26,26,27
1,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,6,8,8,10,10,12,12,14,15,17,18
2,32,22,4,4,7,7,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,17,17,17,19,19,19,22,22,22,22
0,32,24,1,2,3,3,4,5,5,7,7,7,7,7,7,9,10,11,12,13,14,15,16,17,18,19,19,21,21,21,24,24,24,24
1,32,22,0,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,10,10,12,13,13,14,15,15,18,18,18,18,21,22,22,22
2,32,30,2,4,6,8,10,10,11,15,15,15,15,15,15,15,15,15,15,15,16,16,16,19,19,21,21,23,23,23,26,27,29,30
0,32,27,1,1,1,3,3,5,5,7,7,7,7,7,7,9,10,11,12,12,14,15,16,17,18,19,19,19,22,22,22,22,22,27
1,32,19,0,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,5,6,7,8,8,10,11,11,11,14,14,16,16,16,19
2,32,26,0,2,4,6,6,7,7,7,7,7,7,7,7,7,7,7,7,12,13,13,13,13,13,17,17,17,17,17,17,23,25,26
0,32,27,0,1,1,1,3,4,5,7,7,7,7,7,7,9,10,10,12,13,14,14,14,14,19,20,20,21,21,21,24,24,24,27
1,32,23,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,8,8,14,14,16,16,16,19,19,19,23,23,23,23,23,23
2,32,25,3,3,3,4,5,6,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15,15,17,19,19,19,21,22,24,25
0,32,27,1,1,1,3,4,4,6,6,6,6,6,6,8,8,8,8,12,12,14,15,15,15,18,19,20,21,21,23,24,24,26,27
1,32,16,0,0,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,10,10,13,14,14,14,16,16,16,16
2,32,26,0,2,3,3,3,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,17,17,17,17,23,24,25,26,26
0,32,24,0,0,0,3,4,4,6,7,7,7,7,7,7,7,7,11,11,11,14,14,15,16,18,19,20,20,21,21,24,24,24,24
1,32,24,0,0,2,2,3,4,4,4,4,4,4,4,4,4,4,4,6,8,10,11,11,14,14,14,14,14,19,20,20,22,22,24
2,32,24,3,3,4,4,4,7,8,11,11,11,11,11,11,11,11,11,11,13,13,13,14,14,17,19,20,21,22,22,22,24,24,24
0,32,26,0,0,0,0,4,4,6,6,6,6,6,6,6,9,10,10,10,12,12,12,12,12,18,19,20,21,22,22,24,25,25,26
