size_decompress,size_compress,check_operation,headers_length,packets_rank
40,36,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,36,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,37,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,39,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,37,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,38,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,38,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,37,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,38,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,39,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,35,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,38,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,38,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,38,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,36,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,38,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,38,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,38,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,36,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
40,37,True,40.0,0
40,7,True,40.0,1
40,7,True,40.0,2
